"name","instanceType","uuid:ID","text","id"
"ENCOUNTER_START_RULE_1","TransitionRule","9337e45d-1169-4ea9-b2bf-67b20d61bd37","Subject identifier","TransitionRule_1"
"ENCOUNTER_START_RULE_1","TransitionRule","dc5f6f37-bf13-47bc-8ddb-af6a50a1b73b","completion of screening activities","TransitionRule_2"
"ENCOUNTER_START_RULE_2","TransitionRule","408f32ba-bfce-43b3-a2e4-e4cc73715804","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3"
"ENCOUNTER_START_RULE_3","TransitionRule","bea6f21a-7fc6-421a-8579-dd0ea1073cbf","subject has connection of ambulatory ECG machine removed","TransitionRule_4"
"ENCOUNTER_START_RULE_3","TransitionRule","ff8ca67c-4816-4df9-87ea-c99a3ec5a1ae","Radomized","TransitionRule_5"
"ENCOUNTER_START_RULE_12","TransitionRule","b2b679aa-449c-4f78-9836-f1bf59c51d05","End of treatment","TransitionRule_6"
"ELEMENT_START_RULE_1","TransitionRule","37bdbda0-3fab-4a0d-95cb-ebbf35ad5c85","Informed consent","TransitionRule_7"
"ELEMENT_END_RULE_1","TransitionRule","b0477b01-db58-4485-acd9-194064e749a0","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8"
"ELEMENT_START_RULE_2","TransitionRule","05e718c5-b447-493b-81a7-3ba23cde0808","Administration of first dose","TransitionRule_9"
"ELEMENT_START_RULE_7","TransitionRule","9e81fef3-c944-423d-ba51-4cdaea7f97b5","End of last scheduled visit on study (including early termination)","TransitionRule_14"
"ELEMENT_END_RULE_7","TransitionRule","2d863c19-c0ee-4f3b-b084-c9a937e9bc67","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15"
"ELEMENT_START_RULE_3","TransitionRule","36a2c8d1-bb81-47e4-a46c-62c85e53a155","Administration of first dose","TransitionRule_10"
"ELEMENT_START_RULE_4","TransitionRule","6544b73c-d6cd-403e-ab92-0e3eeda9301c","Randomized","TransitionRule_11"
"ELEMENT_START_RULE_5","TransitionRule","a85bd1fe-63c9-4043-9b43-b56c136a57ab","Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12"
"ELEMENT_START_RULE_6","TransitionRule","817d776f-5cb1-4975-9750-854a96688f6e","Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13"
