"name","synonyms","reference","instanceType","label","uuid:ID","id"
"Informed Consent Obtained","['Informed Consent Obtained', 'Informed Consent']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","BiomedicalConcept","Informed Consent Obtained","cac11450-d398-496e-a02b-c171f123b26c","BiomedicalConcept_20"
"Sex","","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","BiomedicalConcept","Sex","fbb88dc2-0eab-40c7-b4dc-0947522e6eba","BiomedicalConcept_21"
"Race","['Racial Group']","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","BiomedicalConcept","Race","72ed4219-40fd-4a7e-9562-bb22e0356ae7","BiomedicalConcept_22"
"Temperature","['Temperature', 'Body Temperature']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept","Temperature","ad3e2b82-9e07-4c6d-b496-0ea9059c56b5","BiomedicalConcept_23"
"Weight","['Weight', 'Body Weight']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept","Weight","d56847ce-1fd2-465c-b6af-66b9fe0aa703","BiomedicalConcept_24"
"Height","['Height', 'Body Height']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept","Height","d5bdf7e3-90cb-4352-ba23-2d6d2cbc6af9","BiomedicalConcept_25"
"Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","a95d9de0-6e90-413f-a293-17a980f216fb","BiomedicalConcept_26"
"Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept","Albumin Presence in Urine","66daafc6-8c27-4fbd-a05b-eb71014b9f08","BiomedicalConcept_27"
"Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","35719706-1b27-478c-8bce-03b64cb7af0e","BiomedicalConcept_28"
"Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","38bd3fc0-a00e-45e0-af62-382c3a4eb082","BiomedicalConcept_29"
"Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept","Creatinine Concentration in Urine","dfb04dd3-f527-4704-826c-1d0fb9287890","BiomedicalConcept_30"
"Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept","Potassium Concentration in Urine","c08cadcc-d4eb-4969-a31b-cdd9343e9fc0","BiomedicalConcept_31"
"Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept","Sodium Concentration in Urine","fdd70ead-bf45-429c-87ff-e88362f3e348","BiomedicalConcept_32"
"Hemoglobin A1C Concentration in Blood","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","BiomedicalConcept","Hemoglobin A1C Concentration in Blood","761beec3-e71d-4aa3-8da3-1d1b02cd798b","BiomedicalConcept_33"
"Adverse Event Prespecified","['Adverse Event', 'Solicited Adverse Event']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","BiomedicalConcept","Adverse Event Prespecified","64bcf1ac-93bc-4086-953f-9a79d2c4e55e","BiomedicalConcept_1"
"Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept","Systolic Blood Pressure","204cfca4-dd16-4187-93fe-64aba631e612","BiomedicalConcept_2"
"Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept","Diastolic Blood Pressure","a9e02f9d-8bbc-4943-8172-e4913dcafe43","BiomedicalConcept_3"
"Temperature","['Temperature', 'Body Temperature']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept","Temperature","a6b3d9bf-1d4f-485f-8293-2c683ef4b630","BiomedicalConcept_4"
"Weight","['Weight', 'Body Weight']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept","Weight","bac91651-a321-41da-bd7f-bc75869ec8bc","BiomedicalConcept_5"
"Height","['Height', 'Body Height']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept","Height","3a2d35c7-2976-4982-be41-a4bd1714522d","BiomedicalConcept_6"
"Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","50c0cb28-3c24-4af2-b589-33c4e22689e0","BiomedicalConcept_7"
"Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept","Albumin Presence in Urine","23aa814b-fcf4-4502-8aba-9402545ee48d","BiomedicalConcept_8"
"Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","c2f0ba1d-d42f-4d15-b6df-0f98e7902b08","BiomedicalConcept_9"
"Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","f5c8982e-3130-4da1-98d9-d8dc8f46ea25","BiomedicalConcept_10"
"Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept","Creatinine Concentration in Urine","70b6262c-b595-4f53-9c88-d96293141160","BiomedicalConcept_11"
"Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept","Potassium Concentration in Urine","333ecb79-9a51-4313-9d17-677505799443","BiomedicalConcept_12"
"Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept","Sodium Concentration in Urine","25ca51f6-f1b9-444a-a92f-b71dcbf2b191","BiomedicalConcept_13"
"Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept","Systolic Blood Pressure","dabc761b-671c-45e7-b094-9af7cab5d44f","BiomedicalConcept_14"
"Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept","Diastolic Blood Pressure","9e167431-9f63-461c-b90c-8c2e0b482347","BiomedicalConcept_15"
"Heart Rate","['Heart Rate']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept","Heart Rate","ddd10240-66d3-4e5b-8e02-305a3bb8f886","BiomedicalConcept_16"
"Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept","Systolic Blood Pressure","398c042b-5e4c-44d9-ae87-c1db58e48359","BiomedicalConcept_17"
"Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept","Diastolic Blood Pressure","7a225d39-ad80-435e-8496-99b71f47ea45","BiomedicalConcept_18"
"Heart Rate","['Heart Rate']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept","Heart Rate","d0e857b3-812c-4c96-966e-f0c5eccac223","BiomedicalConcept_19"
