"name","windowLower","instanceType","windowLabel","label","description","value","uuid:ID","windowUpper","id","valueLabel"
"TIM1","","Timing","","Screening","Screening timing","P2W","7d5c9c96-b07a-47bb-a884-f83218db6048","","Timing_1","2 weeks"
"TIM2","PT4H","Timing","-4..0 hours","Pre dose","Pre dose timing","P2D","4549efab-c7b3-4b52-9105-a02bd6a4771e","PT0H","Timing_2","2 days"
"TIM3","","Timing","","Dosing","Dosing anchor","P1D","3da9cbef-e4e0-47df-8f16-057675cfbcc2","","Timing_3","1 Day"
"TIM4","P3D","Timing","-3..3 days","Week 2","Week 2 timing","P2W","f74aa7c7-0045-4eb1-af0c-36f9ad954d66","P3D","Timing_4","2 Weeks"
"TIM5","P3D","Timing","-3..3 days","Week 4","Week 4 timing","P4W","a8b39992-faf8-41ed-94ff-196fa1f06d47","P3D","Timing_5","4 Weeks"
"TIM6","P3D","Timing","-3..3 days","Week 6","Week 6 timing","P6W","b7976252-b014-4319-8084-558221562e37","P3D","Timing_6","6 Weeks"
"TIM7","P3D","Timing","-3..3 days","Week 8","Week 8 timing","P8W","8b825412-07fb-4f02-a0c1-873728d174da","P3D","Timing_7","8 Weeks"
"TIM9","P4D","Timing","-4..4 days","Week 12","Week 12 timing","P12W","d2273ceb-be2a-43b7-8175-6c640bfdae90","P4D","Timing_9","12 Weeks"
"TIM11","P4D","Timing","-4..4 days","Week 16","Week 16 timing","P16W","f1a432a9-1655-4c8a-914e-e511fa03afa8","P4D","Timing_11","16 Weeks"
"TIM13","P4D","Timing","-4..4 days","Week 20","Week 20 timing","P20W","51add73e-30f5-4aa6-afe5-e436c4007ae8","P4D","Timing_13","20 Weeks"
"TIM15","P4D","Timing","-4..4 days","Week 24","Week 24 timing","P24W","02231024-b0da-4f0a-91d7-3fc043e2e3c7","P4D","Timing_15","24 Weeks"
"TIM16","P3D","Timing","-3..3 days","Week 26","Week 26 timing","P26W","b488becd-1f21-4d3a-a67b-d64b943e673d","P3D","Timing_16","26 Weeks"
"TIM8","","Timing","","Week 8 Home","Week 8 at home timing","P2W","7010b0f9-aa44-45c8-98e3-3f22fcd58e47","","Timing_8","2 Weeks"
"TIM10","","Timing","","Week 12 Home","Week 12 at home timing","P2W","dc4b3598-8f5c-43cf-93c4-8d2eaf197c9f","","Timing_10","2 Weeks"
"TIM12","","Timing","","Week 16 Home","Week 16 at home timing","P2W","52349e0b-0751-4062-9617-1e4959093579","","Timing_12","2 Weeks"
"TIM14","","Timing","","Week 20 Home","Week 20 at home timing","P2W","47c75fe0-d3a6-42a3-b08f-adc78b2ade9a","","Timing_14","2 Weeks"
"TIM17","","Timing","","Adverse Event","Adverse Event","P1D","0888357e-8901-4cc7-ae3c-3d3b77c078bd","","Timing_17","1 Day"
"TIM18","","Timing","","Early Termination","Early Termination","P1D","0d68de33-4714-426a-8c3f-945ece1dc846","","Timing_18","1 Day"
"TIM19","","Timing","","Supine","Supine","PT0M","bf2ed263-ffff-4fc1-aa8d-99d0577ececf","","Timing_19","0 mins"
"TIM20","","Timing","","VS while supine","VS while supine","PT5M","c0fd7098-5d7d-4ff2-b1ed-2a2c9a9ed328","","Timing_20","5 mins"
"TIM21","","Timing","","Standing","Standing","PT0M","0f898b6f-c4fe-48dd-b1c9-f8fcd76cc6ef","","Timing_21","0 min"
"TIM22","","Timing","","VS while standing","VS while standing","PT1M","77c89f33-91a8-4241-89b2-df7a8b8f86a2","","Timing_22","1 min"
"TIM23","","Timing","","Standing","Standing","PT0M","6aa36033-99e1-4891-9a04-89f36cedaaa0","","Timing_23","0 min"
"TIM24","","Timing","","VS while standing","VS while standing","PT2M","b716959d-3ca8-40ce-9918-c120ea590820","","Timing_24","2 min"
