"codeSystem","instanceType","code","codeSystemVersion","decode","uuid:ID","id"
"http://www.cdisc.org","Code","C98388","2023-12-15","Interventional Study","899c913f-7a8b-4a8c-a60f-dc8238a5389d","Code_1"
"http://www.cdisc.org","Code","C15601","2023-12-15","Phase II Trial","3255d1e6-ae60-4062-ba77-a5d46317c253","Code_2"
"http://www.cdisc.org","Code","C132352","2023-12-15","Sponsor Approval Date","e535f10d-6152-4a98-b87f-f29ca6af91e3","Code_9"
"http://www.cdisc.org","Code","C68846","2023-12-15","Global","c705c03f-ba07-4c45-b6b1-0e8e748ac509","Code_10"
"http://www.cdisc.org","Code","C99904x3","2023-12-15","IRB/IEC Feedback","cd7d66d6-3356-4f91-8f05-657001524d7d","Code_72"
"http://www.cdisc.org","Code","C17649","2023-12-15","Other","20cac6dd-2978-4706-af95-3d74b9d53d54","Code_73"
"http://www.cdisc.org","Code","C41129","2023-12-15","Region","7d55ad0d-7ffd-43d7-85ef-daa818607391","Code_75"
"ISO 3166 1 alpha3","Code","150","2020-08","Europe","6b0c77de-5c86-4184-9dda-227b8a41923c","Code_74"
"SPONSOR","Code","PHARMA","12","Eli Lilly","4121689b-2b5f-47ed-8aad-948c20991796","Code_4"
"http://www.cdisc.org","Code","C70793","2023-12-15","Clinical Study Sponsor","bb4b5ac0-ee86-4fb6-84f9-5379ef9763e4","Code_76"
"ISO 3166 1 alpha3","Code","USA","2020-08","United States of America","c0d85fd0-50fb-4681-919a-2abbdfa48f7f","Code_77"
"http://www.cdisc.org","Code","C93453","2023-12-15","Study Registry","5a9b6580-43fb-4dfc-bbd6-84c9b8003442","Code_78"
"ISO 3166 1 alpha3","Code","USA","2020-08","United States of America","22b21fd9-cd5d-4df7-bf77-d6d97f531d24","Code_79"
"http://www.cdisc.org","Code","C49656","2023-12-15","Treatment Study","75b4f565-3df5-4bc4-85e2-6398894c4c5a","Code_137"
"http://www.cdisc.org","Code","C49666","2023-12-15","Efficacy Study","3040fffd-08ca-4fd2-903c-e8c12e201739","Code_138"
"http://www.cdisc.org","Code","C49667","2023-12-15","Safety Study","5e879aa3-b932-4041-b597-3a71d5227d06","Code_139"
"http://www.cdisc.org","Code","C49663","2023-12-15","Pharmacokinetic Study","a04c4d57-9d4e-4899-b806-04e028d4aea5","Code_140"
"SPONSOR","Code","MILD_MOD_ALZ","12","Mild to Moderate Alzheimer's Disease","7410e65e-42a1-4aea-86dc-8d456e9cc898","Code_134"
"SNOMED","Code","26929004","January 31, 2018","Alzheimer's disease","0069f356-8d10-48a1-989b-709f170cfe24","Code_135"
"http://www.cdisc.org","Code","C99907x1","2023-12-15","EXTENSION","beabb55f-1ee7-4ec6-9787-170ff4a9df77","Code_143"
"http://www.cdisc.org","Code","C98704","2023-12-15","ADAPTIVE","f0f7a828-3616-4428-ae0a-62a462a1fde7","Code_144"
"http://www.cdisc.org","Code","C82639","2023-12-15","Parallel Study","0f8a7089-31d5-423e-940e-525b0cfee733","Code_141"
"http://www.cdisc.org","Code","C25716","2023-12-15","Visit","84b27c1d-723a-4110-ad86-0cf992789701","Code_83"
"http://www.cdisc.org","Code","C51282","2023-12-15","Clinic","236799f3-5749-4bc9-b2c4-677317a1a38e","Code_84"
"http://www.cdisc.org","Code","C175574","2023-12-15","In Person","14a57acd-79aa-4d93-9575-379f0c97b899","Code_85"
"http://www.cdisc.org","Code","C25716","2023-12-15","Visit","19f5958b-4db7-4a64-86bc-b282cb84eb76","Code_86"
"http://www.cdisc.org","Code","C51282","2023-12-15","Clinic","2abf30ab-2b83-4e6a-b81a-0a4268528a7f","Code_87"
"http://www.cdisc.org","Code","C175574","2023-12-15","In Person","9d197d1d-8e51-42f5-a3cd-2b82d64670c2","Code_88"
"http://www.cdisc.org","Code","C25716","2023-12-15","Visit","179160c1-8008-4403-9cff-332f48e24f20","Code_89"
"http://www.cdisc.org","Code","C51282","2023-12-15","Clinic","49c58a13-f008-42c7-8da6-5a050d4a5351","Code_90"
"http://www.cdisc.org","Code","C175574","2023-12-15","In Person","5aba24bb-7b6b-4529-a7f6-9bc3aca16418","Code_91"
"http://www.cdisc.org","Code","C25716","2023-12-15","Visit","305c1c69-de25-4396-8b23-433b7bf2eeb3","Code_92"
"http://www.cdisc.org","Code","C51282","2023-12-15","Clinic","a1d7469c-3282-4ad8-bcf8-52ecd49854bd","Code_93"
"http://www.cdisc.org","Code","C175574","2023-12-15","In Person","2fc68d4c-0a23-4f66-bd6c-44c8f5096072","Code_94"
"http://www.cdisc.org","Code","C25716","2023-12-15","Visit","539f49be-4869-4c3a-94d9-5712843872fb","Code_95"
"http://www.cdisc.org","Code","C51282","2023-12-15","Clinic","a5f30307-5b6f-45f4-b08b-ba10572e58d9","Code_96"
"http://www.cdisc.org","Code","C175574","2023-12-15","In Person","db21db2c-3d76-4eb2-b836-7c0a56161cd4","Code_97"
"http://www.cdisc.org","Code","C25716","2023-12-15","Visit","72ab1b15-b8b6-4b51-b3b5-7b325d345dce","Code_98"
"http://www.cdisc.org","Code","C51282","2023-12-15","Clinic","fd42b1b9-b659-41ff-aa6d-ac90a017791e","Code_99"
"http://www.cdisc.org","Code","C175574","2023-12-15","In Person","3a593e3e-3849-44b1-81d8-c3c727e5334b","Code_100"
"http://www.cdisc.org","Code","C25716","2023-12-15","Visit","076ee3a4-d797-4568-9fdf-59ac3368c775","Code_101"
"http://www.cdisc.org","Code","C51282","2023-12-15","Clinic","54592d71-ce37-4230-9bc7-4c991fd4636f","Code_102"
"http://www.cdisc.org","Code","C175574","2023-12-15","In Person","de6c42c4-56d0-490e-8f24-8f71af2046c2","Code_103"
"http://www.cdisc.org","Code","C171537","2023-12-15","Telephone Call","a3263251-0595-417e-8361-1a4de248d740","Code_104"
"http://www.cdisc.org","Code","C25716","2023-12-15","Visit","f384399f-26d2-4fef-b417-c0b5c7b0d948","Code_105"
"http://www.cdisc.org","Code","C51282","2023-12-15","Clinic","02b7de5d-7bd8-4b2a-8c72-c89d2670ec0c","Code_106"
"http://www.cdisc.org","Code","C175574","2023-12-15","In Person","1770e31b-a99a-45df-bd7a-838fb2d17203","Code_107"
"http://www.cdisc.org","Code","C171537","2023-12-15","Telephone Call","2aa32901-34c8-48f9-a909-9c77133f1358","Code_108"
"http://www.cdisc.org","Code","C25716","2023-12-15","Visit","7a65eb68-b17f-4519-ae8f-45d0648d5881","Code_109"
"http://www.cdisc.org","Code","C51282","2023-12-15","Clinic","62743c83-fe23-4d31-a5fb-cb581712a854","Code_110"
"http://www.cdisc.org","Code","C175574","2023-12-15","In Person","1ea07d4f-e6eb-41ad-8c2a-f9328109bf93","Code_111"
"http://www.cdisc.org","Code","C171537","2023-12-15","Telephone Call","4404f65b-6e44-4770-a9ef-d254a446061a","Code_112"
"http://www.cdisc.org","Code","C25716","2023-12-15","Visit","4be242f6-f7d1-45a4-a7bd-b0639fa49cbb","Code_113"
"http://www.cdisc.org","Code","C51282","2023-12-15","Clinic","1d8188b9-b80d-4d3e-8586-94b0b0787235","Code_114"
"http://www.cdisc.org","Code","C175574","2023-12-15","In Person","3b8e8af8-6f3b-44e9-b37a-1433458a78c1","Code_115"
"http://www.cdisc.org","Code","C171537","2023-12-15","Telephone Call","c6421689-c193-4ffc-973d-944304edfbad","Code_116"
"http://www.cdisc.org","Code","C25716","2023-12-15","Visit","0c4a29cd-16ae-4c78-89ba-635b5ab026e0","Code_117"
"http://www.cdisc.org","Code","C51282","2023-12-15","Clinic","762e8225-716d-49cd-80e9-6a2f6cb55ff9","Code_118"
"http://www.cdisc.org","Code","C175574","2023-12-15","In Person","2e5f36b6-7e51-41f3-80f7-eb5e0046c043","Code_119"
"http://www.cdisc.org","Code","C25716","2023-12-15","Visit","7aada8db-6833-4be0-ac97-18af6540f33a","Code_120"
"http://www.cdisc.org","Code","C51282","2023-12-15","Clinic","56a0f2cf-a164-4650-aaab-22671e52fa8d","Code_121"
"http://www.cdisc.org","Code","C175574","2023-12-15","In Person","2747353f-5ccb-4746-990a-a825c7afb96a","Code_122"
"SNOMED","Code","383371000119108","January 31, 2018","CT of head without contrast","70158c9f-e9ff-4f7d-b56f-38bcf48cfc3c","Code_80"
"SPONSOR","Code","123","12","Subject Supine","37967236-f493-4278-a4cb-79a0a255cab4","Code_81"
"SPONSOR","Code","124","12","Subject Standing","a98fab9f-e488-4b90-8f20-0f47e643c6ba","Code_82"
"http://www.cdisc.org","Code","C82977","2023-12-15","Dictionary-derived Term","5314dbb0-72af-424e-b3b4-369287bf3501","Code_429"
"http://www.cdisc.org","Code","C82571","2023-12-15","Reported Event Term","6c5a9f8d-a0b3-4254-8666-5173a1d0d3a4","Code_430"
"http://www.cdisc.org","Code","C82517","2023-12-15","Observation Start Date Time","4cc386d6-fbc2-46b8-bf3e-deb6b02027d0","Code_431"
"http://www.cdisc.org","Code","C16735","2023-12-15","Informed Consent","0d4320d2-572c-496e-bec8-d47bf98874b7","Code_432"
"http://www.cdisc.org","Code","C20197","2023-12-15","Male","9a40923d-89d4-491c-90bb-af15db8a1ffd","Code_433"
"http://www.cdisc.org","Code","C16576","2023-12-15","Female","89f909fd-1d03-4460-8dbc-93f719902ab7","Code_434"
"http://www.cdisc.org","Code","C28421","2023-12-15","Sex","35749f60-e89d-41f2-8ea6-fd43fd4f672b","Code_435"
"http://www.cdisc.org","Code","C28421","2023-12-15","Sex","11628e58-c624-4578-831b-fc5a69a07a96","Code_436"
"http://www.cdisc.org","Code","C17049","2023-12-15","Race","27ca6d15-97c1-43b3-bc91-5f3d610d9745","Code_437"
"http://www.cdisc.org","Code","C17049","2023-12-15","Race","85b607bd-c713-44a9-a978-6990ce7b3bbe","Code_438"
"http://www.cdisc.org","Code","C174446","2023-12-15","TEMP","e29b48c7-92ec-43c5-9a9f-7aba0bc20c24","Code_439"
"http://www.cdisc.org","Code","C77140","2023-12-15","Clinical Test Result","0949f25c-5424-46ef-90f8-29994843621f","Code_440"
"http://www.cdisc.org","Code","C42559","2023-12-15","Degree Celsius","fe40f68d-fe1d-402e-9041-0103a6b50db0","Code_441"
"http://www.cdisc.org","Code","C44277","2023-12-15","Degree Fahrenheit","221fec6e-d701-40d7-a284-5a6e897ed01a","Code_442"
"http://www.cdisc.org","Code","C42537","2023-12-15","Kelvin","0b4b748e-ede9-4934-813c-11184fc0c1f9","Code_443"
