"reference","name","uuid:ID","instanceType","id","synonyms","label"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","Informed Consent Obtained","a30ba03e-a948-4ea6-b796-2aacd25f2ea3","BiomedicalConcept","BiomedicalConcept_20","['Informed Consent Obtained', 'Informed Consent']","Informed Consent Obtained"
"/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","Sex","353bfa30-4a16-4930-b113-2793be43b8e8","BiomedicalConcept","BiomedicalConcept_21","","Sex"
"/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","Race","6a62b361-9ead-44c8-8152-638bdc681fa7","BiomedicalConcept","BiomedicalConcept_22","['Racial Group']","Race"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","Temperature","5d960bf8-62bd-45aa-90db-b21d2810f580","BiomedicalConcept","BiomedicalConcept_23","['Temperature', 'Body Temperature']","Temperature"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","Weight","52ce4b08-6c21-48ed-a2d5-9926069b6111","BiomedicalConcept","BiomedicalConcept_24","['Weight', 'Body Weight']","Weight"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","Height","4e4ed55e-2fc9-4011-90c2-e0b096f41beb","BiomedicalConcept","BiomedicalConcept_25","['Height', 'Body Height']","Height"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","Alanine Aminotransferase Concentration in Serum/Plasma","fe18d760-4217-49a0-b966-c504e98d268c","BiomedicalConcept","BiomedicalConcept_26","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","Albumin Presence in Urine","e39e16be-be44-498f-9e6f-70ba37d334b6","BiomedicalConcept","BiomedicalConcept_27","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","Alkaline Phosphatase Concentration in Serum/Plasma","b798a92c-0d85-4fbd-be36-7b9d195a8461","BiomedicalConcept","BiomedicalConcept_28","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","Aspartate Aminotransferase in Serum/Plasma","cbc795db-e08a-4c16-aaad-8aabc8ab3396","BiomedicalConcept","BiomedicalConcept_29","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","Creatinine Concentration in Urine","8ba5dfb9-f74e-48fe-b030-991a137d263f","BiomedicalConcept","BiomedicalConcept_30","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","Potassium Concentration in Urine","28b9fb10-3904-41e8-a044-9327b3a44ea2","BiomedicalConcept","BiomedicalConcept_31","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine"
