"name","uuid:ID","windowLower","instanceType","id","windowUpper","windowLabel","valueLabel","description","label","value"
"TIM1","33152bf9-2cee-4960-975d-97905b6da375","","Timing","Timing_1","","","2 weeks","Screening timing","Screening","P2W"
"TIM2","090a12a9-5416-4c33-b597-aac72622a63f","PT4H","Timing","Timing_2","PT0H","-4..0 hours","2 days","Pre dose timing","Pre dose","P2D"
"TIM3","1bf88186-8526-412a-bc40-431ff06c61e0","","Timing","Timing_3","","","1 Day","Dosing anchor","Dosing","P1D"
"TIM4","ea4a2035-10bf-4beb-bf43-79df9989635f","P3D","Timing","Timing_4","P3D","-3..3 days","2 Weeks","Week 2 timing","Week 2","P2W"
"TIM5","1f55528a-403e-44e8-aa2c-06ffaa74838f","P3D","Timing","Timing_5","P3D","-3..3 days","4 Weeks","Week 4 timing","Week 4","P4W"
"TIM6","73cb1980-9e77-484b-bc62-e71ad95ea87d","P3D","Timing","Timing_6","P3D","-3..3 days","6 Weeks","Week 6 timing","Week 6","P6W"
"TIM7","7abf19bb-4983-4478-8c74-24b17e60f334","P3D","Timing","Timing_7","P3D","-3..3 days","8 Weeks","Week 8 timing","Week 8","P8W"
"TIM9","f38832bf-0c6b-44f1-ac8b-190cc693b149","P4D","Timing","Timing_9","P4D","-4..4 days","12 Weeks","Week 12 timing","Week 12","P12W"
"TIM11","824de38a-fbcd-4f62-bcfb-18e86ab69a87","P4D","Timing","Timing_11","P4D","-4..4 days","16 Weeks","Week 16 timing","Week 16","P16W"
"TIM13","2186601a-3df5-4357-b8fc-cbdf9c837d25","P4D","Timing","Timing_13","P4D","-4..4 days","20 Weeks","Week 20 timing","Week 20","P20W"
"TIM15","cb5fba21-6eae-4411-8165-af89b4496cba","P4D","Timing","Timing_15","P4D","-4..4 days","24 Weeks","Week 24 timing","Week 24","P24W"
"TIM16","df37bc14-03d8-4e3f-ada2-3b63fb68a6e6","P3D","Timing","Timing_16","P3D","-3..3 days","26 Weeks","Week 26 timing","Week 26","P26W"
"TIM8","4cd5c382-e319-4f13-95ae-68150bac071c","","Timing","Timing_8","","","2 Weeks","Week 8 at home timing","Week 8 Home","P2W"
"TIM10","fe278134-6310-459e-98b3-82d58d488044","","Timing","Timing_10","","","2 Weeks","Week 12 at home timing","Week 12 Home","P2W"
"TIM12","7ab563bf-bc21-4c49-bbdb-40c5905d963a","","Timing","Timing_12","","","2 Weeks","Week 16 at home timing","Week 16 Home","P2W"
"TIM14","d843f401-9568-48c2-8581-4b648438a118","","Timing","Timing_14","","","2 Weeks","Week 20 at home timing","Week 20 Home","P2W"
"TIM17","caa1cbc0-7237-4265-a88b-aa70eaee02e6","","Timing","Timing_17","","","1 Day","Adverse Event","Adverse Event","P1D"
"TIM18","11211de0-0bce-4126-9c82-769008d8e047","","Timing","Timing_18","","","1 Day","Early Termination","Early Termination","P1D"
"TIM19","6cd6d0af-33c1-407d-8e83-b94481b42e6f","","Timing","Timing_19","","","0 mins","Supine","Supine","PT0M"
"TIM20","352f2fc2-0889-4ee7-a8dc-4d59cb84d45f","","Timing","Timing_20","","","5 mins","VS while supine","VS while supine","PT5M"
"TIM21","e4f8e9f9-2fcd-41ad-8bf3-b274e0f7e7b8","","Timing","Timing_21","","","0 min","Standing","Standing","PT0M"
"TIM22","e3c8ba1b-7610-4001-afc7-fb1aae10fc35","","Timing","Timing_22","","","1 min","VS while standing","VS while standing","PT1M"
"TIM23","937365f0-1d3e-46fe-9d36-3cf52529da2e","","Timing","Timing_23","","","0 min","Standing","Standing","PT0M"
"TIM24","135eea8b-a0cf-4d23-a03b-2b453cc61792","","Timing","Timing_24","","","2 min","VS while standing","VS while standing","PT2M"
