"name","uuid:ID","instanceType","id","description","label"
"Informed consent","aa0658cc-e17a-4de6-bce6-4350e19b84e4","Activity","Activity_1","","Informed consent"
"Inclusion/exclusion criteria","d3e3b94c-61a4-4ad2-ada4-a8506a7aa52e","Activity","Activity_2","","Inclusion and exclusion criteria"
"Patient number assigned","ca9010f3-5c73-4018-b2d6-a2bfc20ba6fa","Activity","Activity_3","","Patient number assigned"
"Demographics","7432630d-348e-4129-be7e-ffe39058e996","Activity","Activity_4","","Demographics"
"Hachinski","74cf8b32-191b-4a72-819e-8ab355ecd63d","Activity","Activity_5","","Hachinski Ischemic Scale"
"MMSE","f8b7413e-3a28-4ca7-a23d-b2c1bd9fabba","Activity","Activity_6","","MMSE"
"Physical examination","da0314d3-e17c-4e3c-a624-6a11c94c2776","Activity","Activity_7","","Physical examination"
"Medical history","990dd025-1712-4a5c-ac66-a367a5a85aee","Activity","Activity_8","","Medical history"
"Habits","fd60333d-4b23-4a30-b3d2-1c29ad6cac41","Activity","Activity_9","","Habits"
"Chest X-ray","432e3fc5-c07b-44c5-8439-360e270782e9","Activity","Activity_10","","Chest X-ray"
"Apo E genotyping","ef9ae5d9-79a1-4f24-bb87-f2fcb27d670e","Activity","Activity_11","","Apo E genotyping"
"Patient randomised","a5fbc225-e41b-43d2-932f-da0db9ac7946","Activity","Activity_12","","Patient randomised"
"Vital signs / Temperature","1a20ee7f-67bd-429a-a0aa-c1cd31506839","Activity","Activity_13","","Vital Signs and Temperature"
"Ambulatory ECG placed","84df5617-ab0c-4e48-a003-216fef16612e","Activity","Activity_14","","Ambulatory ECG placed"
"Ambulatory ECG removed","7f1f5263-bc48-46a8-be0b-1aa2c63e55c9","Activity","Activity_15","","Ambulatory ECG removed"
"ECG","c67d8bde-bb8b-4a5b-942f-d06dcf762fe8","Activity","Activity_16","","ECG"
"Placebo TTS test","5e9f4dd9-4601-47e3-afa7-911ca9640d0f","Activity","Activity_17","","Placebo TTS test"
"CT scan","29615822-9819-42ed-bcbe-4f9995622522","Activity","Activity_18","","CT scan"
"Concomitant medications","4805ee84-e707-43bc-bc9c-8af6c05ba5cb","Activity","Activity_19","","Concomitant medications"
"Hematology","cbad81c0-2ef1-4472-add0-396a38dc8913","Activity","Activity_20","","Hematology"
"Chemistry","2f1c1cbf-7eac-4e4e-8676-a14664f78384","Activity","Activity_21","","Chemistry"
"Uninalysis","7f35b76d-d368-4f88-b5a8-73a6f41c6eab","Activity","Activity_22","","Uninalysis"
"Plasma Specimen (Xanomeline)","db554453-5815-4d5d-8966-3985b20e563d","Activity","Activity_23","","Plasma Specimen (Xanomeline)"
"Hemoglobin A1C","3127584f-3fac-4065-bd2e-4b4ede149e2a","Activity","Activity_24","","Hemoglobin A1C"
"Study drug","5952d583-8d9a-4f6b-8e0e-94026080652e","Activity","Activity_25","","Study drug record , Medications dispensed, Medications returned"
"TTS Acceptability Survey","72ce0f74-41ed-4be2-aa30-9792d9318259","Activity","Activity_26","","TTS Acceptability Survey"
"ADAS-Cog","197cfdf3-a080-4f1e-9987-ba1cb7be646a","Activity","Activity_27","","ADAS-Cog"
"CIBIC+","1be8b6c1-7019-40ea-85e9-e79f60653b4a","Activity","Activity_28","","CIBIC+"
"DAD","94e2194d-63e3-4a4e-8690-0bec5f84f83c","Activity","Activity_29","","DAD"
"NPI-X","979996c4-1938-4d27-a466-46dcf61d626b","Activity","Activity_30","","NPI-X"
"Adverse events","9b09ffed-838e-40b3-83ab-cc3dfc193f17","Activity","Activity_31","","Adverse events"
"Check adverse events","e7e095bb-dce4-4dac-ac0b-8e3ee7be5482","Activity","Activity_32","","Check adverse events"
"Supine","1c6da944-b90c-4873-b7bd-7d0a4799b331","Activity","Activity_33","","Subject supine"
"Vital Signs Supine","2d1525b8-05cb-467f-9003-9bc551ffa70f","Activity","Activity_34","","Vital signs while supine"
"Stand","0b73cd09-81eb-45b6-ae7b-21dff83f8cf6","Activity","Activity_35","","Subject Standing"
"Vital Signs Standing","8c8a644f-2230-4532-8585-9f4946f0d332","Activity","Activity_36","","Vital signs while standing"
