"uuid:ID","codeSystem","code","id","instanceType","decode","codeSystemVersion"
"731a0ee7-9438-46a0-8aef-3135078afc99","http://www.cdisc.org","C98388","Code_1","Code","Interventional Study","2023-12-15"
"4c48240f-e4d8-4387-88bf-782a1f2d2af6","http://www.cdisc.org","C15601","Code_2","Code","Phase II Trial","2023-12-15"
"ec6640b8-9f26-4163-9f97-d0573a870ae8","http://www.cdisc.org","C132352","Code_9","Code","Sponsor Approval Date","2023-12-15"
"5c933b71-a6e8-40f7-aa4e-cbe1f56e75e2","http://www.cdisc.org","C68846","Code_10","Code","Global","2023-12-15"
"91896a98-58fb-4b2b-b45e-186be6537312","http://www.cdisc.org","C99904x3","Code_72","Code","IRB/IEC Feedback","2023-12-15"
"628180f2-d115-4a94-86fe-6247014ad279","http://www.cdisc.org","C17649","Code_73","Code","Other","2023-12-15"
"01f64427-b3e0-4d0d-a35a-15216cd1998f","http://www.cdisc.org","C41129","Code_75","Code","Region","2023-12-15"
"f336654f-9bd6-402c-829e-69abacaf3033","ISO 3166 1 alpha3","150","Code_74","Code","Europe","2020-08"
"92bc0abb-eac5-4251-ac5d-a677d9c6542c","SPONSOR","PHARMA","Code_4","Code","Eli Lilly","12"
"bd0f98e5-a2a6-4028-be20-331513d7aed1","http://www.cdisc.org","C70793","Code_76","Code","Clinical Study Sponsor","2023-12-15"
"db5fa90c-abed-42a4-933e-85c6a1cba0fa","ISO 3166 1 alpha3","USA","Code_77","Code","United States of America","2020-08"
"11de1245-4134-4eb3-9d53-f9938cae0cec","http://www.cdisc.org","C93453","Code_78","Code","Study Registry","2023-12-15"
"35a0310a-883d-4a4c-ad6a-181079322c0e","ISO 3166 1 alpha3","USA","Code_79","Code","United States of America","2020-08"
"5fd76732-c5e5-4e78-b544-c5967b0045d0","http://www.cdisc.org","C49656","Code_137","Code","Treatment Study","2023-12-15"
"7215d765-8b28-4246-ac29-f2c4e634d06e","http://www.cdisc.org","C49666","Code_138","Code","Efficacy Study","2023-12-15"
"3b374093-f7d9-4c98-a75c-22f202974fe8","http://www.cdisc.org","C49667","Code_139","Code","Safety Study","2023-12-15"
"24afd45e-475f-4974-bb5c-aed64f8c57c7","http://www.cdisc.org","C49663","Code_140","Code","Pharmacokinetic Study","2023-12-15"
"3b7fcfe4-83ab-4291-8815-90992a867add","SPONSOR","MILD_MOD_ALZ","Code_134","Code","Mild to Moderate Alzheimer's Disease","12"
"b80eea92-f801-4f4d-b1de-0038ca467a0a","SNOMED","26929004","Code_135","Code","Alzheimer's disease","January 31, 2018"
"0d193950-8ffd-415f-8370-aba9c41b543f","http://www.cdisc.org","C99907x1","Code_143","Code","EXTENSION","2023-12-15"
"99b1fd33-b248-4434-9d11-2385438994c4","http://www.cdisc.org","C98704","Code_144","Code","ADAPTIVE","2023-12-15"
"49c921b0-2ed9-4c9b-83b7-7e715f6af16f","http://www.cdisc.org","C82639","Code_141","Code","Parallel Study","2023-12-15"
"f924ba51-b6ad-4eed-a66b-b1063ab5d4bc","http://www.cdisc.org","C25716","Code_83","Code","Visit","2023-12-15"
"4e3f1ec5-3112-492b-b007-96d198fe4bd5","http://www.cdisc.org","C51282","Code_84","Code","Clinic","2023-12-15"
"e6fc9e28-1155-4026-ab1d-c13df3009837","http://www.cdisc.org","C175574","Code_85","Code","In Person","2023-12-15"
"da0c2a45-f8a7-4079-8488-89168400e522","http://www.cdisc.org","C25716","Code_86","Code","Visit","2023-12-15"
"0036d2a7-ca7d-4737-9883-4e977c5d102c","http://www.cdisc.org","C51282","Code_87","Code","Clinic","2023-12-15"
"daa21409-1a33-4cfb-97f3-2c74b73528ad","http://www.cdisc.org","C175574","Code_88","Code","In Person","2023-12-15"
"a5717c0c-c485-41c6-8ded-3b52614f4103","http://www.cdisc.org","C25716","Code_89","Code","Visit","2023-12-15"
"b4db9336-1f07-4319-b492-c11d06907402","http://www.cdisc.org","C51282","Code_90","Code","Clinic","2023-12-15"
"a4e39489-5d97-48fa-9745-0fb2d1123714","http://www.cdisc.org","C175574","Code_91","Code","In Person","2023-12-15"
"f288f1e3-c3f1-4a97-a2d3-8b978d904f16","http://www.cdisc.org","C25716","Code_92","Code","Visit","2023-12-15"
"18e0fa64-74b3-40f9-b2ff-14916f427b82","http://www.cdisc.org","C51282","Code_93","Code","Clinic","2023-12-15"
"1307d103-ad03-42d9-af55-296e7d4949ac","http://www.cdisc.org","C175574","Code_94","Code","In Person","2023-12-15"
"7cc1d85b-61d6-4649-a350-51fda9710fa4","http://www.cdisc.org","C25716","Code_95","Code","Visit","2023-12-15"
"dadfd40e-9420-462b-a193-142bf90fb6cf","http://www.cdisc.org","C51282","Code_96","Code","Clinic","2023-12-15"
"76404c62-92b7-4c88-aa04-ac97b7f78c4a","http://www.cdisc.org","C175574","Code_97","Code","In Person","2023-12-15"
"5bf346e4-5e06-4134-ac84-97998959d3c7","http://www.cdisc.org","C25716","Code_98","Code","Visit","2023-12-15"
"3b1de41f-39dd-4c50-8f1c-ad0c571cad5b","http://www.cdisc.org","C51282","Code_99","Code","Clinic","2023-12-15"
"4e4d2b9a-c0f2-4b2c-b886-ae72ba035667","http://www.cdisc.org","C175574","Code_100","Code","In Person","2023-12-15"
"efd4f4ee-b601-4935-9228-d45e343bbc5a","http://www.cdisc.org","C25716","Code_101","Code","Visit","2023-12-15"
"7f8df9cf-ab4c-491d-956d-5cee861b0fc7","http://www.cdisc.org","C51282","Code_102","Code","Clinic","2023-12-15"
"154aa2b7-5a18-414c-96d0-7d03f73136f6","http://www.cdisc.org","C175574","Code_103","Code","In Person","2023-12-15"
"f33f36f1-d5df-4ac5-bf53-00f371e50b5b","http://www.cdisc.org","C171537","Code_104","Code","Telephone Call","2023-12-15"
"78664b6f-5155-4152-a2a4-b86b57059080","http://www.cdisc.org","C25716","Code_105","Code","Visit","2023-12-15"
"014f0905-e654-4110-809d-ee97213ae399","http://www.cdisc.org","C51282","Code_106","Code","Clinic","2023-12-15"
"e658061b-7918-4cd7-9643-e43640672d1a","http://www.cdisc.org","C175574","Code_107","Code","In Person","2023-12-15"
"59ad3679-3d8a-4726-9508-260fc41487f5","http://www.cdisc.org","C171537","Code_108","Code","Telephone Call","2023-12-15"
"47367e96-1c14-4a82-a8ee-990fa3a3d213","http://www.cdisc.org","C25716","Code_109","Code","Visit","2023-12-15"
"e87b9ccf-913c-43db-b057-95ee25c811a7","http://www.cdisc.org","C51282","Code_110","Code","Clinic","2023-12-15"
"67874de9-4941-4168-b3bb-fc2f21ccb8eb","http://www.cdisc.org","C175574","Code_111","Code","In Person","2023-12-15"
"3d5daadd-1328-443c-9177-85d923d8107a","http://www.cdisc.org","C171537","Code_112","Code","Telephone Call","2023-12-15"
"4e356828-8404-4806-9825-5e27ef56e7af","http://www.cdisc.org","C25716","Code_113","Code","Visit","2023-12-15"
"a1b063ba-5d0e-45cc-a19d-5927ca71cad1","http://www.cdisc.org","C51282","Code_114","Code","Clinic","2023-12-15"
"e1b3fec8-f02f-4b3a-9018-9830fd78b0d9","http://www.cdisc.org","C175574","Code_115","Code","In Person","2023-12-15"
"94f6bfe0-ac9f-4d3e-a5fb-3657045310ef","http://www.cdisc.org","C171537","Code_116","Code","Telephone Call","2023-12-15"
"d2a27a0d-ede0-40f2-a6ea-5b052d1ea7d3","http://www.cdisc.org","C25716","Code_117","Code","Visit","2023-12-15"
"5182f44e-0d8d-45e8-a6d6-980a3fc45049","http://www.cdisc.org","C51282","Code_118","Code","Clinic","2023-12-15"
"8a04abf2-84ca-436d-94b5-b6c2b4c74248","http://www.cdisc.org","C175574","Code_119","Code","In Person","2023-12-15"
"6b9c1637-eefd-44a4-aa7e-6ec1bccede92","http://www.cdisc.org","C25716","Code_120","Code","Visit","2023-12-15"
"f381f2d7-9c34-4838-bb44-978917bdc581","http://www.cdisc.org","C51282","Code_121","Code","Clinic","2023-12-15"
"310ac912-17f4-4366-9085-8547722d5264","http://www.cdisc.org","C175574","Code_122","Code","In Person","2023-12-15"
"b56ac8ba-3769-45a4-a769-9ba88ace1192","SNOMED","383371000119108","Code_80","Code","CT of head without contrast","January 31, 2018"
"cd98b34e-9a19-4957-b3ed-412d760b6bfb","SPONSOR","123","Code_81","Code","Subject Supine","12"
"b110d668-ce36-40f3-9283-a23c594788d0","SPONSOR","124","Code_82","Code","Subject Standing","12"
