"name","text","uuid:ID","instanceType","id","description","label","purpose"
"END1","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","cb44a9e1-fe78-420c-bdd3-b76a58d02832","Endpoint","Endpoint_1","","",""
"END2","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","c043b8ac-f2d5-4e6d-aca8-f4c86ef42e59","Endpoint","Endpoint_2","","",""
"END3","Adverse events","f2071edf-e0bd-4f8a-bf76-fc5a46b46d24","Endpoint","Endpoint_3","","",""
"END4","Vital signs (weight, standing and supine blood pressure, heart rate)","ff9ed75f-15cb-48aa-8b40-24a14af75093","Endpoint","Endpoint_4","","",""
"END5","Laboratory evaluations (Change from Baseline)","b1b4304b-e7db-4a8a-9d9b-adac86004157","Endpoint","Endpoint_5","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","",""
"END6","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","8d29d367-0c4c-411d-b1d8-757b405b7555","Endpoint","Endpoint_6","","",""
"END7","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","b77da621-f65f-408e-b5f1-e1369f30e6a5","Endpoint","Endpoint_7","","",""
"END8","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","0249fc8b-5b26-45ff-88b1-3e0282a8cd46","Endpoint","Endpoint_8","","",""
"END9","*** To be determined from protocol ***","5a1a1bbf-6c87-4c64-bee9-ea398d0880df","Endpoint","Endpoint_9","","",""
"END10","*** To be determined from protocol ***","4792e534-dda8-42b1-9128-8d9443b201ca","Endpoint","Endpoint_10","","",""
"END11","*** To be determined from protocol ***","7f2271df-46b9-4b4d-a55b-9a905eaed651","Endpoint","Endpoint_11","","",""
