"name","text","uuid:ID","instanceType","id"
"ENCOUNTER_START_RULE_1","Subject identifier","a7a9ce38-1fab-4b18-80c0-173ad79f9aee","TransitionRule","TransitionRule_1"
"ENCOUNTER_START_RULE_1","completion of screening activities","6dc41379-0e20-4ea7-ac6f-b76f2772e4df","TransitionRule","TransitionRule_2"
"ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","eabe6f69-0fc9-4902-b017-1f18bae733a2","TransitionRule","TransitionRule_3"
"ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","02e5983f-817b-4b47-93d6-ebb0e088f207","TransitionRule","TransitionRule_4"
"ENCOUNTER_START_RULE_3","Radomized","982cf7d5-6c24-4448-83cc-544b571f4392","TransitionRule","TransitionRule_5"
"ENCOUNTER_START_RULE_12","End of treatment","8f6b76ed-1d54-4f4e-ba9a-8c2fc8ee2157","TransitionRule","TransitionRule_6"
"ELEMENT_START_RULE_1","Informed consent","d3067781-9b26-4efa-b4a7-c5a161dc2899","TransitionRule","TransitionRule_7"
"ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","3dcce19e-0980-40b4-bb55-3257315df10c","TransitionRule","TransitionRule_8"
"ELEMENT_START_RULE_2","Administration of first dose","9ab97092-e43c-4e3f-8be9-f5e01df41170","TransitionRule","TransitionRule_9"
"ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","e620e257-07fa-448f-9945-686ee467978c","TransitionRule","TransitionRule_14"
"ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","b3fe3cbe-d66b-439a-84a8-60df35c3fb6f","TransitionRule","TransitionRule_15"
"ELEMENT_START_RULE_3","Administration of first dose","d05f23fd-48f8-45ba-84bc-9ad80c4531f7","TransitionRule","TransitionRule_10"
"ELEMENT_START_RULE_4","Randomized","1faede47-132b-4008-8ece-baad8485de84","TransitionRule","TransitionRule_11"
"ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","195888ca-24e5-4c37-b121-712ef061a4c3","TransitionRule","TransitionRule_12"
"ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","0f5ba8f7-5abd-469b-b9bb-fad37d60e992","TransitionRule","TransitionRule_13"
