"uuid:ID","id","name","instanceType","description","label"
"7d9acfcf-504b-4759-8f70-4d584e153bfc","ScheduledActivityInstance_9","SCREEN1","ScheduledActivityInstance","-","Screen One"
"2966743f-580d-4b3f-8995-e27d5ba58ff6","ScheduledActivityInstance_10","SCREEN2","ScheduledActivityInstance","-","Screen Two"
"4d91f2ee-7f26-4913-a4c5-1dbdb6e6de69","ScheduledActivityInstance_11","DOSE","ScheduledActivityInstance","-","Dose"
"2aafe85f-8fa8-4c87-adcb-01212d60aea5","ScheduledActivityInstance_12","WK2","ScheduledActivityInstance","-","Week 2"
"d46a5984-459c-4c39-bcfc-974bcd2a0ce7","ScheduledActivityInstance_13","WK4","ScheduledActivityInstance","-","Week 4"
"923d5a18-3c5e-4535-9b35-1411f9050838","ScheduledActivityInstance_14","WK6","ScheduledActivityInstance","-","Week 6"
"9c31955b-5513-4687-b570-6722fe820efd","ScheduledActivityInstance_15","WK8","ScheduledActivityInstance","-","Week 8"
"c9cdf684-c485-4793-b321-e344eb22e6ed","ScheduledActivityInstance_16","WK8N","ScheduledActivityInstance","-","Week NPI"
"f98bd399-b107-40b8-864a-b974e0bfd570","ScheduledActivityInstance_17","WK12","ScheduledActivityInstance","-","Week 12"
"21e97027-8c1d-4aa2-9059-0404810854bc","ScheduledActivityInstance_18","WK12N","ScheduledActivityInstance","-","Week 12 NPI"
"8b6179fb-a3ce-4b37-9df7-988983ceb82b","ScheduledActivityInstance_19","WK16","ScheduledActivityInstance","-","Week 16"
"f630ee52-57dc-4af4-b1f4-f790e983c829","ScheduledActivityInstance_20","WK16N","ScheduledActivityInstance","-","Week 16 NPI"
"ea5347cd-a469-4e26-89a6-a6c0e5285446","ScheduledActivityInstance_21","WK20","ScheduledActivityInstance","-","Week 20"
"7a327f76-06a4-4725-80e5-132945623055","ScheduledActivityInstance_22","WK20N","ScheduledActivityInstance","-","Week 20 NPI"
"2444528d-d722-418e-a669-78c26f56c652","ScheduledActivityInstance_23","WK24","ScheduledActivityInstance","-","Week 24"
"6a501626-493e-4947-b930-b718541769d9","ScheduledActivityInstance_24","WK26","ScheduledActivityInstance","-","Week 26"
"babc2a4e-7058-4300-a82d-35090e2738f1","ScheduledActivityInstance_1","AE","ScheduledActivityInstance","-","Adevers Event"
"d821ab07-26af-4add-aaee-2e48b61859e3","ScheduledActivityInstance_2","ET","ScheduledActivityInstance","-","Early Termination"
"da1475b9-1f6d-4aaa-93f5-97a86287c3aa","ScheduledActivityInstance_3","VS_5MIN","ScheduledActivityInstance","","5 minute supine"
"25f023a8-194b-4f4e-bf4c-fba9c96d6313","ScheduledActivityInstance_4","VS_SUPINE","ScheduledActivityInstance","","Vital signs supine"
"b0426061-c969-4c7c-9d1a-e5a612cf656c","ScheduledActivityInstance_5","VS_1MIN","ScheduledActivityInstance","","1 minute standing"
"2f3f31e1-4ee4-4301-9f75-be81ea7e0d9c","ScheduledActivityInstance_6","VS_STAND1","ScheduledActivityInstance","","Vital signs after 1 min standing"
"99471833-95fb-4f27-a4ea-9a0b0bad7cf2","ScheduledActivityInstance_7","VS_2MIN","ScheduledActivityInstance","","2 minute standing"
"e2853b55-6b82-444e-af59-a78423bd88d9","ScheduledActivityInstance_8","VS_STAND3","ScheduledActivityInstance","","Vital signs after 3 min standing"
