"uuid:ID","identifier","text","id","name","instanceType","description","label"
"2896dfb9-7f14-456a-86f9-2142e8061b14","01","<p>Males and postmenopausal females at least <usdm:tag name=""min_age""/> years of age.</p>","EligibilityCriterion_1","IN01","EligibilityCriterion","","Age greater than 50"
"309df073-21e9-460a-8b77-2a83e9ec29d5","02","<p><usdm:tag name=""StudyPopulation""/> as defined by National Institute of Neurological and Communicative Disorders and Stroke (NINCDS) and the Alzheimer's Disease and Related Disorders Association (ADRDA) guidelines (Attachment LZZT.7).</p>","EligibilityCriterion_2","IN02","EligibilityCriterion","","Diagnosis of Alzheimer's"
"8e7c96fe-7a56-48fe-9c5b-d500314f8e36","03","<p><usdm:tag name=""Activity1""/> score of 10 to 23.</p>","EligibilityCriterion_3","IN03","EligibilityCriterion","","MMSE Score"
"ab4f33bb-bbb6-44dd-9d34-fc19f3a15052","04","<p><usdm:tag name=""Activity2""/>  score of ≤4 (Attachment LZZT.8).</p>","EligibilityCriterion_4","IN04","EligibilityCriterion","","Hachinski Ischemic Score"
"316443a3-0a50-465f-93d2-bf6dcc49ede7","05","<p>CNS imaging (CT scan or MRI of brain) compatible with AD within past 1 year.</p>
<p>The following findings are incompatible with AD:</p>
<ol type=""a"">
  <li>
    <p>Large vessel strokes</p>
    <ol>
      <li>
        <p>Any definite area of encephalomalacia consistent with ischemic necrosis in any cerebral artery territory.</p>
      </li>
      <li>
        <p>Large, confluent areas of encephalomalacia in parieto-occipital or frontal regions consistent with watershed
          infarcts.</p>
        <p>The above are exclusionary. Exceptions are made for small areas of cortical asymmetry which may represent a
          small cortical stroke or a focal area of atrophy provided there is no abnormal signal intensity in the
          immediately underlying parenchyma. Only one such questionable area allowed per scan, and size is restricted to
          ≤1cm in frontal/parietal/temporal cortices and ≤2 cm in occipital cortex.</p>
      </li>
    </ol>
  </li>
  <li>
    <p>Small vessel ischemia</p>
    <ol>
      <li>
        <p>Lacunar infarct is defined as an area of abnormal intensity seen on CT scan or on both T1 and T2 weighted MRI
          images in the basal ganglia, thalamus or deep white matter which is ≤1 cm in maximal diameter. A maximum of
          one
          lacune is allowed per scan.</p>
      </li>
      <li>
        <p>Leukoariosis or leukoencephalopathy is regarded as an abnormality seen on T2 but not T1 weighted MRIs, or on
          CT. This is accepted if mild or moderate in extent, meaning involvement of less than 25% of cortical white
          matter.
      </li>
    </ol>
  </li>
  <li>
    <p>Miscellaneous</p>
    <ol>
      <li>
        <p>Benign small extra-axial tumors (ie, meningiomas) are accepted if they do not contact or indent the brain
          parenchyma.</p>
      </li>
      <li>
        <p>Small extra-axial arachnoid cysts are accepted if they do not indent or deform the brain parenchyma.</p>
      </li>
    </ol>
  </li>
</ol>","EligibilityCriterion_5","IN05","EligibilityCriterion","","CNS imaging comptaible with Alzheimer's"
"1228daa9-d963-4c89-ae5f-65b3722f60ae","06","<p>Investigator has obtained informed consent signed by the patient (and/or legal representative) and by the caregiver.</p>","EligibilityCriterion_6","IN06","EligibilityCriterion","","Informed consent criteria"
"ad2ae1af-ac92-43c9-8892-fee4ce16d0c7","07","<p>Geographic proximity to investigator's site that allows adequate follow-up.</p>","EligibilityCriterion_7","IN07","EligibilityCriterion","","Geographic proximity criteria"
"9b2319c9-57d3-4080-93ba-a4e3b0b202b0","08","<p>A reliable caregiver who is in frequent or daily contact with the patient and who will accompany the patient to the office and/or be available by telephone at designated times, will monitor administration of prescribed medications, and will be responsible for the overall care of the patient at home. The caregiver and the patient must be able to communicate in English and willing to comply with 26 weeks of transdermal therapy.</p>","EligibilityCriterion_8","IN08","EligibilityCriterion","","Reliable caregiver criteria"
"eb29e0d7-47f1-406c-a7e4-976ea43f75c1","09","<p>Persons who have previously completed or withdrawn from this study or any other study investigating xanomeline TTS or the oral formulation of xanomeline.</p>","EligibilityCriterion_9","EX01","EligibilityCriterion","","Previous study criteria"
"78dcf0d3-c1f2-4233-82f7-7a6d50e81d08","10","<p>Use of any investigational agent or approved Alzheimer's therapeutic medication within 30 days prior to enrollment into the study.</p>","EligibilityCriterion_10","EX02","EligibilityCriterion","","Other Alzheimer's therapy criteria"
"7645ec4f-6feb-4301-ac8a-da09c5cb4f3a","11","<p>Serious illness which required hospitalization within 3 months of screening.</p>","EligibilityCriterion_11","EX03","EligibilityCriterion","","Serious illness criteria"
"e36bba8e-2aaf-41d2-b348-63c1d1e1908f","12","<p>Diagnosis of serious neurological conditions, including </p>
<ol type=""a"">
<li><p>Stroke or vascular dementia documented by clinical history and/or radiographic findings interpretable by the investigator as indicative of these disorders</p></li>
<li><p>Seizure disorder other than simple childhood febrile seizures</p></li>
<li><p>Severe head trauma resulting in protracted loss of consciousness within the last 5 years, or multiple episodes of head trauma</p></li>
<li><p>Parkinson's disease</p></li>
<li><p>Multiple sclerosis</p></li>
<li><p>Amyotrophic lateral sclerosis</p></li>
<li><p>Myasthenia gravis.</p></li>
</ol>","EligibilityCriterion_12","EX04","EligibilityCriterion","","Serious neurolocal conditions criteria"
