"uuid:ID","id","name","instanceType","description","label"
"2fad0960-7913-4cc1-88f7-53c1a2ed76b0","Encounter_1","E1","Encounter","Screening encounter","Screening 1"
"296ebf39-a831-404e-abfb-0e0a575d47f7","Encounter_2","E2","Encounter","Screening encounter - Ambulatory ECG Placement","Screening 2"
"92e1bfc0-809a-44fd-a8ff-e77339022d8e","Encounter_3","E3","Encounter","Baseline encounter - Ambulatory ECG Removal","Baseline"
"28ea5c2d-eb4d-4b38-a1f6-a414d753737f","Encounter_4","E4","Encounter","Day 14","Week 2"
"33cd1287-1c26-4290-a2fb-cbf78afe03a4","Encounter_5","E5","Encounter","Day 28","Week 4"
"02eb57c8-2daa-4b38-86eb-794a0a463dab","Encounter_6","E7","Encounter","Day 42","Week 6"
"5f011a3e-df94-4971-bbe2-5115435276fe","Encounter_7","E8","Encounter","Day 56","Week 8"
"b2c73a71-8e8e-4664-b6d8-a785885941dd","Encounter_8","E9","Encounter","Day 84","Week 12"
"139c722d-7c40-47c8-a8e6-7104ab697870","Encounter_9","E10","Encounter","Day 112","Week 16"
"0da8e94f-f1a0-4a59-a283-3dc9336c7710","Encounter_10","E11","Encounter","Day 140","Week 20"
"d7820d06-6fb7-481f-9840-003de5316bac","Encounter_11","E12","Encounter","Day 168","Week 24"
"c11c981c-2d6e-459f-90b8-08a35c5b324f","Encounter_12","E13","Encounter","Day 182","Week 26"
