"uuid:ID","id","synonyms","name","instanceType","reference","label"
"cd589197-b587-48c4-8d4c-ecda89778af4","BiomedicalConcept_20","['Informed Consent Obtained', 'Informed Consent']","Informed Consent Obtained","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","Informed Consent Obtained"
"55621b8e-53e5-467f-a13d-dd5bd1a92d01","BiomedicalConcept_21","","Sex","BiomedicalConcept","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","Sex"
"34017c6c-2e0a-49c4-8bc6-8429dc58e777","BiomedicalConcept_22","['Racial Group']","Race","BiomedicalConcept","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","Race"
"434d0891-3bb5-4606-b2f6-af410a751351","BiomedicalConcept_23","['Temperature', 'Body Temperature']","Temperature","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","Temperature"
"a044b37a-e238-4523-9c7e-23ff748051ec","BiomedicalConcept_24","['Weight', 'Body Weight']","Weight","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","Weight"
"68255803-c4a7-4121-b31a-400e3fa5b47d","BiomedicalConcept_25","['Height', 'Body Height']","Height","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","Height"
"b21528a9-fba0-4ca8-8928-dc55d974f296","BiomedicalConcept_26","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","Alanine Aminotransferase Concentration in Serum/Plasma"
"1c244035-9e4f-441d-b82e-60d023e5732f","BiomedicalConcept_27","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","Albumin Presence in Urine"
"7883a4e6-5e8b-4827-9ec0-f6129f7c754a","BiomedicalConcept_28","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","Alkaline Phosphatase Concentration in Serum/Plasma"
"2dc02ce9-4ecb-4fcb-8629-0a1507a8f12a","BiomedicalConcept_29","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","Aspartate Aminotransferase in Serum/Plasma"
"cffa5db5-0025-49ef-8f71-10fdf20b636b","BiomedicalConcept_30","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","Creatinine Concentration in Urine"
"5420f6b8-7911-4cb0-913c-4b76e14c2a4e","BiomedicalConcept_31","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","Potassium Concentration in Urine"
"90fe3906-d442-4358-9529-636942c38f1b","BiomedicalConcept_32","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","Sodium Concentration in Urine"
"900da488-780b-4772-98d9-8c12aff0bd4e","BiomedicalConcept_33","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","Hemoglobin A1C Concentration in Blood","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","Hemoglobin A1C Concentration in Blood"
"a99471f6-fe92-406d-9486-66d5868fdbe5","BiomedicalConcept_1","['Adverse Event', 'Solicited Adverse Event']","Adverse Event Prespecified","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","Adverse Event Prespecified"
"9bbe2aa8-df63-4e01-ba06-bcaf10c430ad","BiomedicalConcept_2","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure"
"873b3a00-b260-4f57-839c-1080ba93887f","BiomedicalConcept_3","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure"
"8670751f-19af-4a01-9fa2-d3a4a9ecba92","BiomedicalConcept_4","['Temperature', 'Body Temperature']","Temperature","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","Temperature"
"866cdb57-18f7-41af-8740-fc8e18d3e663","BiomedicalConcept_5","['Weight', 'Body Weight']","Weight","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","Weight"
