"value","uuid:ID","valueLabel","windowLower","id","windowUpper","name","instanceType","description","windowLabel","label"
"P2W","02b76028-9b6a-41d1-9d96-284b82f36d72","2 weeks","","Timing_1","","TIM1","Timing","Screening timing","","Screening"
"P2D","1a2456bb-bcd5-4d4d-b401-b671b2394995","2 days","PT4H","Timing_2","PT0H","TIM2","Timing","Pre dose timing","-4..0 hours","Pre dose"
"P1D","2ac986bb-8ce4-4280-90a9-ebc8cbe26ebc","1 Day","","Timing_3","","TIM3","Timing","Dosing anchor","","Dosing"
"P2W","52733b8d-803d-4d45-a36b-aea5644cb718","2 Weeks","P3D","Timing_4","P3D","TIM4","Timing","Week 2 timing","-3..3 days","Week 2"
"P4W","699e9c33-3d4d-4646-b205-242a95ab3eb8","4 Weeks","P3D","Timing_5","P3D","TIM5","Timing","Week 4 timing","-3..3 days","Week 4"
"P6W","cc32824f-89f2-4185-94df-24e14fe23faf","6 Weeks","P3D","Timing_6","P3D","TIM6","Timing","Week 6 timing","-3..3 days","Week 6"
"P8W","1c9f8588-0bec-46bd-98f4-d7c48bcbbaa9","8 Weeks","P3D","Timing_7","P3D","TIM7","Timing","Week 8 timing","-3..3 days","Week 8"
"P12W","e0f9dbff-c233-4be2-8da1-eaff99d1dd62","12 Weeks","P4D","Timing_9","P4D","TIM9","Timing","Week 12 timing","-4..4 days","Week 12"
"P16W","7fec4974-9e68-4a37-8b23-865df880db7d","16 Weeks","P4D","Timing_11","P4D","TIM11","Timing","Week 16 timing","-4..4 days","Week 16"
"P20W","a8a709b4-ea13-4469-9e34-4f5e605ada55","20 Weeks","P4D","Timing_13","P4D","TIM13","Timing","Week 20 timing","-4..4 days","Week 20"
"P24W","9f7f56b1-fb88-4d14-832a-02b479deccb5","24 Weeks","P4D","Timing_15","P4D","TIM15","Timing","Week 24 timing","-4..4 days","Week 24"
"P26W","3e85cace-12b4-4d9f-a4b9-a2406479c720","26 Weeks","P3D","Timing_16","P3D","TIM16","Timing","Week 26 timing","-3..3 days","Week 26"
"P2W","f3fe9609-3475-4662-932f-98bd23a73dcc","2 Weeks","","Timing_8","","TIM8","Timing","Week 8 at home timing","","Week 8 Home"
"P2W","75c1fa3c-f947-4106-98a5-cd9aadbc1b9d","2 Weeks","","Timing_10","","TIM10","Timing","Week 12 at home timing","","Week 12 Home"
"P2W","c9ad2929-9b67-4424-bd71-1650f28b23c3","2 Weeks","","Timing_12","","TIM12","Timing","Week 16 at home timing","","Week 16 Home"
"P2W","087b6887-27aa-4a65-91cb-6f8ca828160d","2 Weeks","","Timing_14","","TIM14","Timing","Week 20 at home timing","","Week 20 Home"
"P1D","183fdab9-7f15-4e16-b90a-3531d3c6ccac","1 Day","","Timing_17","","TIM17","Timing","Adverse Event","","Adverse Event"
"P1D","99e50562-c7bd-4ad2-b8a5-0675ed6b368c","1 Day","","Timing_18","","TIM18","Timing","Early Termination","","Early Termination"
"PT0M","53fc0a5e-19ee-468e-ac62-98dfe0f60301","0 mins","","Timing_19","","TIM19","Timing","Supine","","Supine"
"PT5M","4fa1d835-5b18-47cb-ac22-3f407cb6b446","5 mins","","Timing_20","","TIM20","Timing","VS while supine","","VS while supine"
"PT0M","db1225dd-5b56-46f7-b1b7-b7e322bc5669","0 min","","Timing_21","","TIM21","Timing","Standing","","Standing"
"PT1M","38cdafb2-9add-429d-9678-06bffc6c0264","1 min","","Timing_22","","TIM22","Timing","VS while standing","","VS while standing"
"PT0M","9bd01812-69b1-47d6-9645-d20dcf175cb4","0 min","","Timing_23","","TIM23","Timing","Standing","","Standing"
"PT2M","50c48fbd-2dc8-4ccf-b080-486b1066ff22","2 min","","Timing_24","","TIM24","Timing","VS while standing","","VS while standing"
