"uuid:ID","id","name","instanceType","description","label"
"35cecde8-0007-40b9-8f6a-7186e81dd1ee","Activity_1","Informed consent","Activity","","Informed consent"
"fce26d86-6d81-455b-9cfa-3c807e68c2a2","Activity_2","Inclusion/exclusion criteria","Activity","","Inclusion and exclusion criteria"
"4081b6b4-842a-4949-9062-c382ad3fd29a","Activity_3","Patient number assigned","Activity","","Patient number assigned"
"6ffe1b46-c1b2-404e-b54e-f7923d04c7d3","Activity_4","Demographics","Activity","","Demographics"
"0b89bbc9-f594-4bbe-9d08-a5e724110ce9","Activity_5","Hachinski","Activity","","Hachinski Ischemic Scale"
"19cc11e3-de3d-4998-89c3-8b9be0cb207c","Activity_6","MMSE","Activity","","MMSE"
"efa5c634-da3c-4e38-a1f7-3173488b2519","Activity_7","Physical examination","Activity","","Physical examination"
"815fed3c-d638-4144-90f9-36fb714d3e39","Activity_8","Medical history","Activity","","Medical history"
"f51d3156-0e25-4bc8-b9ec-e15ed59b477a","Activity_9","Habits","Activity","","Habits"
"9cce7a27-6335-4794-9750-50676d0eebe9","Activity_10","Chest X-ray","Activity","","Chest X-ray"
"2d9a0ca7-9bd8-4902-bab2-71bdefde8934","Activity_11","Apo E genotyping","Activity","","Apo E genotyping"
"fcb93160-ec29-485b-b789-295ea0330235","Activity_12","Patient randomised","Activity","","Patient randomised"
"e6f165f8-c180-440d-9259-1542a1531837","Activity_13","Vital signs / Temperature","Activity","","Vital Signs and Temperature"
"576ed053-51a8-4486-83d5-e35e5b60e928","Activity_14","Ambulatory ECG placed","Activity","","Ambulatory ECG placed"
"69d98141-07ca-457c-adc1-823a1714a963","Activity_15","Ambulatory ECG removed","Activity","","Ambulatory ECG removed"
"024bf9ba-34d3-4b11-b3f2-ac3cfec26802","Activity_16","ECG","Activity","","ECG"
"b3e5d2d9-73f7-4bb2-ba9b-b3813da6ef2a","Activity_17","Placebo TTS test","Activity","","Placebo TTS test"
"8262117a-42c7-443d-bf26-e72f0538f32a","Activity_18","CT scan","Activity","","CT scan"
"6dca50d8-e884-411f-be3e-d26fe0b5af9a","Activity_19","Concomitant medications","Activity","","Concomitant medications"
"41f7cf3f-3ab7-4f08-96ab-85eb48feb36d","Activity_20","Hematology","Activity","","Hematology"
"d9eb6769-903e-4413-bc30-d7a967c9ca79","Activity_21","Chemistry","Activity","","Chemistry"
"4e188b5b-5fc1-474b-b5f8-2960f95dcff7","Activity_22","Uninalysis","Activity","","Uninalysis"
"65e7f97c-6050-4433-babb-ac1ce571cb75","Activity_23","Plasma Specimen (Xanomeline)","Activity","","Plasma Specimen (Xanomeline)"
"9d34f659-998d-4be3-bc3f-5f372955c0b6","Activity_24","Hemoglobin A1C","Activity","","Hemoglobin A1C"
"6c849c3b-a1e6-4907-8616-62ce5c62e039","Activity_25","Study drug","Activity","","Study drug record , Medications dispensed, Medications returned"
"5f81fa9a-edd4-4883-af13-93b6e052ce3a","Activity_26","TTS Acceptability Survey","Activity","","TTS Acceptability Survey"
"6d637fac-63a6-4738-9583-5528d63e00fd","Activity_27","ADAS-Cog","Activity","","ADAS-Cog"
"ae8ef5fc-105e-4d60-82ad-2931672a6cf8","Activity_28","CIBIC+","Activity","","CIBIC+"
"fe39d2e0-f847-40e0-b704-87ef2e6ab202","Activity_29","DAD","Activity","","DAD"
"cbf4588c-11a2-4847-b89f-2a6d32040476","Activity_30","NPI-X","Activity","","NPI-X"
"d358eedf-fffb-4c85-a99e-88bee50caaf2","Activity_31","Adverse events","Activity","","Adverse events"
"52343417-7829-46d5-bf93-df46c71a5af6","Activity_32","Check adverse events","Activity","","Check adverse events"
"8b2d40a8-958c-4195-acc0-7fad6769f0bf","Activity_33","Supine","Activity","","Subject supine"
"2cb3d884-8cc8-49b7-b2de-049e9d08066f","Activity_34","Vital Signs Supine","Activity","","Vital signs while supine"
"32238604-58ee-4aab-8062-08f07c34592a","Activity_35","Stand","Activity","","Subject Standing"
"a563e212-acce-49f5-bdd3-a6a5af1d04bf","Activity_36","Vital Signs Standing","Activity","","Vital signs while standing"
