"uuid:ID","codeSystemVersion","decode","code","instanceType","codeSystem","id"
"76232f35-f730-4720-8276-8b4f8b670cf3","2023-12-15","Interventional Study","C98388","Code","http://www.cdisc.org","Code_1"
"6375593e-4fc5-4710-ab6f-98fd24ad8251","2023-12-15","Phase II Trial","C15601","Code","http://www.cdisc.org","Code_2"
"e2249074-482f-428d-b31a-171f33bd4bc6","2023-12-15","Sponsor Approval Date","C132352","Code","http://www.cdisc.org","Code_9"
"349064f7-a490-4058-adb5-5e2bea61ee82","2023-12-15","Global","C68846","Code","http://www.cdisc.org","Code_10"
"4cf93913-183b-4dbd-a907-2688f593d518","2023-12-15","IRB/IEC Feedback","C99904x3","Code","http://www.cdisc.org","Code_72"
"21380fd5-da0e-479f-8fcc-27f9a8215320","2023-12-15","Other","C17649","Code","http://www.cdisc.org","Code_73"
"526e301a-de0b-493e-ab21-c47c8ea1255e","2023-12-15","Region","C41129","Code","http://www.cdisc.org","Code_75"
"af464ff5-35af-4241-8d12-88be52037cf1","2020-08","Europe","150","Code","ISO 3166 1 alpha3","Code_74"
"c354087c-8973-4db3-95d8-39104d9018b3","12","Eli Lilly","PHARMA","Code","SPONSOR","Code_4"
"a8540391-cb0f-4048-9b54-f1b50682e336","2023-12-15","Clinical Study Sponsor","C70793","Code","http://www.cdisc.org","Code_76"
"51185c99-3ab7-416c-ba70-bb224b07f677","2020-08","United States of America","USA","Code","ISO 3166 1 alpha3","Code_77"
"18d560b3-3a8d-4564-a1f5-2e466a6a3580","2023-12-15","Study Registry","C93453","Code","http://www.cdisc.org","Code_78"
"635b9dd0-1092-4199-bdd7-fe2a06f28465","2020-08","United States of America","USA","Code","ISO 3166 1 alpha3","Code_79"
"5c18904e-c5ca-4d41-bcee-0e5490c7f2e0","2023-12-15","Treatment Study","C49656","Code","http://www.cdisc.org","Code_137"
"cd2c67b2-051a-45c7-97df-e07454cfd5da","2023-12-15","Efficacy Study","C49666","Code","http://www.cdisc.org","Code_138"
"3933da9f-144b-416e-b9df-6b6529329b54","2023-12-15","Safety Study","C49667","Code","http://www.cdisc.org","Code_139"
"e81db6ae-efb3-4c94-95c4-b462783a577f","2023-12-15","Pharmacokinetic Study","C49663","Code","http://www.cdisc.org","Code_140"
"681c0ae8-28e4-4a7e-b14d-565e6d665a2f","12","Mild to Moderate Alzheimer's Disease","MILD_MOD_ALZ","Code","SPONSOR","Code_134"
"83f28af3-d272-4ba6-bb88-5bec2cb86136","January 31, 2018","Alzheimer's disease","26929004","Code","SNOMED","Code_135"
"4619e55a-6a9b-4e87-a1aa-002ea34dc693","2023-12-15","EXTENSION","C99907x1","Code","http://www.cdisc.org","Code_143"
"8bfc6f89-3434-4f1c-812d-c725fc8d4955","2023-12-15","ADAPTIVE","C98704","Code","http://www.cdisc.org","Code_144"
"4a504f91-145e-41b2-9629-24497a19534e","2023-12-15","Parallel Study","C82639","Code","http://www.cdisc.org","Code_141"
"6435291e-e887-4d15-90b3-0d05ff0b8e9b","2023-12-15","Visit","C25716","Code","http://www.cdisc.org","Code_83"
