"uuid:ID","text","name","instanceType","id"
"e25e4a45-be59-4787-b1b2-a73457ae8138","Subject identifier","ENCOUNTER_START_RULE_1","TransitionRule","TransitionRule_1"
"7baa4224-fa6b-4b0c-a2c1-e8182bbec7d4","completion of screening activities","ENCOUNTER_START_RULE_1","TransitionRule","TransitionRule_2"
"627c9160-c66c-4b40-a90e-7d1ab02cd6ff","subject leaves clinic after connection of ambulatory ECG machine","ENCOUNTER_START_RULE_2","TransitionRule","TransitionRule_3"
"bf08e5dd-0855-4fcc-9d0b-89d5ea2a7566","subject has connection of ambulatory ECG machine removed","ENCOUNTER_START_RULE_3","TransitionRule","TransitionRule_4"
"218cb1e5-ad73-4afd-9d23-76fa1e1f4139","Radomized","ENCOUNTER_START_RULE_3","TransitionRule","TransitionRule_5"
"40cc4fbe-3a12-4fc0-8f23-1015880c9e7f","End of treatment","ENCOUNTER_START_RULE_12","TransitionRule","TransitionRule_6"
"1f9eb34a-e1e2-4ab5-a094-8eebf0d6b0eb","Informed consent","ELEMENT_START_RULE_1","TransitionRule","TransitionRule_7"
"d6dd6a4d-c993-4695-8efa-3f815d9ad60a","Completion of all screening activities and no more than 2 weeks from informed consent","ELEMENT_END_RULE_1","TransitionRule","TransitionRule_8"
"0cf94103-37c2-4cd0-b59a-2296f617a1b2","Administration of first dose","ELEMENT_START_RULE_2","TransitionRule","TransitionRule_9"
"84f5a350-6a3d-4953-a711-25fca04881df","End of last scheduled visit on study (including early termination)","ELEMENT_START_RULE_7","TransitionRule","TransitionRule_14"
"3fb9111b-17d2-459f-a5b9-01ccf243b354","Completion of all specified followup activities (which vary on a patient-by-patient basis)","ELEMENT_END_RULE_7","TransitionRule","TransitionRule_15"
"2ef34e27-344d-40f3-a0c9-c629db55c32a","Administration of first dose","ELEMENT_START_RULE_3","TransitionRule","TransitionRule_10"
"c34ca195-0fcd-4f86-a012-99cf6be399cb","Randomized","ELEMENT_START_RULE_4","TransitionRule","TransitionRule_11"
"cabf2b2a-601c-44d4-b685-3107b992be6a","Administration of first dose (from patches supplied at Visit 4)","ELEMENT_START_RULE_5","TransitionRule","TransitionRule_12"
"2044b6a0-8080-4887-9574-164fb95259c6","Administration of first dose (from patches supplied at Visit 12)","ELEMENT_START_RULE_6","TransitionRule","TransitionRule_13"
