"decode","instanceType","uuid:ID","id","codeSystem","code","codeSystemVersion"
"Interventional Study","Code","8bf35370-e431-4988-a446-c347b4c2bc39","Code_1","http://www.cdisc.org","C98388","2023-12-15"
"Phase II Trial","Code","545f61c5-0ac4-4ee8-9270-e787d0c92d34","Code_2","http://www.cdisc.org","C15601","2023-12-15"
"Sponsor Approval Date","Code","9fd994de-f284-4d96-bc75-8189b59f996e","Code_9","http://www.cdisc.org","C132352","2023-12-15"
"Global","Code","8b0de9ad-3360-407b-85f5-0da241b01721","Code_10","http://www.cdisc.org","C68846","2023-12-15"
"IRB/IEC Feedback","Code","07ef5f32-5944-45a3-81b5-73e32bfa5fbe","Code_72","http://www.cdisc.org","C99904x3","2023-12-15"
"Other","Code","144a28a1-5e69-4da4-b480-5720af8ac77e","Code_73","http://www.cdisc.org","C17649","2023-12-15"
"Region","Code","bb7e6701-908e-4116-8f08-413ef47b8257","Code_75","http://www.cdisc.org","C41129","2023-12-15"
"Europe","Code","6f42efda-241a-40be-9548-f678add80b7e","Code_74","ISO 3166 1 alpha3","150","2020-08"
"Eli Lilly","Code","5cd3c4f1-c094-4722-b2b1-621b26688ecb","Code_4","SPONSOR","PHARMA","12"
"Clinical Study Sponsor","Code","1d7dd050-545b-4c7a-b42b-6954a7f3ef46","Code_76","http://www.cdisc.org","C70793","2023-12-15"
"United States of America","Code","a8a8779e-0a26-40c1-ba06-483487cd7234","Code_77","ISO 3166 1 alpha3","USA","2020-08"
"Study Registry","Code","df52cffc-9b12-4dd5-ad40-34d3c2bbd937","Code_78","http://www.cdisc.org","C93453","2023-12-15"
"United States of America","Code","129f9caf-a9d8-4469-a943-965fc02444f7","Code_79","ISO 3166 1 alpha3","USA","2020-08"
"Treatment Study","Code","8bafc863-ad6b-48dc-bcb0-5d293c017d57","Code_137","http://www.cdisc.org","C49656","2023-12-15"
"Efficacy Study","Code","5c422f94-1738-43a1-a057-170fa0906424","Code_138","http://www.cdisc.org","C49666","2023-12-15"
"Safety Study","Code","660fc9a6-433f-4c62-a7f2-b5b45e008d1e","Code_139","http://www.cdisc.org","C49667","2023-12-15"
"Pharmacokinetic Study","Code","37b3000f-052d-4dd1-a975-1a35a7b5d413","Code_140","http://www.cdisc.org","C49663","2023-12-15"
"Mild to Moderate Alzheimer's Disease","Code","735ef07e-3904-49ff-a718-6e5cc5156636","Code_134","SPONSOR","MILD_MOD_ALZ","12"
