"label","instanceType","uuid:ID","id","description","name"
"Screen One","ScheduledActivityInstance","be93f760-4781-41ac-a7df-60ac9e185031","ScheduledActivityInstance_9","-","SCREEN1"
"Screen Two","ScheduledActivityInstance","0f3d967a-ce74-4d4e-bb07-abdbc83ce366","ScheduledActivityInstance_10","-","SCREEN2"
"Dose","ScheduledActivityInstance","de9cffb0-3ef4-4d80-b8fc-24e00c679a79","ScheduledActivityInstance_11","-","DOSE"
"Week 2","ScheduledActivityInstance","e7740e87-e8c3-431d-b210-f94ad0fe67d7","ScheduledActivityInstance_12","-","WK2"
"Week 4","ScheduledActivityInstance","a69cbfba-f23b-4125-b2e3-1d4f06b95366","ScheduledActivityInstance_13","-","WK4"
"Week 6","ScheduledActivityInstance","0e098988-0b82-43b1-a5be-4480ccf8c647","ScheduledActivityInstance_14","-","WK6"
"Week 8","ScheduledActivityInstance","5a3034f1-8a7d-445f-9fee-7d45abd3ca3b","ScheduledActivityInstance_15","-","WK8"
"Week NPI","ScheduledActivityInstance","f0b8db15-89d9-4f6a-9cc1-b79ceb5d7b26","ScheduledActivityInstance_16","-","WK8N"
"Week 12","ScheduledActivityInstance","7fbd6384-44f2-463a-bb5a-c43511228945","ScheduledActivityInstance_17","-","WK12"
"Week 12 NPI","ScheduledActivityInstance","cf90ec61-2ae6-4c03-82d3-7af2a6393b4a","ScheduledActivityInstance_18","-","WK12N"
"Week 16","ScheduledActivityInstance","3309cbcf-86a5-4923-93dd-7def3ec1f2ad","ScheduledActivityInstance_19","-","WK16"
"Week 16 NPI","ScheduledActivityInstance","66359124-421d-4f82-9cd3-495fb8be7f0c","ScheduledActivityInstance_20","-","WK16N"
"Week 20","ScheduledActivityInstance","fa43066e-b08c-4708-b247-d1104819df0f","ScheduledActivityInstance_21","-","WK20"
"Week 20 NPI","ScheduledActivityInstance","74c7f954-ca4a-4e51-86b4-9923d85269ca","ScheduledActivityInstance_22","-","WK20N"
"Week 24","ScheduledActivityInstance","6ba3308a-424c-41a0-a5ec-8ffd360b1ba7","ScheduledActivityInstance_23","-","WK24"
"Week 26","ScheduledActivityInstance","1b273e05-ba15-45fb-a112-e496a61e1211","ScheduledActivityInstance_24","-","WK26"
"Adevers Event","ScheduledActivityInstance","216955b3-fb56-42bd-850e-a275cab4e605","ScheduledActivityInstance_1","-","AE"
"Early Termination","ScheduledActivityInstance","bfd9f909-8f4f-4912-bf85-a499e092c195","ScheduledActivityInstance_2","-","ET"
"5 minute supine","ScheduledActivityInstance","6f913f3f-e7ac-4e00-998d-2a0c813da5b6","ScheduledActivityInstance_3","","VS_5MIN"
"Vital signs supine","ScheduledActivityInstance","72a58d90-c163-4e62-a20b-50cfbbef9a8c","ScheduledActivityInstance_4","","VS_SUPINE"
"1 minute standing","ScheduledActivityInstance","55068cb9-276c-415d-9c7c-1e3c666477ca","ScheduledActivityInstance_5","","VS_1MIN"
"Vital signs after 1 min standing","ScheduledActivityInstance","ceb31a9c-70bd-4749-9f45-3a5af8c842ed","ScheduledActivityInstance_6","","VS_STAND1"
"2 minute standing","ScheduledActivityInstance","d85c6411-90f6-4bd6-9435-e8a9b08f3d42","ScheduledActivityInstance_7","","VS_2MIN"
"Vital signs after 3 min standing","ScheduledActivityInstance","a893d6cd-4f05-40af-b35b-b1670b5bde87","ScheduledActivityInstance_8","","VS_STAND3"
