"label","instanceType","uuid:ID","id","synonyms","reference","name"
"Informed Consent Obtained","BiomedicalConcept","42353e45-95ec-4e4b-a01d-5f110ed047ef","BiomedicalConcept_20","['Informed Consent Obtained', 'Informed Consent']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","Informed Consent Obtained"
"Sex","BiomedicalConcept","64758d25-3204-413c-81d0-bc51ec3c70bc","BiomedicalConcept_21","","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","Sex"
"Race","BiomedicalConcept","5d6231ba-2f3f-4778-870d-507ee9c7c052","BiomedicalConcept_22","['Racial Group']","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","Race"
"Temperature","BiomedicalConcept","d30b5799-e517-4a63-8895-a4b98087e694","BiomedicalConcept_23","['Temperature', 'Body Temperature']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","Temperature"
"Weight","BiomedicalConcept","4c56dd0c-bc7a-4561-93af-815b71fe7cd8","BiomedicalConcept_24","['Weight', 'Body Weight']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","Weight"
"Height","BiomedicalConcept","a96e079e-17da-4f9a-938e-71c7ed94ab10","BiomedicalConcept_25","['Height', 'Body Height']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","Height"
"Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept","9faabbd1-c50d-4876-8f15-ef3c3ee9d8cb","BiomedicalConcept_26","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","Alanine Aminotransferase Concentration in Serum/Plasma"
"Albumin Presence in Urine","BiomedicalConcept","10d8c7f1-64c7-45c0-b7bc-41f609f72a4a","BiomedicalConcept_27","['Albumin', 'Albumin Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","Albumin Presence in Urine"
"Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept","cc4bde06-d872-41e4-9a7b-d4b65ee92559","BiomedicalConcept_28","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","Alkaline Phosphatase Concentration in Serum/Plasma"
"Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept","89c8a5e4-09d5-425d-9706-14e8b7411e80","BiomedicalConcept_29","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","Aspartate Aminotransferase in Serum/Plasma"
"Creatinine Concentration in Urine","BiomedicalConcept","f5d0bb31-9e65-4dff-8761-a95dbf1deecd","BiomedicalConcept_30","['Creatinine', 'Creatinine Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","Creatinine Concentration in Urine"
"Potassium Concentration in Urine","BiomedicalConcept","49d64028-fd89-4475-8ed2-acc8e963deda","BiomedicalConcept_31","['Potassium', 'K', 'Potassium Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","Potassium Concentration in Urine"
"Sodium Concentration in Urine","BiomedicalConcept","6902b1d0-6b29-4315-97d7-dac9c19badb3","BiomedicalConcept_32","['Sodium', 'NA', 'Sodium Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","Sodium Concentration in Urine"
"Hemoglobin A1C Concentration in Blood","BiomedicalConcept","320943b1-29a3-45c1-8cc0-e2ebf5afbe59","BiomedicalConcept_33","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","Hemoglobin A1C Concentration in Blood"
"Adverse Event Prespecified","BiomedicalConcept","1e0021ef-596d-4b51-89fd-7ca2a32a5745","BiomedicalConcept_1","['Adverse Event', 'Solicited Adverse Event']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","Adverse Event Prespecified"
"Systolic Blood Pressure","BiomedicalConcept","0155b99e-fcff-4f75-8de8-eaef498e4171","BiomedicalConcept_2","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure"
"Diastolic Blood Pressure","BiomedicalConcept","4216ae54-05b4-421c-a5b9-7d70dede134e","BiomedicalConcept_3","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure"
"Temperature","BiomedicalConcept","c60afb11-ab5e-4649-982c-1acd3ee44c16","BiomedicalConcept_4","['Temperature', 'Body Temperature']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","Temperature"
"Weight","BiomedicalConcept","4b36a6fd-881f-4de7-8287-ad04e5b900ee","BiomedicalConcept_5","['Weight', 'Body Weight']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","Weight"
"Height","BiomedicalConcept","3621fa8f-98d8-4ee4-bf8f-baedd9e849d2","BiomedicalConcept_6","['Height', 'Body Height']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","Height"
