"text","instanceType","uuid:ID","id","name"
"Subject identifier","TransitionRule","3b39bd93-2fe4-49e0-afe9-f9b27557aded","TransitionRule_1","ENCOUNTER_START_RULE_1"
"completion of screening activities","TransitionRule","0934a4be-a8e5-4707-a87d-51ac5d42f647","TransitionRule_2","ENCOUNTER_START_RULE_1"
"subject leaves clinic after connection of ambulatory ECG machine","TransitionRule","92193435-92aa-4e5a-8ced-dca07cf2b597","TransitionRule_3","ENCOUNTER_START_RULE_2"
"subject has connection of ambulatory ECG machine removed","TransitionRule","97b89d06-6017-4398-bb78-b35d5152b056","TransitionRule_4","ENCOUNTER_START_RULE_3"
"Radomized","TransitionRule","f48ac21b-86ed-4b43-9b0e-6165243669fc","TransitionRule_5","ENCOUNTER_START_RULE_3"
"End of treatment","TransitionRule","36e41435-7280-46a6-9420-c5d3f986ac72","TransitionRule_6","ENCOUNTER_START_RULE_12"
"Informed consent","TransitionRule","e8833302-59f7-403f-aa3f-a893c56238cc","TransitionRule_7","ELEMENT_START_RULE_1"
"Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule","91ab65f2-9dec-4a22-9db1-ca9ed0e38def","TransitionRule_8","ELEMENT_END_RULE_1"
"Administration of first dose","TransitionRule","b4c6aecd-4686-4231-98c5-0a1945e67aef","TransitionRule_9","ELEMENT_START_RULE_2"
"End of last scheduled visit on study (including early termination)","TransitionRule","dc63883f-b543-4bad-a346-01da25a6d487","TransitionRule_14","ELEMENT_START_RULE_7"
"Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule","767714e7-9e71-42c8-9c7b-bd58800cf246","TransitionRule_15","ELEMENT_END_RULE_7"
"Administration of first dose","TransitionRule","d3c5cec4-9917-494c-8877-ccacbd775b8d","TransitionRule_10","ELEMENT_START_RULE_3"
"Randomized","TransitionRule","f03b301f-242f-493c-a152-1f8a4d4601ee","TransitionRule_11","ELEMENT_START_RULE_4"
"Administration of first dose (from patches supplied at Visit 4)","TransitionRule","8b1cf340-3e5c-4008-bdd9-d5c1edec1ebc","TransitionRule_12","ELEMENT_START_RULE_5"
"Administration of first dose (from patches supplied at Visit 12)","TransitionRule","2c168a70-eda7-4a14-bded-831e50dbf972","TransitionRule_13","ELEMENT_START_RULE_6"
