"label","instanceType","uuid:ID","id","description","name"
"Screening 1","Encounter","6066799b-ce8d-43a2-91ba-1127ccf972b5","Encounter_1","Screening encounter","E1"
"Screening 2","Encounter","dadc1205-ab2c-4a12-a47a-bd50f8a92bae","Encounter_2","Screening encounter - Ambulatory ECG Placement","E2"
"Baseline","Encounter","0f6d55bf-1ce3-4032-858a-a45798523fd2","Encounter_3","Baseline encounter - Ambulatory ECG Removal","E3"
"Week 2","Encounter","90dd6a64-c6d0-4917-9e8a-554bc8b08f28","Encounter_4","Day 14","E4"
"Week 4","Encounter","8adc805b-1cad-4a06-b23f-8afa9f0be5ed","Encounter_5","Day 28","E5"
"Week 6","Encounter","4275bdf4-649f-49ff-abc6-088022d96316","Encounter_6","Day 42","E7"
"Week 8","Encounter","b7cb43f2-9318-47ca-a633-682e7bc04ebb","Encounter_7","Day 56","E8"
"Week 12","Encounter","b45ce239-0a5d-4691-8ec6-0304b8a11d98","Encounter_8","Day 84","E9"
"Week 16","Encounter","c6dea3a0-6999-456a-8906-6c9ecee0ec60","Encounter_9","Day 112","E10"
"Week 20","Encounter","4f240232-41cb-4c2e-92cd-0c7c9c3b952e","Encounter_10","Day 140","E11"
"Week 24","Encounter","33a45644-24ef-4590-b5f6-77214f323d64","Encounter_11","Day 168","E12"
"Week 26","Encounter","55164b7c-6597-4bda-bb98-a64be50aa337","Encounter_12","Day 182","E13"
