"uuid:ID","name","instanceType","label","id","description"
"e14b73d0-2ded-4d84-87ae-f5611bfa6d00","Informed consent","Activity","Informed consent","Activity_1",""
"24280237-da93-4aa6-87ba-9136c6648e7d","Inclusion/exclusion criteria","Activity","Inclusion and exclusion criteria","Activity_2",""
"cd69f6b6-b9ab-48b0-a009-7c332a43b8cd","Patient number assigned","Activity","Patient number assigned","Activity_3",""
"8025614c-b0fe-452f-85ab-5c72e52ea707","Demographics","Activity","Demographics","Activity_4",""
"a4d99d80-d93e-4f6a-8fc7-d5c2ee8c8a65","Hachinski","Activity","Hachinski Ischemic Scale","Activity_5",""
"b76e3fc2-2eaf-4bdf-bbb6-25dde6c4c0e1","MMSE","Activity","MMSE","Activity_6",""
"8f1e544b-0e86-45c5-a3cc-a0a2bbfa36ee","Physical examination","Activity","Physical examination","Activity_7",""
"05f82bf4-0a98-4428-8985-ae17ec1044f6","Medical history","Activity","Medical history","Activity_8",""
"27e38352-b1f5-4afe-bfc8-6bc722f36cf5","Habits","Activity","Habits","Activity_9",""
"ea5d9bb3-39c7-449b-8324-540b3f2d7650","Chest X-ray","Activity","Chest X-ray","Activity_10",""
"211127bf-40c9-4f12-9356-6a004f9cf15b","Apo E genotyping","Activity","Apo E genotyping","Activity_11",""
"a4737c30-bc9d-4c4e-b393-aa8c1f66312a","Patient randomised","Activity","Patient randomised","Activity_12",""
"3a4039cd-3fa6-44e7-b6ab-e0890ea43aff","Vital signs / Temperature","Activity","Vital Signs and Temperature","Activity_13",""
"24ee3246-abfb-4bf9-9593-63af215810b9","Ambulatory ECG placed","Activity","Ambulatory ECG placed","Activity_14",""
"6c0edfa9-d2fb-43b7-8187-4f1f21792aca","Ambulatory ECG removed","Activity","Ambulatory ECG removed","Activity_15",""
"834d5191-3535-494e-aad4-14cd33ac521a","ECG","Activity","ECG","Activity_16",""
"665ac6cd-cfaf-48cb-9db9-f90a3333d8fa","Placebo TTS test","Activity","Placebo TTS test","Activity_17",""
"ba409e6f-6ca4-4d96-9d5c-bfad098cc271","CT scan","Activity","CT scan","Activity_18",""
"dbc5278a-26fa-41f5-9efd-d6abef4d2890","Concomitant medications","Activity","Concomitant medications","Activity_19",""
"4584b7c1-5655-4fa5-87a1-c10a00bf039c","Hematology","Activity","Hematology","Activity_20",""
"697df1f0-95d8-42e9-9dc8-50586181e8b0","Chemistry","Activity","Chemistry","Activity_21",""
"ae1004df-dc55-4183-8f9e-95cf8879f3c6","Uninalysis","Activity","Uninalysis","Activity_22",""
"46dec3b1-8d7f-444c-9f68-0342e11f9cfd","Plasma Specimen (Xanomeline)","Activity","Plasma Specimen (Xanomeline)","Activity_23",""
"4266c4d2-d1d6-4608-8bb9-d09d1593a60e","Hemoglobin A1C","Activity","Hemoglobin A1C","Activity_24",""
"284cb8b1-cc36-4bf4-a9af-acfae40fcae1","Study drug","Activity","Study drug record , Medications dispensed, Medications returned","Activity_25",""
"68215c0e-1cc0-4521-985b-4fd0d7f4cd41","TTS Acceptability Survey","Activity","TTS Acceptability Survey","Activity_26",""
"db661f68-b4c1-4715-8dfe-6bed89a7be84","ADAS-Cog","Activity","ADAS-Cog","Activity_27",""
"aa0f70c7-4c8b-4353-adc5-8dd4737d2c49","CIBIC+","Activity","CIBIC+","Activity_28",""
"acecbb07-7eb5-4b53-b062-cca8a29d14d6","DAD","Activity","DAD","Activity_29",""
"5a82a8a7-9c21-4662-945b-682a347cf04a","NPI-X","Activity","NPI-X","Activity_30",""
"ee5facac-6639-4cfa-ae8b-ac09d9e452a6","Adverse events","Activity","Adverse events","Activity_31",""
"fecbec4b-a2b3-4cee-9129-35ee7369e590","Check adverse events","Activity","Check adverse events","Activity_32",""
"71ac46fe-e51b-4842-ae86-69d87bcaf500","Supine","Activity","Subject supine","Activity_33",""
"dc88ee36-405c-4a11-a9b6-4eac8585e798","Vital Signs Supine","Activity","Vital signs while supine","Activity_34",""
"02f3de4a-d1d2-4714-b475-b08881bc9508","Stand","Activity","Subject Standing","Activity_35",""
"63bcac32-fa25-4601-8ef2-08332e85bc85","Vital Signs Standing","Activity","Vital signs while standing","Activity_36",""
