"text","name","instanceType","uuid:ID","id"
"Subject identifier","ENCOUNTER_START_RULE_1","TransitionRule","7306c5c8-d6a7-4b7c-b844-3210a9c3cb39","TransitionRule_1"
"completion of screening activities","ENCOUNTER_START_RULE_1","TransitionRule","b58c902a-97f4-4d0b-ad79-05455a582c3d","TransitionRule_2"
"subject leaves clinic after connection of ambulatory ECG machine","ENCOUNTER_START_RULE_2","TransitionRule","7f4c87a1-6e0c-4fa5-aaf5-5ff85ebc5fcb","TransitionRule_3"
"subject has connection of ambulatory ECG machine removed","ENCOUNTER_START_RULE_3","TransitionRule","10d635d3-204e-4cfa-82ed-6b5c62d933e2","TransitionRule_4"
"Radomized","ENCOUNTER_START_RULE_3","TransitionRule","c77d83b7-440c-46f5-98c5-9e4b4d51df7a","TransitionRule_5"
"End of treatment","ENCOUNTER_START_RULE_12","TransitionRule","b5dbae74-1637-4b1e-ba5e-2dd4654dec36","TransitionRule_6"
"Informed consent","ELEMENT_START_RULE_1","TransitionRule","209f782d-cbe3-4aa3-9111-e1c37c626558","TransitionRule_7"
"Completion of all screening activities and no more than 2 weeks from informed consent","ELEMENT_END_RULE_1","TransitionRule","34a46390-2b72-4e41-a014-f79dd5d78f4f","TransitionRule_8"
"Administration of first dose","ELEMENT_START_RULE_2","TransitionRule","70c51294-4d16-4bf4-a8a3-12bce1d31918","TransitionRule_9"
"End of last scheduled visit on study (including early termination)","ELEMENT_START_RULE_7","TransitionRule","a8e18e94-b3b1-46ed-9cc3-1be0c048d2ff","TransitionRule_14"
"Completion of all specified followup activities (which vary on a patient-by-patient basis)","ELEMENT_END_RULE_7","TransitionRule","bde41084-63a5-4f37-90a5-d7f957c49392","TransitionRule_15"
"Administration of first dose","ELEMENT_START_RULE_3","TransitionRule","9273936f-4c76-45dc-a0aa-c1252d3c26d0","TransitionRule_10"
"Randomized","ELEMENT_START_RULE_4","TransitionRule","d721dbac-c9c2-4ef3-b08c-dfc53bddc3ec","TransitionRule_11"
"Administration of first dose (from patches supplied at Visit 4)","ELEMENT_START_RULE_5","TransitionRule","e69a1bbc-863a-4aeb-9a02-b3467806500a","TransitionRule_12"
"Administration of first dose (from patches supplied at Visit 12)","ELEMENT_START_RULE_6","TransitionRule","ab22fcc3-4350-4a17-86b4-3dbbdedbd250","TransitionRule_13"
