"codeSystemVersion","instanceType","code","uuid:ID","decode","id","codeSystem"
"2023-12-15","Code","C98388","75f8a59e-a39c-41ea-91cb-a8d36e298a19","Interventional Study","Code_1","http://www.cdisc.org"
"2023-12-15","Code","C15601","a24a8b7a-0b07-4dbf-841d-5e626bb6eb89","Phase II Trial","Code_2","http://www.cdisc.org"
"2023-12-15","Code","C132352","8dc7a4f5-68f4-4825-a253-f6f6fd1b0533","Sponsor Approval Date","Code_9","http://www.cdisc.org"
"2023-12-15","Code","C68846","613762de-a276-4406-a111-5f814860f08b","Global","Code_10","http://www.cdisc.org"
"2023-12-15","Code","C99904x3","548cda35-38be-4f58-b730-310e7ab764e0","IRB/IEC Feedback","Code_72","http://www.cdisc.org"
"2023-12-15","Code","C17649","05d7d7ae-1314-4790-985f-e6c62c0b85f2","Other","Code_73","http://www.cdisc.org"
"2023-12-15","Code","C41129","6ffdeb23-67ba-4d0c-a355-141a5ee8bd92","Region","Code_75","http://www.cdisc.org"
"2020-08","Code","150","0bc52a5a-5ab9-4309-8ae1-e2f3a679a2d5","Europe","Code_74","ISO 3166 1 alpha3"
"12","Code","PHARMA","2e3e10a4-5ee8-4172-b781-2fc4732d9780","Eli Lilly","Code_4","SPONSOR"
"2023-12-15","Code","C70793","4a539279-083d-433e-a035-b8870454a66f","Clinical Study Sponsor","Code_76","http://www.cdisc.org"
"2020-08","Code","USA","52627d70-c410-4d0e-9e3a-0f99475e9339","United States of America","Code_77","ISO 3166 1 alpha3"
"2023-12-15","Code","C93453","1a1387ed-0c3e-499c-8bc4-fd3978cbb93a","Study Registry","Code_78","http://www.cdisc.org"
"2020-08","Code","USA","1467e613-3800-4314-96c7-76d35cf2bb8d","United States of America","Code_79","ISO 3166 1 alpha3"
"2023-12-15","Code","C49656","ae9090c4-1499-41a5-9cdd-dd59b755533d","Treatment Study","Code_137","http://www.cdisc.org"
"2023-12-15","Code","C49666","19633960-a102-40c7-b982-42d890c3d131","Efficacy Study","Code_138","http://www.cdisc.org"
"2023-12-15","Code","C49667","adf98490-e8a4-46a6-a6b7-1528b3d5f636","Safety Study","Code_139","http://www.cdisc.org"
"2023-12-15","Code","C49663","47930d59-6b05-40ea-a1f3-3ae81e7e5aa3","Pharmacokinetic Study","Code_140","http://www.cdisc.org"
"12","Code","MILD_MOD_ALZ","f1e0b714-12b1-4e90-94b7-04550cc6bc86","Mild to Moderate Alzheimer's Disease","Code_134","SPONSOR"
"January 31, 2018","Code","26929004","b98e6925-eec9-45c1-b3e2-cc71e5c9da08","Alzheimer's disease","Code_135","SNOMED"
"2023-12-15","Code","C99907x1","729c97d8-c9f5-4430-9eb1-b52143f1f0a1","EXTENSION","Code_143","http://www.cdisc.org"
"2023-12-15","Code","C98704","f0fe3ce1-6a9b-402f-9d64-c98cc7e2bbfd","ADAPTIVE","Code_144","http://www.cdisc.org"
"2023-12-15","Code","C82639","07134735-2c94-4050-a03e-8d790c1d2f10","Parallel Study","Code_141","http://www.cdisc.org"
"2023-12-15","Code","C25716","e241c101-187a-4867-beb0-338ca6e93e4d","Visit","Code_83","http://www.cdisc.org"
