"name","description","label","instanceType","windowLabel","uuid:ID","windowLower","valueLabel","id","value","windowUpper"
"TIM1","Screening timing","Screening","Timing","","5e0a8b85-bc4d-4cbd-99d9-8ceefbfca01c","","2 weeks","Timing_1","P2W",""
"TIM2","Pre dose timing","Pre dose","Timing","-4..0 hours","aa4e2651-8603-4115-92d8-2d979a8ad9a5","PT4H","2 days","Timing_2","P2D","PT0H"
"TIM3","Dosing anchor","Dosing","Timing","","7c5601b5-b624-447b-8769-e1f68727c2cb","","1 Day","Timing_3","P1D",""
"TIM4","Week 2 timing","Week 2","Timing","-3..3 days","f8c07283-b4f5-4231-b602-b868ac1df6c2","P3D","2 Weeks","Timing_4","P2W","P3D"
"TIM5","Week 4 timing","Week 4","Timing","-3..3 days","e88fe0a2-1fee-44c3-80fd-2bc6b691ce2c","P3D","4 Weeks","Timing_5","P4W","P3D"
"TIM6","Week 6 timing","Week 6","Timing","-3..3 days","3145de9e-227a-4b97-9a7d-2ac0be165c05","P3D","6 Weeks","Timing_6","P6W","P3D"
"TIM7","Week 8 timing","Week 8","Timing","-3..3 days","651178e5-22d9-4e89-ba6f-bced4227f72e","P3D","8 Weeks","Timing_7","P8W","P3D"
"TIM9","Week 12 timing","Week 12","Timing","-4..4 days","71eb7a0b-f973-4f4b-a663-b1d6eca5501a","P4D","12 Weeks","Timing_9","P12W","P4D"
"TIM11","Week 16 timing","Week 16","Timing","-4..4 days","330556d2-5d9d-46bd-bf5c-a327d614a891","P4D","16 Weeks","Timing_11","P16W","P4D"
"TIM13","Week 20 timing","Week 20","Timing","-4..4 days","0a939b0b-e54a-44cb-974b-6a8f75510b87","P4D","20 Weeks","Timing_13","P20W","P4D"
"TIM15","Week 24 timing","Week 24","Timing","-4..4 days","9f0d1721-6c65-4de6-a982-80d131bab558","P4D","24 Weeks","Timing_15","P24W","P4D"
"TIM16","Week 26 timing","Week 26","Timing","-3..3 days","9d11bf8b-11cf-4df0-8353-d051e7c7e10d","P3D","26 Weeks","Timing_16","P26W","P3D"
"TIM8","Week 8 at home timing","Week 8 Home","Timing","","4f89b889-7438-4827-8174-3dc9c94d992f","","2 Weeks","Timing_8","P2W",""
"TIM10","Week 12 at home timing","Week 12 Home","Timing","","b6d9f0ac-5906-459b-adaf-71891c34dfc3","","2 Weeks","Timing_10","P2W",""
"TIM12","Week 16 at home timing","Week 16 Home","Timing","","2ca62214-2a39-4b26-b879-664cdec1def2","","2 Weeks","Timing_12","P2W",""
"TIM14","Week 20 at home timing","Week 20 Home","Timing","","5918afdf-9d1c-417f-b038-da35cfd10c5c","","2 Weeks","Timing_14","P2W",""
"TIM17","Adverse Event","Adverse Event","Timing","","182daba1-80cb-40f0-b04e-31c4f3362a8d","","1 Day","Timing_17","P1D",""
"TIM18","Early Termination","Early Termination","Timing","","84554955-ef83-434e-bcdf-dd7562e8dc0e","","1 Day","Timing_18","P1D",""
"TIM19","Supine","Supine","Timing","","345ce375-4980-4d6d-a2b0-59c42f0b27f4","","0 mins","Timing_19","PT0M",""
"TIM20","VS while supine","VS while supine","Timing","","b37cfbf7-0469-4ba5-8a05-9f8ca7f2d1df","","5 mins","Timing_20","PT5M",""
"TIM21","Standing","Standing","Timing","","a8aa0825-ba44-4981-8aee-06c738d8bf1e","","0 min","Timing_21","PT0M",""
"TIM22","VS while standing","VS while standing","Timing","","ab6ecae5-e1ee-49cf-a87d-3505b08b1766","","1 min","Timing_22","PT1M",""
"TIM23","Standing","Standing","Timing","","58bab8a1-690c-4d15-a18c-c0794df716d9","","0 min","Timing_23","PT0M",""
"TIM24","VS while standing","VS while standing","Timing","","1253812a-b229-4450-a733-a4c2fc8adef4","","2 min","Timing_24","PT2M",""
