"text","name","instanceType","uuid:ID","sectionNumber","id","sectionTitle"
"","ROOT","NarrativeContent","511d344b-c5af-44a3-b376-7ff818587571","0","NarrativeContent_1","Root"
"<div><div class=""container"">
<div class=""row mt-5"">
<div class=""col-md-10 offset-md-1 text-center border"">
<p><small>The information contained in this clinical study protocol is</small></p><p><small>Copyright © 2006 Eli Lilly and Company.</small></p>
</div>
</div>
<div class=""row mt-5"">
<div class=""col-md-8 offset-md-2 text-center"">
<p><strong><usdm:ref attribute=""text"" id=""StudyTitle_2"" klass=""StudyTitle""></usdm:ref></strong></p>
</div>
</div>
<div class=""row mt-3"">
<div class=""col-md-8 offset-md-2 text-center"">
<p><strong><usdm:ref attribute=""studyIdentifier"" id=""StudyIdentifier_1"" klass=""StudyIdentifier""></usdm:ref></strong></p>
</div>
</div>
<div class=""row mt-3"">
<div class=""col-md-8 offset-md-2 text-center"">
<p><strong><usdm:ref attribute=""text"" id=""StudyTitle_3"" klass=""StudyTitle""></usdm:ref></strong></p>
</div>
</div>
</div></div>","SECTION 0","NarrativeContent","39af91c2-cfaf-40e7-ac4e-3bed2790f6cd","0","NarrativeContent_2","Title Page"
"<div><p>The M1 muscarinic-cholinergic receptor is 1 of 5 characterized muscarinic-cholinergic receptor subtypes (Fisher and Barak 1994). M1 receptors in the cerebral cortex and hippocampus are, for the most part, preserved in Alzheimer's disease (AD), while the presynaptic neurons projecting to these receptors from the nucleus basalis of Meynert degenerate (Bierer et al. 1995). The presynaptic loss of cholinergic neurons has been correlated to the antimortum cognitive impairment in AD patients, prompting speculation that replacement therapy with cholinomimetics will alleviate the cognitive dysfunction of the disorder (Fisher and Barak 1994).</p>
<p>Xanomeline is a novel M1 agonist which has shown high affinity for the M1 receptor subtype (in transfected cells), and substantially less or no affinity for other muscarinic subtypes. Positron emission tomography (PET) studies of 11C-labeled xanomeline in cynomolgus monkeys have suggested that the compound crosses the blood-brain barrier and preferentially binds the striatum and neocortex.</p>
<p>Clinical development of an oral formulation of xanomeline for the indication of mild and moderate AD was initiated approximately 4 years ago. A large-scale study of safety and efficacy provided evidence that an oral dosing regimen of 75 mg three times daily (TID) may be associated with enhanced cognition and improved clinical global impression, relative to placebo. As well, a dramatic reduction in psychosis, agitation, and other problematic behaviors, which often complicate the course of the disease, was documented. However, the discontinuation rate associated with this oral dosing regimen was 58.6%, and alternative clinical strategies have been sought to improve tolerance for the compound.</p>
<p>To that end, development of a Transdermal Therapeutic System (TTS) has been initiated. Relative to the oral formulation, the transdermal formulation eliminates high concentrations of xanomeline in the gastrointestinal (GI) tract and presystemic (firstpass) metabolism. Three transdermal delivery systems, hereafter referred to as the xanomeline TTS Formulation A, xanomeline TTS Formulation B, and xanomeline TTS formulation E have been manufactured by Lohman Therapy Systems GmbH of Andernach Germany. TTS Formulation A is 27 mg xanomeline freebase in a 25-cm2 matrix. TTS Formulation B is 57.6 mg xanomeline freebase in a 40-cm2 matrix. Formulation E has been produced in 2 patch sizes: 1) 54 mg xanomeline freebase with 0.06 mg Vitamin E USP in a 50-cm2 matrix and 2) 27 mg xanomeline freebase with 0.03 mg Vitamin E USP in a 25-cm2 matrix. For a detailed description of the composition of these formulations please refer to Part II, Section 14 of the Xanomeline (LY246708) Clinical Investigator's Brochure. For characterization of the safety, tolerance, and pharmacokinetics of xanomeline TTS Formulations A, B, and E, please refer to Part II, Sections 7, 8, and 10 of the Xanomeline (LY246708) Clinical Investigator's Brochure. Formulation E will be studied in this protocol, H2Q-MC-LZZT(c).</p></div>","SECTION 1","NarrativeContent","cca52195-3824-4236-a1d2-7725b9161ecc","1","NarrativeContent_3","Introduction"
"<div></div>","SECTION 2","NarrativeContent","0038705d-2120-4b08-88a2-3188de0bd669","2","NarrativeContent_4","Objectives"
"<div><p>The primary objectives of this study are</p>
<ul>
<li><usdm:ref attribute=""text"" id=""Objective_1"" klass=""Objective""></usdm:ref></li>
<li><usdm:ref attribute=""text"" id=""Objective_2"" klass=""Objective""></usdm:ref></li>
</ul></div>","SECTION 2.1.","NarrativeContent","39dd1bf5-0804-47b2-8445-3ad03c16dd32","2.1.","NarrativeContent_5","Primary Objectives"
"<div><p>The secondary objectives of this study are</p>
<ul>
<li><usdm:ref attribute=""text"" id=""Objective_3"" klass=""Objective""></usdm:ref></li>
<li><usdm:ref attribute=""text"" id=""Objective_4"" klass=""Objective""></usdm:ref></li>
<li><usdm:ref attribute=""text"" id=""Objective_5"" klass=""Objective""></usdm:ref></li>
<li><usdm:ref attribute=""text"" id=""Objective_6"" klass=""Objective""></usdm:ref></li>
</ul></div>","SECTION 2.2","NarrativeContent","00f9a993-aca1-4ca7-ba24-252b4e40e488","2.2","NarrativeContent_6","Secondary Objectives"
"<div></div>","SECTION 3","NarrativeContent","2d473c8e-25ce-44ab-8f65-f454e265ad90","3","NarrativeContent_7","Investigational Plan"
"<div><p>Patients with probable mild to moderate AD will be studied in a randomized, double-blind, parallel (3 arm), placebo-controlled trial of 26 weeks duration. The study will be conducted on an outpatient basis. Approximately 300 patients will be enrolled (see Schedule of Events for Protocol H2Q-MC-LZZT(c), Attachment LZZT.1).</p>
<p>Following informed consent, patients will be screened at Visit 1. At screening, patients will undergo complete neuropsychiatric assessment, psychometric testing, and general medical assessment (including medical history, pre-existing conditions, physical examination). In addition, vital signs, temperature, medication history, electrocardiogram (ECG), chest x-ray, and safety laboratories will be obtained. During the screening visit, patients will wear a placebo TTS to determine willingness and ability to comply with transdermal administration procedures. If patients have not had central nervous system (CNS) imaging in the previous 12 months, a computed tomography (CT) or magnetic resonance imaging (MRI) scan will be obtained. If patients are insulin dependent diabetics, a hemoglobin A 1c will be obtained. Screening exams and procedures may be performed after Visit 1; however, their results must be completed and available prior to randomization. The screening process should occur within 2 weeks of randomization (Visit 3 of the study).</p>
<p>Patients who meet enrollment criteria from Visit 1 will proceed to Visit 2 at which time they will undergo a 24-hour Ambulatory ECG. At Visit 3 the Ambulatory ECG will be removed and patients will be randomized to 1 of 3 treatment arms. The treatment arms will include a placebo arm, a low-dose xanomeline arm (50 cm 2 TTS Formulation E, 54 mg xanomeline), and a high-dose xanomeline arm (75 cm 2 TTS Formulation E, 81 mg xanomeline). All patients receiving xanomeline will be started at 50 cm 2 TTS Formulation E. For the first 8 weeks of treatment, patients will be assessed at clinic visits every 2 weeks and, thereafter, at clinic visits every 4 weeks. Patients who discontinue prior to Visit 12 (Week 24) will be brought back for full efficacy assessments at or near to 24 weeks, whenever possible.</p>
<p>A Data Safety Monitoring Board (DSMB), chaired by an external cardiologist, will meet after 75, 150, 225, and 300 patients have completed 1 month of treatment. The DSMB will review cardiovascular findings to decide if discontinuation of the study or any treatment arm is appropriate, if additional cardiovascular monitoring is required, if further cardiovascular monitoring is unnecessary, or if adjustment of dose within a treatment arm (or arms) is appropriate (see Section 3.9.4).</p>
<p>At Visits 3, 8, 10, and 12, efficacy instruments (ADAS-Cog, CIBIC+, and DAD) will be administered. NPI-X will be administered at 2-week intervals either at clinic visits or via a telephone interview. Vital signs, temperature, and an assessment of adverse events will</p>
<p>be obtained at all clinic visits. An electrocardiogram (ECG), and chemistry/hematology safety labs will be obtained at Visits 4, 5, 7, 8, 9, 10, 11, 12, and 13. Urinalysis will be done at Visits 4, 9, and 12. Use of concomitant medications will be collected at Visits 3, 4, 5, 7, 8, 9, 10, 11, 12, and 13. Plasma levels of xanomeline and metabolites will be obtained at Visits 3, 4, 5, 7, 9, and 11. At Visits 3, 4, 5, 7, 8, 9, 10, 11, and 12, medications will be dispensed to the patients.</p>
<p>Visits 1 through 13 should be scheduled relative to Visit 3 (Week 0 - randomization). Visits 4, 5, 7, 8, and 13 should occur within 3 days of their scheduled date. Visits 9, 10, 11, and 12 should occur within 4 days of their scheduled date. At Visit 13 patients will be given the option to enter the open-label extension phase (see Section 3.10.3. Study Extensions).</p>

<div class=""col-md-8 offset-md-2 text-center"">
<p class=""usdm-warning"">Note:</p>
<p class=""usdm-warning"">Failed to insert image 'study_design.png', ignoring!</p>
</div>

<p><b>Figure LZZT.1. Illustration of study design for Protocol H2Q-MC-LZZT(c).</b></p></div>","SECTION 3.1.","NarrativeContent","f0fa6013-2821-426a-8d50-edc119ebc674","3.1.","NarrativeContent_8","Summary of Study Design"
"<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p>
<p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p>
<p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks). (See Section 4.6, Interim Analyses.)</p></div>","SECTION 3.2.","NarrativeContent","dccaf757-0eb2-4b33-bdb9-b8a19adb347e","3.2.","NarrativeContent_9","Discussion of Design and Control"
"<div><p>The name, title, and institution of the investigator(s) is/are listed on the Investigator/Contacts cover pages provided with this protocol. If the investigator is changed after the study has been approved by an ethical review board, or a regulatory agency, or by Lilly, this addition will not be considered a change to the protocol. However, the Investigator/Contacts cover pages will be updated to provide this information.</p></div>","SECTION 3.3.","NarrativeContent","5a7beb5f-fe94-4ffa-8407-141619431818","3.3.","NarrativeContent_10","Investigator Information"
