"windowLower","valueLabel","label","name","description","instanceType","uuid:ID","windowLabel","windowUpper","id","value"
"","2 weeks","Screening","TIM1","Screening timing","Timing","95ae686f-5087-44f3-83a3-524822f5f4bb","","","Timing_1","P2W"
"PT4H","2 days","Pre dose","TIM2","Pre dose timing","Timing","5a7f4aa4-2474-413c-bbe3-5e7913046bab","-4..0 hours","PT0H","Timing_2","P2D"
"","1 Day","Dosing","TIM3","Dosing anchor","Timing","73e1693c-dd86-4fb6-892e-5dce19f6c363","","","Timing_3","P1D"
"P3D","2 Weeks","Week 2","TIM4","Week 2 timing","Timing","2e17a4e2-d4ad-42c0-98b0-cc696591da8a","-3..3 days","P3D","Timing_4","P2W"
"P3D","4 Weeks","Week 4","TIM5","Week 4 timing","Timing","389ed549-b776-4c43-bdd8-eaf49badf3a0","-3..3 days","P3D","Timing_5","P4W"
"P3D","6 Weeks","Week 6","TIM6","Week 6 timing","Timing","e3aea19e-0024-4da7-83eb-ca0b3e4c4873","-3..3 days","P3D","Timing_6","P6W"
"P3D","8 Weeks","Week 8","TIM7","Week 8 timing","Timing","54f4f5a1-fb4a-4f8f-86d6-25b17c94de90","-3..3 days","P3D","Timing_7","P8W"
"P4D","12 Weeks","Week 12","TIM9","Week 12 timing","Timing","cba72d1f-6f31-4294-ad36-ad56e46bf34a","-4..4 days","P4D","Timing_9","P12W"
"P4D","16 Weeks","Week 16","TIM11","Week 16 timing","Timing","4b71cccb-6ed7-4444-bc56-831ad9a84e0b","-4..4 days","P4D","Timing_11","P16W"
"P4D","20 Weeks","Week 20","TIM13","Week 20 timing","Timing","deaa9705-2482-43bb-888e-7bae9be2e69e","-4..4 days","P4D","Timing_13","P20W"
"P4D","24 Weeks","Week 24","TIM15","Week 24 timing","Timing","46824c87-9bc5-475f-8b1f-9e7fe028d07d","-4..4 days","P4D","Timing_15","P24W"
"P3D","26 Weeks","Week 26","TIM16","Week 26 timing","Timing","732217c9-36ed-48bc-acdf-a60fc4d46531","-3..3 days","P3D","Timing_16","P26W"
"","2 Weeks","Week 8 Home","TIM8","Week 8 at home timing","Timing","85b6fbe9-c872-4370-a760-613d351118ef","","","Timing_8","P2W"
"","2 Weeks","Week 12 Home","TIM10","Week 12 at home timing","Timing","de72cc0e-f75b-46de-93c7-375d7c0b47d4","","","Timing_10","P2W"
"","2 Weeks","Week 16 Home","TIM12","Week 16 at home timing","Timing","06c593ed-07a8-4740-b1f3-d2289af128f5","","","Timing_12","P2W"
"","2 Weeks","Week 20 Home","TIM14","Week 20 at home timing","Timing","eba6b545-f1da-4652-86be-3c94394d761f","","","Timing_14","P2W"
"","1 Day","Adverse Event","TIM17","Adverse Event","Timing","e68c1172-85c6-4cfa-a8a0-88cf865e325e","","","Timing_17","P1D"
"","1 Day","Early Termination","TIM18","Early Termination","Timing","f791bcac-8fef-4a4f-b01f-44adab46de4a","","","Timing_18","P1D"
"","0 mins","Supine","TIM19","Supine","Timing","2176a529-a406-42b2-8d3a-df2b5c0e2d60","","","Timing_19","PT0M"
"","5 mins","VS while supine","TIM20","VS while supine","Timing","ffb7ae7e-0a01-461d-a546-d92135585f21","","","Timing_20","PT5M"
"","0 min","Standing","TIM21","Standing","Timing","f608c84d-8bd5-432d-96e7-d74c17a35e15","","","Timing_21","PT0M"
"","1 min","VS while standing","TIM22","VS while standing","Timing","bfe02ce3-23b1-4586-ac90-40dd0eb40a91","","","Timing_22","PT1M"
"","0 min","Standing","TIM23","Standing","Timing","dec01702-2187-4cc9-803a-470504357db2","","","Timing_23","PT0M"
"","2 min","VS while standing","TIM24","VS while standing","Timing","c3c325d7-c5ec-4c00-9bfe-4b59f0e4b710","","","Timing_24","PT2M"
