"uuid:ID","name","instanceType","label","id","synonyms","reference"
"935e38fd-5cf7-47eb-8e8a-05f002e58045","Informed Consent Obtained","BiomedicalConcept","Informed Consent Obtained","BiomedicalConcept_20","['Informed Consent Obtained', 'Informed Consent']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT"
"afc0640a-3a22-45f6-9ea5-6ded607d7725","Sex","BiomedicalConcept","Sex","BiomedicalConcept_21","","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421"
"bcc2742c-21c4-4a8d-871a-98fc1e9b14ca","Race","BiomedicalConcept","Race","BiomedicalConcept_22","['Racial Group']","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049"
"ec07afd6-dfc9-4349-b832-22efb98d9ebd","Temperature","BiomedicalConcept","Temperature","BiomedicalConcept_23","['Temperature', 'Body Temperature']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP"
"5f83bdfc-8740-420c-b693-eb2300910efa","Weight","BiomedicalConcept","Weight","BiomedicalConcept_24","['Weight', 'Body Weight']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT"
"cab0674e-b3e3-4e3b-9a2f-4575697e4b95","Height","BiomedicalConcept","Height","BiomedicalConcept_25","['Height', 'Body Height']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT"
"118c6e05-5acc-48d4-bc4e-502836ecf918","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_26","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL"
"9f6330ae-4358-4e38-b4d2-a96ead8d3d53","Albumin Presence in Urine","BiomedicalConcept","Albumin Presence in Urine","BiomedicalConcept_27","['Albumin', 'Albumin Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES"
"cbd4c0ab-8e78-4b29-a0ef-5266ff77f7f6","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_28","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL"
"62ce8dbd-28bb-4089-9b77-e03d78b0d5ba","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_29","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL"
