"label","name","description","instanceType","uuid:ID","id"
"Screen One","SCREEN1","-","ScheduledActivityInstance","48b467ec-d3ec-4a4a-aed4-f8c899ea85cf","ScheduledActivityInstance_9"
"Screen Two","SCREEN2","-","ScheduledActivityInstance","c4cbeb8b-f9d4-40c5-84da-a25d0b7de612","ScheduledActivityInstance_10"
"Dose","DOSE","-","ScheduledActivityInstance","2df55115-2687-4582-98f7-45e029f64f3f","ScheduledActivityInstance_11"
"Week 2","WK2","-","ScheduledActivityInstance","85a63dc6-95e6-4d17-bb1f-08e00bcde301","ScheduledActivityInstance_12"
"Week 4","WK4","-","ScheduledActivityInstance","0d8418e0-e657-46d7-8947-0cfd8e11bd0e","ScheduledActivityInstance_13"
"Week 6","WK6","-","ScheduledActivityInstance","50d866e7-0268-43aa-a460-3c1e319b4b11","ScheduledActivityInstance_14"
"Week 8","WK8","-","ScheduledActivityInstance","50c4b503-9abe-47ac-989f-e03b812b15ae","ScheduledActivityInstance_15"
"Week NPI","WK8N","-","ScheduledActivityInstance","4d09c591-41e6-4291-92df-9542e788085b","ScheduledActivityInstance_16"
"Week 12","WK12","-","ScheduledActivityInstance","2de9e306-5a12-4768-985d-f26f62a6f45c","ScheduledActivityInstance_17"
"Week 12 NPI","WK12N","-","ScheduledActivityInstance","91df48c5-f6ab-4ac6-8823-cb931a6da45a","ScheduledActivityInstance_18"
"Week 16","WK16","-","ScheduledActivityInstance","89c19fe8-0025-4574-9cc4-87ee52a7cd04","ScheduledActivityInstance_19"
"Week 16 NPI","WK16N","-","ScheduledActivityInstance","29beca9e-ad3b-4702-a6ee-d3652be362d9","ScheduledActivityInstance_20"
"Week 20","WK20","-","ScheduledActivityInstance","bc00ed02-71cf-4f12-beae-ef80a71453a7","ScheduledActivityInstance_21"
"Week 20 NPI","WK20N","-","ScheduledActivityInstance","6e7bb964-bf8e-467e-a362-493eaf4a4451","ScheduledActivityInstance_22"
"Week 24","WK24","-","ScheduledActivityInstance","19f09fc9-7937-4a48-81ba-1c0e4f0c3d62","ScheduledActivityInstance_23"
"Week 26","WK26","-","ScheduledActivityInstance","3eb4fa9b-8844-4100-a435-9403d710aadf","ScheduledActivityInstance_24"
"Adevers Event","AE","-","ScheduledActivityInstance","b9353d04-72fd-41e2-9e06-c37121cf5774","ScheduledActivityInstance_1"
"Early Termination","ET","-","ScheduledActivityInstance","2ee8d38a-ee4e-457d-ae44-be422edcc405","ScheduledActivityInstance_2"
"5 minute supine","VS_5MIN","","ScheduledActivityInstance","b45e9fca-e39b-4a54-9608-f23dc7f164c4","ScheduledActivityInstance_3"
"Vital signs supine","VS_SUPINE","","ScheduledActivityInstance","63d60d59-a3f7-4fcc-9589-75b16b76a2db","ScheduledActivityInstance_4"
"1 minute standing","VS_1MIN","","ScheduledActivityInstance","f57f52f5-8889-4123-aa7f-0be1bbe1a03c","ScheduledActivityInstance_5"
"Vital signs after 1 min standing","VS_STAND1","","ScheduledActivityInstance","7c38a544-3d91-4340-a4e0-ac16d4f91030","ScheduledActivityInstance_6"
"2 minute standing","VS_2MIN","","ScheduledActivityInstance","3a100089-5420-47b4-9b84-38c9e85324f3","ScheduledActivityInstance_7"
"Vital signs after 3 min standing","VS_STAND3","","ScheduledActivityInstance","8fa2de9d-b4b8-4194-88dd-9d2b21b0d6ec","ScheduledActivityInstance_8"
