"name","description","label","instanceType","uuid:ID","text","purpose","id"
"END1","","","Endpoint","f3e4d359-1a13-4223-81fd-75bb257ae523","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","","Endpoint_1"
"END2","","","Endpoint","197e18f4-79bc-4e88-ae96-d928217b0238","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","","Endpoint_2"
"END3","","","Endpoint","fba572d3-810f-4790-a3f6-779c892160dd","Adverse events","","Endpoint_3"
"END4","","","Endpoint","a35999f9-1390-48b8-a96f-19a18b6ee197","Vital signs (weight, standing and supine blood pressure, heart rate)","","Endpoint_4"
"END5","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","","Endpoint","1bbb90a5-f52d-423e-b9df-aa54129bc192","Laboratory evaluations (Change from Baseline)","","Endpoint_5"
"END6","","","Endpoint","58b2e593-212f-4e08-9f76-96854968a222","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","","Endpoint_6"
"END7","","","Endpoint","83b1d50d-fb38-4eaf-a6da-deaa73d0f2e9","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","","Endpoint_7"
"END8","","","Endpoint","a5a372b5-7cc6-49a5-94b9-a83a1922f533","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","","Endpoint_8"
"END9","","","Endpoint","a3163507-ccfc-4e1d-911e-7d1eb97d8ee2","*** To be determined from protocol ***","","Endpoint_9"
"END10","","","Endpoint","a42eb7e1-5235-4d19-b454-1ac8babd1e0c","*** To be determined from protocol ***","","Endpoint_10"
"END11","","","Endpoint","9e440296-e7dd-4a04-b6cd-84457becf75c","*** To be determined from protocol ***","","Endpoint_11"
