"name","instanceType","uuid:ID","text","id"
"ENCOUNTER_START_RULE_1","TransitionRule","3883e2b5-ab3d-4228-bab2-1752a6ffafd3","Subject identifier","TransitionRule_1"
"ENCOUNTER_START_RULE_1","TransitionRule","567b2c1a-7962-48ce-937c-b9a227fc806d","completion of screening activities","TransitionRule_2"
"ENCOUNTER_START_RULE_2","TransitionRule","3b93d6a3-fd39-4807-85e0-7107c5d66c36","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3"
"ENCOUNTER_START_RULE_3","TransitionRule","dd939764-f54d-4bf9-9b12-4e030f200446","subject has connection of ambulatory ECG machine removed","TransitionRule_4"
"ENCOUNTER_START_RULE_3","TransitionRule","b5577b5e-c101-449e-aefa-7ca00efe1668","Radomized","TransitionRule_5"
"ENCOUNTER_START_RULE_12","TransitionRule","9678f952-3ed3-4532-9816-d90d5e9a384a","End of treatment","TransitionRule_6"
"ELEMENT_START_RULE_1","TransitionRule","0292d129-d654-4fc8-9c55-279d27464e16","Informed consent","TransitionRule_7"
"ELEMENT_END_RULE_1","TransitionRule","357927f5-33f0-4567-9c22-f4e2acc56c8d","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8"
"ELEMENT_START_RULE_2","TransitionRule","ff163a21-f7d3-4bcc-880a-cfe9f9545715","Administration of first dose","TransitionRule_9"
"ELEMENT_START_RULE_7","TransitionRule","68e3f5b1-dbe6-45f5-885c-1b9b94c3d3e8","End of last scheduled visit on study (including early termination)","TransitionRule_14"
"ELEMENT_END_RULE_7","TransitionRule","fbd3b2b8-a4b3-42c4-a4a8-0eccc19f1d69","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15"
"ELEMENT_START_RULE_3","TransitionRule","8a79a124-c239-4fd7-8036-e2c50eba918c","Administration of first dose","TransitionRule_10"
"ELEMENT_START_RULE_4","TransitionRule","9234bc09-15e9-4233-b6a3-f34f840d2cf0","Randomized","TransitionRule_11"
"ELEMENT_START_RULE_5","TransitionRule","74daeb09-ccaa-43fe-99f8-3375e9317e51","Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12"
"ELEMENT_START_RULE_6","TransitionRule","fc43db9f-433c-45df-839a-aac1670308a5","Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13"
