"label","name","description","instanceType","uuid:ID","id"
"Informed consent","Informed consent","","Activity","1c92828b-4486-4ad3-9bf3-2ec678d63cff","Activity_1"
"Inclusion and exclusion criteria","Inclusion/exclusion criteria","","Activity","06316a00-11b8-4155-baa5-e9299be61993","Activity_2"
"Patient number assigned","Patient number assigned","","Activity","23e26e8c-f49b-4483-a7d6-4694a4bd2d51","Activity_3"
"Demographics","Demographics","","Activity","0f9af31e-31ea-47db-9db2-8af81342ff6a","Activity_4"
"Hachinski Ischemic Scale","Hachinski","","Activity","35e9590b-ffb5-4f4f-9532-2f1e96bd3dfa","Activity_5"
"MMSE","MMSE","","Activity","dc4eb1fa-7066-4e42-b2f1-8551a01598a2","Activity_6"
"Physical examination","Physical examination","","Activity","31d448ee-362a-4da6-9223-16211298e5dc","Activity_7"
"Medical history","Medical history","","Activity","23f338d3-b635-41d9-b4c1-890447562705","Activity_8"
"Habits","Habits","","Activity","8f05ea5b-28ff-4b14-969f-54c7240e7d06","Activity_9"
"Chest X-ray","Chest X-ray","","Activity","8cac76f6-e1ea-4746-a958-68108fc65cca","Activity_10"
"Apo E genotyping","Apo E genotyping","","Activity","866daa81-d992-43ea-bf54-cd9f95647f49","Activity_11"
"Patient randomised","Patient randomised","","Activity","5be5028e-6401-4ac6-89eb-e2d379168c45","Activity_12"
"Vital Signs and Temperature","Vital signs / Temperature","","Activity","f966863f-29c3-4b1d-abe4-30cbb743b514","Activity_13"
"Ambulatory ECG placed","Ambulatory ECG placed","","Activity","4ea61d61-fcb7-4567-b71e-436040816a29","Activity_14"
"Ambulatory ECG removed","Ambulatory ECG removed","","Activity","0f0a9ba2-95b6-40d7-aa7d-5c15c948006f","Activity_15"
"ECG","ECG","","Activity","7eacce8c-4c49-487d-ae32-f76fd2810624","Activity_16"
"Placebo TTS test","Placebo TTS test","","Activity","d71d62a6-ec78-4899-b930-8d33d307f391","Activity_17"
"CT scan","CT scan","","Activity","5d3ed788-3e65-4bfc-bbd9-4edf2eb50c37","Activity_18"
"Concomitant medications","Concomitant medications","","Activity","32ed0bc4-c5dd-407b-8f67-c65fd751ea0a","Activity_19"
"Hematology","Hematology","","Activity","06f22421-a850-4272-821d-d2c02b74284d","Activity_20"
"Chemistry","Chemistry","","Activity","869dd5ce-b303-4060-b36e-ee480c3a8778","Activity_21"
"Uninalysis","Uninalysis","","Activity","c1bb78ff-6b28-4069-919d-5f670b32c432","Activity_22"
"Plasma Specimen (Xanomeline)","Plasma Specimen (Xanomeline)","","Activity","6bebf5fb-c0db-4835-b74a-a4f070c626bc","Activity_23"
"Hemoglobin A1C","Hemoglobin A1C","","Activity","9e4ccc0f-ab4d-4d1c-8f9c-894f5062d93c","Activity_24"
"Study drug record , Medications dispensed, Medications returned","Study drug","","Activity","d31c7b36-e18c-4ffc-ac81-c02100896833","Activity_25"
"TTS Acceptability Survey","TTS Acceptability Survey","","Activity","b91c0a63-124f-4b1d-9b76-04564126f7c7","Activity_26"
"ADAS-Cog","ADAS-Cog","","Activity","2b7e56f1-3714-4c22-bb79-0e4f424240b4","Activity_27"
"CIBIC+","CIBIC+","","Activity","0cae1a23-d81c-4493-8740-b4687c3d56be","Activity_28"
"DAD","DAD","","Activity","3d191d44-2d2d-4d34-aaa8-68fe6fe49038","Activity_29"
"NPI-X","NPI-X","","Activity","422934b6-67ca-48a7-b5d8-73ebe798c759","Activity_30"
"Adverse events","Adverse events","","Activity","816d559d-f6b8-42a9-8939-8e371a94744c","Activity_31"
"Check adverse events","Check adverse events","","Activity","16f0013f-9112-4236-bc64-5a6782049715","Activity_32"
"Subject supine","Supine","","Activity","e55bf004-bb54-415e-a918-1b91dd8800bb","Activity_33"
"Vital signs while supine","Vital Signs Supine","","Activity","00d2d2b1-35b8-4b92-a75c-a7f695e3f458","Activity_34"
"Subject Standing","Stand","","Activity","710200e8-1e0e-4440-a7e1-bdbac650774b","Activity_35"
"Vital signs while standing","Vital Signs Standing","","Activity","132c9838-bd87-44d4-9d48-fbeef4b90aad","Activity_36"
