"description","windowLabel","instanceType","name","value","uuid:ID","windowUpper","valueLabel","label","id","windowLower"
"Screening timing","","Timing","TIM1","P2W","a2542dde-9bba-4133-9c84-9f1bd0b8d096","","2 weeks","Screening","Timing_1",""
"Pre dose timing","-4..0 hours","Timing","TIM2","P2D","590fccde-ef62-458a-97cb-227cd7239ace","PT0H","2 days","Pre dose","Timing_2","PT4H"
"Dosing anchor","","Timing","TIM3","P1D","307832fb-1b2f-4300-bed3-101f5727bf3b","","1 Day","Dosing","Timing_3",""
"Week 2 timing","-3..3 days","Timing","TIM4","P2W","77a1ec8b-b82e-439b-b919-24a9df15f5c5","P3D","2 Weeks","Week 2","Timing_4","P3D"
"Week 4 timing","-3..3 days","Timing","TIM5","P4W","6180ad4b-30ce-4cc6-b3fa-97ea9236f807","P3D","4 Weeks","Week 4","Timing_5","P3D"
"Week 6 timing","-3..3 days","Timing","TIM6","P6W","34989191-7019-48b7-8618-683ade915e05","P3D","6 Weeks","Week 6","Timing_6","P3D"
"Week 8 timing","-3..3 days","Timing","TIM7","P8W","172c5829-546d-4d40-9240-764b5f28e242","P3D","8 Weeks","Week 8","Timing_7","P3D"
"Week 12 timing","-4..4 days","Timing","TIM9","P12W","e96dc987-4c61-4826-afdd-c0a844b803b1","P4D","12 Weeks","Week 12","Timing_9","P4D"
"Week 16 timing","-4..4 days","Timing","TIM11","P16W","f9ea3718-8561-44f3-89df-e55b743813ba","P4D","16 Weeks","Week 16","Timing_11","P4D"
"Week 20 timing","-4..4 days","Timing","TIM13","P20W","ffeadfca-0224-460e-9a35-32dd4c8a5f85","P4D","20 Weeks","Week 20","Timing_13","P4D"
"Week 24 timing","-4..4 days","Timing","TIM15","P24W","c9b8e949-6780-4b44-b45a-5006d5b08706","P4D","24 Weeks","Week 24","Timing_15","P4D"
"Week 26 timing","-3..3 days","Timing","TIM16","P26W","66b9247a-5f4d-421e-8cbb-b57bc571afbc","P3D","26 Weeks","Week 26","Timing_16","P3D"
"Week 8 at home timing","","Timing","TIM8","P2W","4e3d7c1f-43f9-4f2a-9e68-0d67d48fd267","","2 Weeks","Week 8 Home","Timing_8",""
"Week 12 at home timing","","Timing","TIM10","P2W","4eeb0129-7720-48ea-8f88-c47d3d284d1e","","2 Weeks","Week 12 Home","Timing_10",""
"Week 16 at home timing","","Timing","TIM12","P2W","2671d7fe-e32b-489a-bba6-50a715110db1","","2 Weeks","Week 16 Home","Timing_12",""
"Week 20 at home timing","","Timing","TIM14","P2W","613c4507-d451-40bb-bc10-ae2d992506eb","","2 Weeks","Week 20 Home","Timing_14",""
"Adverse Event","","Timing","TIM17","P1D","47aeb669-5f11-46e2-b20c-a5badd424dc6","","1 Day","Adverse Event","Timing_17",""
"Early Termination","","Timing","TIM18","P1D","e40c5ff5-245a-458f-81d1-b842328aac4c","","1 Day","Early Termination","Timing_18",""
"Supine","","Timing","TIM19","PT0M","49e9eb9e-24cc-48d1-bcaf-27fd06681c13","","0 mins","Supine","Timing_19",""
"VS while supine","","Timing","TIM20","PT5M","9a03b2c4-2e90-4f92-a51d-4d4d8a576663","","5 mins","VS while supine","Timing_20",""
"Standing","","Timing","TIM21","PT0M","624b2056-938c-4e81-b034-0bf18858b5f5","","0 min","Standing","Timing_21",""
"VS while standing","","Timing","TIM22","PT1M","bec1d85c-66b3-43e9-970d-136eac2fa7df","","1 min","VS while standing","Timing_22",""
"Standing","","Timing","TIM23","PT0M","2cad1420-b8a2-4c16-a80f-5f835958efcf","","0 min","Standing","Timing_23",""
"VS while standing","","Timing","TIM24","PT2M","fe515480-6dcc-42ab-ba84-b79cbeb6b4bd","","2 min","VS while standing","Timing_24",""
