"description","instanceType","name","uuid:ID","label","id"
"-","ScheduledActivityInstance","SCREEN1","49eb655f-6d2c-46cb-8f6d-17be1ea76568","Screen One","ScheduledActivityInstance_9"
"-","ScheduledActivityInstance","SCREEN2","83a95b51-4a30-4824-b4f7-2562a1c0b299","Screen Two","ScheduledActivityInstance_10"
"-","ScheduledActivityInstance","DOSE","e8b79875-f7a8-4ae8-a15d-11dcbee7cc57","Dose","ScheduledActivityInstance_11"
"-","ScheduledActivityInstance","WK2","f9b4b672-6f37-406c-8521-9cfeb9dc3017","Week 2","ScheduledActivityInstance_12"
"-","ScheduledActivityInstance","WK4","aad4f858-6e2c-4ed4-9e3f-6b3bc5474597","Week 4","ScheduledActivityInstance_13"
"-","ScheduledActivityInstance","WK6","b349b818-8017-4c6f-814c-26653bf3e3a2","Week 6","ScheduledActivityInstance_14"
"-","ScheduledActivityInstance","WK8","9ddbf990-cd02-4f0b-ad8e-259023ec4cb1","Week 8","ScheduledActivityInstance_15"
"-","ScheduledActivityInstance","WK8N","6fc74ed7-daab-4c16-8bc1-0167566bdecc","Week NPI","ScheduledActivityInstance_16"
"-","ScheduledActivityInstance","WK12","be84d10e-1611-4c03-8e5a-3a47fa63b0e4","Week 12","ScheduledActivityInstance_17"
"-","ScheduledActivityInstance","WK12N","8fb59fc4-c17d-4bb9-a62a-04eae478ca3e","Week 12 NPI","ScheduledActivityInstance_18"
"-","ScheduledActivityInstance","WK16","a47a83a2-26d2-4f58-88f1-d879f95d23d7","Week 16","ScheduledActivityInstance_19"
"-","ScheduledActivityInstance","WK16N","14ddd50a-d8e1-4501-8ba1-d08043a14ba6","Week 16 NPI","ScheduledActivityInstance_20"
"-","ScheduledActivityInstance","WK20","0afd1348-a689-427d-86c1-40a6d2330362","Week 20","ScheduledActivityInstance_21"
"-","ScheduledActivityInstance","WK20N","0761d5e9-1e9f-4616-b60c-7045e16a2789","Week 20 NPI","ScheduledActivityInstance_22"
"-","ScheduledActivityInstance","WK24","6f014ea8-23eb-4e14-bafa-e45da64f7577","Week 24","ScheduledActivityInstance_23"
"-","ScheduledActivityInstance","WK26","ce1b883a-2049-40c8-b51c-9dbe11fb8565","Week 26","ScheduledActivityInstance_24"
"-","ScheduledActivityInstance","AE","1d4740ac-cc7a-49ee-b053-31e021454eb0","Adevers Event","ScheduledActivityInstance_1"
"-","ScheduledActivityInstance","ET","48fcefca-5862-4717-bb9a-06f9b2b7722e","Early Termination","ScheduledActivityInstance_2"
"","ScheduledActivityInstance","VS_5MIN","d00e98d9-2386-4752-9648-fccc046a6377","5 minute supine","ScheduledActivityInstance_3"
"","ScheduledActivityInstance","VS_SUPINE","a1b6755a-ee58-4e8d-b2ca-2373110d3744","Vital signs supine","ScheduledActivityInstance_4"
"","ScheduledActivityInstance","VS_1MIN","c9c0f6c9-0bdb-498c-8cc8-dd085d981038","1 minute standing","ScheduledActivityInstance_5"
"","ScheduledActivityInstance","VS_STAND1","df8925b2-e469-401b-85b2-4244b736b84b","Vital signs after 1 min standing","ScheduledActivityInstance_6"
"","ScheduledActivityInstance","VS_2MIN","61cca39a-3364-418b-a558-d25fece1ea38","2 minute standing","ScheduledActivityInstance_7"
"","ScheduledActivityInstance","VS_STAND3","04367d1a-2236-49bf-a226-c2acb0aaf5ff","Vital signs after 3 min standing","ScheduledActivityInstance_8"
