"description","instanceType","name","uuid:ID","label","id"
"Screening encounter","Encounter","E1","34f73514-02fd-4cde-b8c9-ef8478f48acc","Screening 1","Encounter_1"
"Screening encounter - Ambulatory ECG Placement","Encounter","E2","63c3eb7a-692e-4eb8-b989-fd6b1b7dd562","Screening 2","Encounter_2"
"Baseline encounter - Ambulatory ECG Removal","Encounter","E3","9456af2e-84a7-40c2-b0f9-e84d001d4eb3","Baseline","Encounter_3"
"Day 14","Encounter","E4","6e9d3e9a-c3fb-4b08-8ea9-2ee4d678b7be","Week 2","Encounter_4"
"Day 28","Encounter","E5","b56b1d76-7170-4bb5-b6f4-218774c01a77","Week 4","Encounter_5"
"Day 42","Encounter","E7","24b37fe5-3d11-4df7-a9fe-4187018a32fc","Week 6","Encounter_6"
"Day 56","Encounter","E8","3324efb4-9846-493e-89b3-766ece56b325","Week 8","Encounter_7"
"Day 84","Encounter","E9","a6d31951-0069-4c99-a697-73c99f88b682","Week 12","Encounter_8"
"Day 112","Encounter","E10","38e76285-291e-447c-a9ea-8f1f92fad8d6","Week 16","Encounter_9"
"Day 140","Encounter","E11","6b84c8ac-bf83-4a55-ace9-d2c6cb869708","Week 20","Encounter_10"
"Day 168","Encounter","E12","3ba9dde9-3c2f-47b4-87c9-16949e147bad","Week 24","Encounter_11"
"Day 182","Encounter","E13","2523c16d-e545-4169-9fa1-d0384c7f3642","Week 26","Encounter_12"
