"instanceType","name","text","uuid:ID","id"
"TransitionRule","ENCOUNTER_START_RULE_1","Subject identifier","aadae0df-5428-458e-8de0-9f86a6b5a4bf","TransitionRule_1"
"TransitionRule","ENCOUNTER_START_RULE_1","completion of screening activities","ae6ef110-17a0-4c77-98eb-3e2c104f45e7","TransitionRule_2"
"TransitionRule","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","eef14350-b105-4391-baca-cb55b1077428","TransitionRule_3"
"TransitionRule","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","b3a4e9d9-8c0a-420b-a9fe-4af42c661994","TransitionRule_4"
"TransitionRule","ENCOUNTER_START_RULE_3","Radomized","7c125f2a-f7f8-43a2-9949-6f700a8f64c5","TransitionRule_5"
"TransitionRule","ENCOUNTER_START_RULE_12","End of treatment","3422b1d3-6f66-4f4f-bb3b-ce1446c25e64","TransitionRule_6"
"TransitionRule","ELEMENT_START_RULE_1","Informed consent","cebf6ced-7d2b-4cb7-95d3-2588d160ab76","TransitionRule_7"
"TransitionRule","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","89048c7a-1cba-44ee-988a-817fee636c11","TransitionRule_8"
"TransitionRule","ELEMENT_START_RULE_2","Administration of first dose","3efff018-3178-4b24-92ee-08960505e12c","TransitionRule_9"
"TransitionRule","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","9e843186-8854-4633-8fc8-8fa9ffe5874b","TransitionRule_14"
"TransitionRule","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","1d711bca-bbdc-4738-ac68-735e743e0fb7","TransitionRule_15"
"TransitionRule","ELEMENT_START_RULE_3","Administration of first dose","9e806978-86ff-485f-8eb2-a65ea6aa5658","TransitionRule_10"
"TransitionRule","ELEMENT_START_RULE_4","Randomized","b92cdd85-6b56-4fce-959c-90385d34a134","TransitionRule_11"
"TransitionRule","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","d0134f85-34fa-4975-bc65-963f3ca4d0a1","TransitionRule_12"
"TransitionRule","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","dc0b75b8-5aa8-44ae-92e1-eff52c30d592","TransitionRule_13"
