"description","instanceType","name","text","uuid:ID","identifier","label","id"
"","EligibilityCriterion","IN01","<p>Males and postmenopausal females at least <usdm:tag name=""min_age""/> years of age.</p>","d104344e-7e5f-4aa1-b7de-e37c2b4dae75","01","Age greater than 50","EligibilityCriterion_1"
"","EligibilityCriterion","IN02","<p><usdm:tag name=""StudyPopulation""/> as defined by National Institute of Neurological and Communicative Disorders and Stroke (NINCDS) and the Alzheimer's Disease and Related Disorders Association (ADRDA) guidelines (Attachment LZZT.7).</p>","8e7f5f98-69c2-4bad-aa55-1f135b75bf95","02","Diagnosis of Alzheimer's","EligibilityCriterion_2"
"","EligibilityCriterion","IN03","<p><usdm:tag name=""Activity1""/> score of 10 to 23.</p>","d2193b27-3b18-4825-a282-cd304ed943a1","03","MMSE Score","EligibilityCriterion_3"
"","EligibilityCriterion","IN04","<p><usdm:tag name=""Activity2""/>  score of ≤4 (Attachment LZZT.8).</p>","24171dcd-b4c2-4350-97e3-688a42696fd4","04","Hachinski Ischemic Score","EligibilityCriterion_4"
"","EligibilityCriterion","IN05","<p>CNS imaging (CT scan or MRI of brain) compatible with AD within past 1 year.</p>
<p>The following findings are incompatible with AD:</p>
<ol type=""a"">
  <li>
    <p>Large vessel strokes</p>
    <ol>
      <li>
        <p>Any definite area of encephalomalacia consistent with ischemic necrosis in any cerebral artery territory.</p>
      </li>
      <li>
        <p>Large, confluent areas of encephalomalacia in parieto-occipital or frontal regions consistent with watershed
          infarcts.</p>
        <p>The above are exclusionary. Exceptions are made for small areas of cortical asymmetry which may represent a
          small cortical stroke or a focal area of atrophy provided there is no abnormal signal intensity in the
          immediately underlying parenchyma. Only one such questionable area allowed per scan, and size is restricted to
          ≤1cm in frontal/parietal/temporal cortices and ≤2 cm in occipital cortex.</p>
      </li>
    </ol>
  </li>
  <li>
    <p>Small vessel ischemia</p>
    <ol>
      <li>
        <p>Lacunar infarct is defined as an area of abnormal intensity seen on CT scan or on both T1 and T2 weighted MRI
          images in the basal ganglia, thalamus or deep white matter which is ≤1 cm in maximal diameter. A maximum of
          one
          lacune is allowed per scan.</p>
      </li>
      <li>
        <p>Leukoariosis or leukoencephalopathy is regarded as an abnormality seen on T2 but not T1 weighted MRIs, or on
          CT. This is accepted if mild or moderate in extent, meaning involvement of less than 25% of cortical white
          matter.
      </li>
    </ol>
  </li>
  <li>
    <p>Miscellaneous</p>
    <ol>
      <li>
        <p>Benign small extra-axial tumors (ie, meningiomas) are accepted if they do not contact or indent the brain
          parenchyma.</p>
      </li>
      <li>
        <p>Small extra-axial arachnoid cysts are accepted if they do not indent or deform the brain parenchyma.</p>
      </li>
    </ol>
  </li>
</ol>","ff28c12e-00f0-4ecb-8d69-72491a278341","05","CNS imaging comptaible with Alzheimer's","EligibilityCriterion_5"
"","EligibilityCriterion","IN06","<p>Investigator has obtained informed consent signed by the patient (and/or legal representative) and by the caregiver.</p>","9143dd83-0b51-42c8-83a8-04662162363b","06","Informed consent criteria","EligibilityCriterion_6"
"","EligibilityCriterion","IN07","<p>Geographic proximity to investigator's site that allows adequate follow-up.</p>","614b1805-38e8-4a14-8b3a-06dd5abad473","07","Geographic proximity criteria","EligibilityCriterion_7"
"","EligibilityCriterion","IN08","<p>A reliable caregiver who is in frequent or daily contact with the patient and who will accompany the patient to the office and/or be available by telephone at designated times, will monitor administration of prescribed medications, and will be responsible for the overall care of the patient at home. The caregiver and the patient must be able to communicate in English and willing to comply with 26 weeks of transdermal therapy.</p>","9e9b1b5d-7979-42b1-ae58-541c7e3620bd","08","Reliable caregiver criteria","EligibilityCriterion_8"
"","EligibilityCriterion","EX01","<p>Persons who have previously completed or withdrawn from this study or any other study investigating xanomeline TTS or the oral formulation of xanomeline.</p>","6318c272-264a-4fd2-9321-c980e6c828d0","09","Previous study criteria","EligibilityCriterion_9"
"","EligibilityCriterion","EX02","<p>Use of any investigational agent or approved Alzheimer's therapeutic medication within 30 days prior to enrollment into the study.</p>","f6f3e252-cbde-49ec-8365-b691288877dc","10","Other Alzheimer's therapy criteria","EligibilityCriterion_10"
"","EligibilityCriterion","EX03","<p>Serious illness which required hospitalization within 3 months of screening.</p>","a2c666d4-6300-42a5-a1fa-821797f3d97c","11","Serious illness criteria","EligibilityCriterion_11"
"","EligibilityCriterion","EX04","<p>Diagnosis of serious neurological conditions, including </p>
<ol type=""a"">
<li><p>Stroke or vascular dementia documented by clinical history and/or radiographic findings interpretable by the investigator as indicative of these disorders</p></li>
<li><p>Seizure disorder other than simple childhood febrile seizures</p></li>
<li><p>Severe head trauma resulting in protracted loss of consciousness within the last 5 years, or multiple episodes of head trauma</p></li>
<li><p>Parkinson's disease</p></li>
<li><p>Multiple sclerosis</p></li>
<li><p>Amyotrophic lateral sclerosis</p></li>
<li><p>Myasthenia gravis.</p></li>
</ol>","db76d2ec-6052-4ca8-94a5-d6f90db7a0dd","12","Serious neurolocal conditions criteria","EligibilityCriterion_12"
"","EligibilityCriterion","EX05","<p>Episode of depression meeting DSM-IV criteria within 3 months of screening.</p>","9b582187-c7c6-4e29-84be-71a5dd3668f6","13","Depression criteria","EligibilityCriterion_13"
"","EligibilityCriterion","EX06","<p>A history within the last 5 years of the following:</p>
<ol type=""a"">
<li><p>Schizophrenia</p></li>
<li><p>Bipolar Disease</p></li>
<li><p>Ethanol or psychoactive drug abuse or dependence. </p></li>
</ol>","5f111b11-af27-4e96-9bf6-6837cd4e3158","14","Schizophrenia, Bipolar, Ethanol or psychoactive abuse criteria","EligibilityCriterion_14"
"","EligibilityCriterion","EX07","<p>A history of syncope within the last 5 years.</p>","2bc22c57-afeb-4526-9074-a56cad527047","15","Syncope criteria","EligibilityCriterion_15"
"","EligibilityCriterion","EX08","<p>Evidence from ECG recording at screening of any of the following conditions :</p>
<ol type=""a"">
<li><p>Left bundle branch block</p></li>
<li><p>Bradycardia ≤50 beats per minute</p></li>
<li><p>Sinus pauses &gt;2 seconds</p></li>
<li><p>Second or third degree heart block unless treated with a pacemaker</p></li>
<li><p>Wolff-Parkinson-White syndrome</p></li>
<li><p>Sustained supraventricular tachyarrhythmia including SVT≥10 sec, atrial fibrillation, atrial flutter.</p></li>
<li><p>Ventricular tachycardia at a rate of ≥120 beats per minute lasting≥10 seconds.</p></li>
</ol>","8acbb4c8-3946-4683-9b3e-fec85238b513","16b","ECG Criteria","EligibilityCriterion_16"
"","EligibilityCriterion","EX09","<p>A history within the last 5 years of a serious cardiovascular disorder, including</p>
<ol type=""a"">
<li><p>Clinically significant arrhythmia</p></li>
<li><p>Symptomatic sick sinus syndrome not treated with a pacemaker</p></li>
<li><p>Congestive heart failure refractory to treatment</p></li>
<li><p>Angina except angina controlled with PRN nitroglycerin</p></li>
<li><p>Resting heart rate &lt;50 or &gt;100 beats per minute, on physical exam</p></li>
<li><p>Uncontrolled hypertension.</p></li>
</ol>","69161cf2-55d6-4ce6-9804-d0e581bb646e","17","Cardiovascular criteria","EligibilityCriterion_17"
"","EligibilityCriterion","EX10","<p>A history within the last 5 years of a serious gastrointestinal disorder, including 
<ol type=""a"">
<li><p>Chronic peptic/duodenal/gastric/esophageal ulcer that are untreated or refractory to treatment</p></li>
<li><p>Symptomatic diverticular disease</p></li>
<li><p>Inflammatory bowel disease</p></li>
<li><p>Pancreatitis</p></li>
<li><p>Hepatitis</p></li>
<li><p>Cirrhosis of the liver.</p></li>
</ol>","a9eda363-5978-480a-a089-c3d18752a170","18","Gastrointensinal criteria","EligibilityCriterion_18"
