"codeSystem","decode","instanceType","uuid:ID","code","codeSystemVersion","id"
"http://www.cdisc.org","Interventional Study","Code","b1a3eb39-9510-44d1-a130-9622375f4893","C98388","2023-12-15","Code_1"
"http://www.cdisc.org","Phase II Trial","Code","5041cdb1-aac1-4c4f-8552-f4e2785a300b","C15601","2023-12-15","Code_2"
"http://www.cdisc.org","Sponsor Approval Date","Code","10be6f5e-381e-4d59-ac1c-257956de568d","C132352","2023-12-15","Code_9"
"http://www.cdisc.org","Global","Code","159907e7-dc3c-4801-8646-294a882dba08","C68846","2023-12-15","Code_10"
"http://www.cdisc.org","IRB/IEC Feedback","Code","61c212a0-923b-4978-962d-1779449b5118","C99904x3","2023-12-15","Code_72"
"http://www.cdisc.org","Other","Code","d628c45c-ea29-4f0a-9c71-400abc6964e2","C17649","2023-12-15","Code_73"
"http://www.cdisc.org","Region","Code","6f4c024d-830e-4ad2-a6f2-7c06b306c47c","C41129","2023-12-15","Code_75"
"ISO 3166 1 alpha3","Europe","Code","298bad70-f1de-4cba-8164-a58d33b3aab2","150","2020-08","Code_74"
"SPONSOR","Eli Lilly","Code","fe715cb3-acc0-4be2-9c08-5fa59a16df8d","PHARMA","12","Code_4"
"http://www.cdisc.org","Clinical Study Sponsor","Code","6452e164-f11b-41d8-be7a-186ae154ca1c","C70793","2023-12-15","Code_76"
"ISO 3166 1 alpha3","United States of America","Code","15e20705-1483-49fd-adac-c6e70bbb4b24","USA","2020-08","Code_77"
"http://www.cdisc.org","Study Registry","Code","b1dd3757-2292-4180-aead-8ab03eb2dd2f","C93453","2023-12-15","Code_78"
"ISO 3166 1 alpha3","United States of America","Code","e6c576c5-36c8-4f9e-b3b3-353980208d04","USA","2020-08","Code_79"
"http://www.cdisc.org","Treatment Study","Code","c6d4fa85-7786-4c52-91b7-664a77623e72","C49656","2023-12-15","Code_137"
"http://www.cdisc.org","Efficacy Study","Code","5b5d18d2-88e6-46a4-9ded-9f253a26d19b","C49666","2023-12-15","Code_138"
"http://www.cdisc.org","Safety Study","Code","7d35cea1-0ece-4319-ac7a-aac7eeb1671e","C49667","2023-12-15","Code_139"
"http://www.cdisc.org","Pharmacokinetic Study","Code","96df5681-92ac-42f1-82ff-83d15fb4f464","C49663","2023-12-15","Code_140"
"SPONSOR","Mild to Moderate Alzheimer's Disease","Code","e406af46-784e-4cf7-a75f-78ec265fd659","MILD_MOD_ALZ","12","Code_134"
"SNOMED","Alzheimer's disease","Code","77fe16cb-8cdb-4e4f-b979-183282ee8a72","26929004","January 31, 2018","Code_135"
"http://www.cdisc.org","EXTENSION","Code","724d8260-a79a-4dbe-b1aa-64c963907a1b","C99907x1","2023-12-15","Code_143"
"http://www.cdisc.org","ADAPTIVE","Code","8f0e62e9-e3c2-4422-8be2-cffdd0abc46d","C98704","2023-12-15","Code_144"
"http://www.cdisc.org","Parallel Study","Code","38b9f989-fc5a-4a81-b92a-2ce2fd7e7221","C82639","2023-12-15","Code_141"
"http://www.cdisc.org","Visit","Code","d17acfbf-bd95-428c-bf40-f34107966e54","C25716","2023-12-15","Code_83"
"http://www.cdisc.org","Clinic","Code","8ed2d31b-1500-4c27-b7c3-54c0167510b8","C51282","2023-12-15","Code_84"
"http://www.cdisc.org","In Person","Code","6965dadf-d184-4ec7-80d1-98ef46f07f49","C175574","2023-12-15","Code_85"
"http://www.cdisc.org","Visit","Code","553808e7-ec7c-45cf-bc41-80da18b6613e","C25716","2023-12-15","Code_86"
"http://www.cdisc.org","Clinic","Code","2e797deb-7dec-49c7-b74d-11f713891dcc","C51282","2023-12-15","Code_87"
"http://www.cdisc.org","In Person","Code","a5c6ac5b-1d6e-4700-bf12-39496d5be53b","C175574","2023-12-15","Code_88"
"http://www.cdisc.org","Visit","Code","59a9eba5-42a1-4d27-871a-998fe40a1283","C25716","2023-12-15","Code_89"
"http://www.cdisc.org","Clinic","Code","d65fdb06-f001-40fe-a4f9-22cf64ba0b88","C51282","2023-12-15","Code_90"
"http://www.cdisc.org","In Person","Code","7b1ca3b0-cf37-470e-a505-39aad75941a0","C175574","2023-12-15","Code_91"
"http://www.cdisc.org","Visit","Code","d717f812-da2b-454b-a463-5ab53ac32f22","C25716","2023-12-15","Code_92"
"http://www.cdisc.org","Clinic","Code","422c6f7b-56aa-4249-a20a-fc7ab9ec2e6d","C51282","2023-12-15","Code_93"
"http://www.cdisc.org","In Person","Code","61cd637b-2313-4e48-9230-a8766064ffa4","C175574","2023-12-15","Code_94"
