"name","instanceType","label","uuid:ID","id","description"
"SCREEN1","ScheduledActivityInstance","Screen One","2bf47924-313d-49cf-84e8-a5fe4c091b5a","ScheduledActivityInstance_9","-"
"SCREEN2","ScheduledActivityInstance","Screen Two","26d4b3d0-a752-48f8-acb6-88540a40f26a","ScheduledActivityInstance_10","-"
"DOSE","ScheduledActivityInstance","Dose","8a8c48c4-9d42-4db4-93c3-3b01357e708f","ScheduledActivityInstance_11","-"
"WK2","ScheduledActivityInstance","Week 2","17a8a5a1-7b93-487b-9caa-60e5b716759e","ScheduledActivityInstance_12","-"
"WK4","ScheduledActivityInstance","Week 4","796b5f44-023c-426b-9ae7-d1dfac8f2815","ScheduledActivityInstance_13","-"
"WK6","ScheduledActivityInstance","Week 6","a0fb3c77-c767-4f18-8fbb-a9600c27427d","ScheduledActivityInstance_14","-"
"WK8","ScheduledActivityInstance","Week 8","e6bdf670-8a58-48fc-8b18-1b7ce9b996f4","ScheduledActivityInstance_15","-"
"WK8N","ScheduledActivityInstance","Week NPI","f8062c14-7d4b-48c7-8908-f1ad8b214565","ScheduledActivityInstance_16","-"
"WK12","ScheduledActivityInstance","Week 12","be75d664-01b0-40a0-b6b0-71072d572957","ScheduledActivityInstance_17","-"
"WK12N","ScheduledActivityInstance","Week 12 NPI","84ab882a-582a-44d8-8e0c-614f36de822e","ScheduledActivityInstance_18","-"
"WK16","ScheduledActivityInstance","Week 16","af762b57-5896-43da-8444-e5c43571cb36","ScheduledActivityInstance_19","-"
"WK16N","ScheduledActivityInstance","Week 16 NPI","701d348d-012f-4621-847c-b963278c0543","ScheduledActivityInstance_20","-"
"WK20","ScheduledActivityInstance","Week 20","d7f2062f-f541-4e45-a461-82f28234b409","ScheduledActivityInstance_21","-"
"WK20N","ScheduledActivityInstance","Week 20 NPI","7e3c7920-51d4-41ed-9d81-6dc20ed4ea74","ScheduledActivityInstance_22","-"
"WK24","ScheduledActivityInstance","Week 24","43d520ff-f994-493f-816f-d7348b3c750d","ScheduledActivityInstance_23","-"
"WK26","ScheduledActivityInstance","Week 26","e233ca6b-eaab-48d9-b135-927d3246b36c","ScheduledActivityInstance_24","-"
"AE","ScheduledActivityInstance","Adevers Event","719fabf9-35fc-470e-abd7-3e355e3eee13","ScheduledActivityInstance_1","-"
"ET","ScheduledActivityInstance","Early Termination","734d06ce-8696-4aa9-b280-e3b0f5bd953a","ScheduledActivityInstance_2","-"
"VS_5MIN","ScheduledActivityInstance","5 minute supine","8e094be8-6df3-4752-a913-0bded36db843","ScheduledActivityInstance_3",""
"VS_SUPINE","ScheduledActivityInstance","Vital signs supine","d8fc6ea1-7ebb-44ba-b08e-a566ba518a04","ScheduledActivityInstance_4",""
"VS_1MIN","ScheduledActivityInstance","1 minute standing","98283a39-bcc7-4c36-ab1b-5ddf5169897f","ScheduledActivityInstance_5",""
"VS_STAND1","ScheduledActivityInstance","Vital signs after 1 min standing","8d3b1f9f-c2f8-4d1f-9cba-f1c4afe47767","ScheduledActivityInstance_6",""
"VS_2MIN","ScheduledActivityInstance","2 minute standing","e057c4ba-ceca-4227-9c8e-f594598e4ea2","ScheduledActivityInstance_7",""
"VS_STAND3","ScheduledActivityInstance","Vital signs after 3 min standing","e1e33cb1-d7dd-40a4-9991-bd1190d109ac","ScheduledActivityInstance_8",""
