"instanceType","decode","codeSystem","uuid:ID","code","codeSystemVersion","id"
"Code","Interventional Study","http://www.cdisc.org","955f09e5-8a7a-4f1e-8215-331c49b81814","C98388","2023-12-15","Code_1"
"Code","Phase II Trial","http://www.cdisc.org","68d67034-1b24-4c17-8f12-ff0568cc51a6","C15601","2023-12-15","Code_2"
"Code","Sponsor Approval Date","http://www.cdisc.org","7fcecaa2-ec62-4e06-a61a-7e0f8939fc23","C132352","2023-12-15","Code_9"
"Code","Global","http://www.cdisc.org","d9702143-f6fc-4754-b8f3-8e8223327a65","C68846","2023-12-15","Code_10"
"Code","IRB/IEC Feedback","http://www.cdisc.org","760c8f43-ba20-4fdb-bebd-ab8fb93a3a28","C99904x3","2023-12-15","Code_72"
"Code","Other","http://www.cdisc.org","1dbc03eb-9e9a-4cfe-bb7f-ff0dfe9f54ce","C17649","2023-12-15","Code_73"
"Code","Region","http://www.cdisc.org","ab6218f5-7db9-4cd1-b483-1b9407b5bb01","C41129","2023-12-15","Code_75"
"Code","Europe","ISO 3166 1 alpha3","8bc4580d-7349-4467-af75-d48cd8d73de5","150","2020-08","Code_74"
"Code","Eli Lilly","SPONSOR","0221e109-334f-4f0e-9c67-4f2760c7a686","PHARMA","12","Code_4"
"Code","Clinical Study Sponsor","http://www.cdisc.org","cfe15df4-5cb5-4242-9b4e-e7392ef5c786","C70793","2023-12-15","Code_76"
"Code","United States of America","ISO 3166 1 alpha3","c01c9f2b-0cc3-49f5-bbdd-200f8fdbe5d5","USA","2020-08","Code_77"
"Code","Study Registry","http://www.cdisc.org","a301dcaa-7ca7-43dd-a943-41ff43d0bbd5","C93453","2023-12-15","Code_78"
"Code","United States of America","ISO 3166 1 alpha3","a2784c88-7571-496e-92ed-b3de52731179","USA","2020-08","Code_79"
"Code","Treatment Study","http://www.cdisc.org","5a64f6b0-9505-4e32-ab4e-5e9d5e7900a0","C49656","2023-12-15","Code_137"
"Code","Efficacy Study","http://www.cdisc.org","2c76a940-f3db-4b02-8057-65a212b6bb5a","C49666","2023-12-15","Code_138"
"Code","Safety Study","http://www.cdisc.org","1461c4fc-14d5-408e-a4ee-d2439f5d1328","C49667","2023-12-15","Code_139"
"Code","Pharmacokinetic Study","http://www.cdisc.org","420b0058-188a-4bee-91a7-aa1d776228de","C49663","2023-12-15","Code_140"
"Code","Mild to Moderate Alzheimer's Disease","SPONSOR","fc8bf365-f854-49f6-8cc0-755fc0689f6f","MILD_MOD_ALZ","12","Code_134"
"Code","Alzheimer's disease","SNOMED","ab44fffb-f799-4381-ba01-30d228faa95d","26929004","January 31, 2018","Code_135"
"Code","EXTENSION","http://www.cdisc.org","bdd57062-1687-41b9-b9ed-66f732074713","C99907x1","2023-12-15","Code_143"
"Code","ADAPTIVE","http://www.cdisc.org","e5d7e7f0-58de-42c0-b37e-35b7afcbd491","C98704","2023-12-15","Code_144"
"Code","Parallel Study","http://www.cdisc.org","907f4d0d-e7a3-47f8-a8d8-b4baf5d5bbc5","C82639","2023-12-15","Code_141"
"Code","Visit","http://www.cdisc.org","6e80d35d-3bfc-4c7c-bb44-8d6c9408c167","C25716","2023-12-15","Code_83"
"Code","Clinic","http://www.cdisc.org","383a4293-f176-45ee-aa3e-29594f56dc52","C51282","2023-12-15","Code_84"
"Code","In Person","http://www.cdisc.org","98e642ee-ccf0-48ca-9262-485048915524","C175574","2023-12-15","Code_85"
"Code","Visit","http://www.cdisc.org","ad975fee-c51e-403a-a14c-7aef8b3abe36","C25716","2023-12-15","Code_86"
