"name","instanceType","label","purpose","text","uuid:ID","id","description"
"END1","Endpoint","","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","98e79108-4420-4e6b-81b5-dccaa34242c2","Endpoint_1",""
"END2","Endpoint","","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","5cd74aeb-dfbb-428c-a20e-dbfd095021cc","Endpoint_2",""
"END3","Endpoint","","","Adverse events","09eff904-2e2b-4788-9b65-081a7773ac8b","Endpoint_3",""
"END4","Endpoint","","","Vital signs (weight, standing and supine blood pressure, heart rate)","a3e7d205-587d-42b8-8ca1-e1143381cc6e","Endpoint_4",""
"END5","Endpoint","","","Laboratory evaluations (Change from Baseline)","ce783ec7-6978-4920-b7b4-4978c6ae20cb","Endpoint_5","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation"
"END6","Endpoint","","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","73902d0c-c501-4ffa-8bcd-2de04d229371","Endpoint_6",""
"END7","Endpoint","","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","5bc09ca7-2bfa-415b-abc1-2ef6438185a3","Endpoint_7",""
"END8","Endpoint","","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","77b56508-9597-475d-bd2e-1259a39d0138","Endpoint_8",""
"END9","Endpoint","","","*** To be determined from protocol ***","e8a9f4d7-8ab2-4731-9a2e-871fa820f07f","Endpoint_9",""
"END10","Endpoint","","","*** To be determined from protocol ***","d2a51a07-a6db-4b9c-b561-9b3386f15eaa","Endpoint_10",""
"END11","Endpoint","","","*** To be determined from protocol ***","90626448-055d-47a4-8912-c2a9119cf315","Endpoint_11",""
