"isEnabled","name","datatype","id","uuid:ID","label","isRequired","instanceType"
"True","DSDECOD","text","BiomedicalConceptProperty_116","b2a0d45a-5d6d-45c4-9b05-c3f9439275cb","DSDECOD","True","BiomedicalConceptProperty"
"True","DSTERM","text","BiomedicalConceptProperty_117","37049382-57e8-49a4-9c62-0b021fcab315","DSTERM","True","BiomedicalConceptProperty"
"True","DSSTDTC","datetime","BiomedicalConceptProperty_118","6e7f19ae-758f-478b-86e4-0b7722d82d6d","DSSTDTC","True","BiomedicalConceptProperty"
"True","Sex","string","BiomedicalConceptProperty_119","40fba25d-ba85-47e1-b414-fbe5a96b12c4","Sex","True","BiomedicalConceptProperty"
"True","Race","string","BiomedicalConceptProperty_120","ab04db6a-e1e8-4617-9e8a-fd84674bcf4e","Race","True","BiomedicalConceptProperty"
"True","VSTESTCD","","BiomedicalConceptProperty_121","78f297a9-c7f7-4259-9209-c3b4a22b5f1b","VSTESTCD","True","BiomedicalConceptProperty"
"True","VSORRES","float","BiomedicalConceptProperty_122","97ef0576-f06e-41c1-bdde-b0fb708f9847","VSORRES","True","BiomedicalConceptProperty"
"True","VSORRESU","","BiomedicalConceptProperty_123","c98b2b68-4df6-4861-99e0-db08722f3ea4","VSORRESU","True","BiomedicalConceptProperty"
"True","VSLOC","","BiomedicalConceptProperty_124","54a25938-dfbb-457d-b271-6334435166b6","VSLOC","True","BiomedicalConceptProperty"
"True","VSTESTCD","","BiomedicalConceptProperty_125","293c98d4-b086-4a58-8fd7-36823bfb84ce","VSTESTCD","True","BiomedicalConceptProperty"
"True","VSORRES","float","BiomedicalConceptProperty_126","3116a4cc-f268-43a1-9823-f30dfa0d0628","VSORRES","True","BiomedicalConceptProperty"
"True","VSORRESU","","BiomedicalConceptProperty_127","96d4afb9-367f-4e83-90a6-a1854ca25fa0","VSORRESU","True","BiomedicalConceptProperty"
"True","VSTESTCD","","BiomedicalConceptProperty_128","fb428cb8-469c-4aa7-9eea-5acd1720ef18","VSTESTCD","True","BiomedicalConceptProperty"
"True","VSORRES","float","BiomedicalConceptProperty_129","adf137f4-fffe-443c-87ca-7fd650449c80","VSORRES","True","BiomedicalConceptProperty"
"True","VSORRESU","","BiomedicalConceptProperty_130","3dcc9e83-5c37-43b9-80d8-a406b250779d","VSORRESU","True","BiomedicalConceptProperty"
"True","LBTESTCD","","BiomedicalConceptProperty_131","9764ac79-e99f-4454-9bc2-56513ff6b4bc","LBTESTCD","True","BiomedicalConceptProperty"
"True","LBORRES","float","BiomedicalConceptProperty_132","1c0ac280-5704-49f2-af1e-119785814522","LBORRES","True","BiomedicalConceptProperty"
"True","LBORRESU","","BiomedicalConceptProperty_133","f60a6178-9cf8-4609-9bb7-187e9b1dab3f","LBORRESU","True","BiomedicalConceptProperty"
"True","LBSPEC","","BiomedicalConceptProperty_134","df3cd210-ad71-4213-8d48-2ad663f9d3ed","LBSPEC","True","BiomedicalConceptProperty"
"True","LBFAST","","BiomedicalConceptProperty_135","a010a61c-fc6e-4459-bb6e-3b4df070ae63","LBFAST","True","BiomedicalConceptProperty"
"True","LBTESTCD","","BiomedicalConceptProperty_136","a051452e-6539-4ce6-880e-3ad5ccb2c13d","LBTESTCD","True","BiomedicalConceptProperty"
"True","LBORRES","text","BiomedicalConceptProperty_137","81bd434a-e61f-4600-be51-ab42a1baf4ac","LBORRES","True","BiomedicalConceptProperty"
"True","LBSPEC","","BiomedicalConceptProperty_138","779782d9-ac4e-49c1-ace1-875329c3c1af","LBSPEC","True","BiomedicalConceptProperty"
"True","LBFAST","","BiomedicalConceptProperty_139","5e4c8c93-b46c-4913-8bf8-5a0d6461c558","LBFAST","True","BiomedicalConceptProperty"
"True","LBTESTCD","","BiomedicalConceptProperty_140","40ecdf48-c69b-43ad-bb5b-b0027787dc00","LBTESTCD","True","BiomedicalConceptProperty"
"True","LBORRES","float","BiomedicalConceptProperty_141","38fc1216-20fe-4b7b-b682-8bb36b2c2b82","LBORRES","True","BiomedicalConceptProperty"
"True","LBORRESU","","BiomedicalConceptProperty_142","4105f99c-85d6-4312-8c26-fedc07b91ca7","LBORRESU","True","BiomedicalConceptProperty"
"True","LBSPEC","","BiomedicalConceptProperty_143","2938db70-f1f6-4714-b963-3c316e75e9ea","LBSPEC","True","BiomedicalConceptProperty"
"True","LBFAST","","BiomedicalConceptProperty_144","a95f17f9-b641-4d5d-8015-018f531a0de8","LBFAST","True","BiomedicalConceptProperty"
"True","LBTESTCD","","BiomedicalConceptProperty_145","77efbbc3-b183-41e3-a76b-b54128fb9031","LBTESTCD","True","BiomedicalConceptProperty"
"True","LBORRES","float","BiomedicalConceptProperty_146","b8de1727-298c-4c77-bc65-ccb7cea3241d","LBORRES","True","BiomedicalConceptProperty"
"True","LBORRESU","","BiomedicalConceptProperty_147","43ee4983-0acd-4b7f-b23e-1f570bf1d648","LBORRESU","True","BiomedicalConceptProperty"
"True","LBSPEC","","BiomedicalConceptProperty_148","31ff599a-d33e-4a0d-b1a5-0097d401e3e0","LBSPEC","True","BiomedicalConceptProperty"
