"codeSystemVersion","codeSystem","id","uuid:ID","code","decode","instanceType"
"2023-12-15","http://www.cdisc.org","Code_1","4d8886a6-b73b-4248-accb-85335c8b8b0f","C98388","Interventional Study","Code"
"2023-12-15","http://www.cdisc.org","Code_2","5753f6d5-99aa-4573-931d-d51869461e4d","C15601","Phase II Trial","Code"
"2023-12-15","http://www.cdisc.org","Code_9","90450bea-9737-4d6b-a3f4-d5bd22d75521","C132352","Sponsor Approval Date","Code"
"2023-12-15","http://www.cdisc.org","Code_10","7e4ec702-e905-4fd0-8edd-b243552b06d7","C68846","Global","Code"
"2023-12-15","http://www.cdisc.org","Code_72","63cb9210-cc6f-4819-8678-c996e31d1250","C99904x3","IRB/IEC Feedback","Code"
"2023-12-15","http://www.cdisc.org","Code_73","01ee8dbb-767d-4dd0-a6ac-4ace01dc65bb","C17649","Other","Code"
"2023-12-15","http://www.cdisc.org","Code_75","6592f0ea-dfb7-4fd8-b076-8c888c070f48","C41129","Region","Code"
"2020-08","ISO 3166 1 alpha3","Code_74","aae4ac9a-f6b1-4ec1-ae60-44e5b1e9f38b","150","Europe","Code"
"12","SPONSOR","Code_4","48ca9802-1c93-4545-a1e8-4331d3ab0a55","PHARMA","Eli Lilly","Code"
"2023-12-15","http://www.cdisc.org","Code_76","bd925892-898e-4a9c-9a91-9c02a73691fb","C70793","Clinical Study Sponsor","Code"
"2020-08","ISO 3166 1 alpha3","Code_77","f16266d2-36b5-44b6-a245-2ff63d818870","USA","United States of America","Code"
"2023-12-15","http://www.cdisc.org","Code_78","956ac16f-d789-421c-aeb5-0b36487d3a6f","C93453","Study Registry","Code"
"2020-08","ISO 3166 1 alpha3","Code_79","16875257-5a2a-4b8c-87df-4d9bacfd0c8e","USA","United States of America","Code"
"2023-12-15","http://www.cdisc.org","Code_137","408729b2-486b-4248-a536-0396b0d910d2","C49656","Treatment Study","Code"
"2023-12-15","http://www.cdisc.org","Code_138","29617e69-edc4-4c62-9476-73450f73c8e6","C49666","Efficacy Study","Code"
"2023-12-15","http://www.cdisc.org","Code_139","3f2fe5c1-bd8d-4ea7-816b-6596a681266d","C49667","Safety Study","Code"
"2023-12-15","http://www.cdisc.org","Code_140","05658dd6-024e-40a1-9ce8-3102999f7911","C49663","Pharmacokinetic Study","Code"
"12","SPONSOR","Code_134","b407dd0f-8e1f-4297-9185-9744fbf171fb","MILD_MOD_ALZ","Mild to Moderate Alzheimer's Disease","Code"
"January 31, 2018","SNOMED","Code_135","f3655d1b-090d-49b7-a20d-9b4395d33f06","26929004","Alzheimer's disease","Code"
"2023-12-15","http://www.cdisc.org","Code_143","3327c3a4-c74a-4f31-b105-6209c861fcb9","C99907x1","EXTENSION","Code"
"2023-12-15","http://www.cdisc.org","Code_144","5b9e100c-467c-4f8e-b6e3-1b790527dae4","C98704","ADAPTIVE","Code"
"2023-12-15","http://www.cdisc.org","Code_141","98995078-ea34-4be0-b504-b43ca25d2134","C82639","Parallel Study","Code"
"2023-12-15","http://www.cdisc.org","Code_83","ed89b249-bad9-4bc8-90fc-ee6ed5392d49","C25716","Visit","Code"
"2023-12-15","http://www.cdisc.org","Code_84","4eab697c-dc80-4ddf-8f5b-516867f5a231","C51282","Clinic","Code"
"2023-12-15","http://www.cdisc.org","Code_85","e5293eb3-7b47-4ef8-a1d4-0afa584615e1","C175574","In Person","Code"
"2023-12-15","http://www.cdisc.org","Code_86","6a9ef1a2-26bf-4dcb-9641-e23c8ab0249b","C25716","Visit","Code"
"2023-12-15","http://www.cdisc.org","Code_87","19300b9f-7733-4b60-8c1c-9abaaa0bbd25","C51282","Clinic","Code"
"2023-12-15","http://www.cdisc.org","Code_88","a93a9bb4-4482-48e2-b723-ef5302873bd9","C175574","In Person","Code"
"2023-12-15","http://www.cdisc.org","Code_89","27230417-0968-4712-9824-a279fb5a088e","C25716","Visit","Code"
"2023-12-15","http://www.cdisc.org","Code_90","9a6f8dc1-f335-49f5-8a58-ead266a99865","C51282","Clinic","Code"
"2023-12-15","http://www.cdisc.org","Code_91","75799db6-7275-4c11-9365-ab954d483ae4","C175574","In Person","Code"
