"name","valueLabel","value","id","uuid:ID","windowUpper","description","windowLower","label","windowLabel","instanceType"
"TIM1","2 weeks","P2W","Timing_1","108f33f7-4a7b-48bb-a861-a19b4ec8c8ae","","Screening timing","","Screening","","Timing"
"TIM2","2 days","P2D","Timing_2","c55e8db0-f154-4ad9-8d04-75e68bb401c6","PT0H","Pre dose timing","PT4H","Pre dose","-4..0 hours","Timing"
"TIM3","1 Day","P1D","Timing_3","bbdd43c4-d7fe-437f-a4d3-f8e6c741398d","","Dosing anchor","","Dosing","","Timing"
"TIM4","2 Weeks","P2W","Timing_4","d794a130-731c-49bb-bf5c-c62ee9fe9ff7","P3D","Week 2 timing","P3D","Week 2","-3..3 days","Timing"
"TIM5","4 Weeks","P4W","Timing_5","d78c7627-dd50-42e4-b69c-81b16bbfa57c","P3D","Week 4 timing","P3D","Week 4","-3..3 days","Timing"
"TIM6","6 Weeks","P6W","Timing_6","db36294d-22ae-4fe6-b17b-de0e9c923fc2","P3D","Week 6 timing","P3D","Week 6","-3..3 days","Timing"
"TIM7","8 Weeks","P8W","Timing_7","7a596d38-833c-4774-83f4-16358ee3fa0c","P3D","Week 8 timing","P3D","Week 8","-3..3 days","Timing"
"TIM9","12 Weeks","P12W","Timing_9","38aaf053-169c-44a5-9210-51014484e4d9","P4D","Week 12 timing","P4D","Week 12","-4..4 days","Timing"
"TIM11","16 Weeks","P16W","Timing_11","bd9f8320-08ea-483d-848e-f6690056bb33","P4D","Week 16 timing","P4D","Week 16","-4..4 days","Timing"
"TIM13","20 Weeks","P20W","Timing_13","9d5e5db6-51cb-47ea-96db-79bff3ff7e2a","P4D","Week 20 timing","P4D","Week 20","-4..4 days","Timing"
"TIM15","24 Weeks","P24W","Timing_15","c4e982b3-4815-41f4-9522-8fbd2f954690","P4D","Week 24 timing","P4D","Week 24","-4..4 days","Timing"
"TIM16","26 Weeks","P26W","Timing_16","c9dcb766-bf3f-435c-b3d6-adcfa380bcac","P3D","Week 26 timing","P3D","Week 26","-3..3 days","Timing"
"TIM8","2 Weeks","P2W","Timing_8","b1019cf9-7535-451e-b811-55d961176c0a","","Week 8 at home timing","","Week 8 Home","","Timing"
"TIM10","2 Weeks","P2W","Timing_10","345245e9-f6bb-4cf2-8cc2-d111e6a1b365","","Week 12 at home timing","","Week 12 Home","","Timing"
"TIM12","2 Weeks","P2W","Timing_12","89d88186-418f-45d9-be09-c21b0e9683a1","","Week 16 at home timing","","Week 16 Home","","Timing"
"TIM14","2 Weeks","P2W","Timing_14","2d76cacf-6e9b-4701-a685-7daa3f207152","","Week 20 at home timing","","Week 20 Home","","Timing"
"TIM17","1 Day","P1D","Timing_17","0ec1ebf0-3616-4ca2-a390-cbe82bedcfe2","","Adverse Event","","Adverse Event","","Timing"
"TIM18","1 Day","P1D","Timing_18","c1897fcc-2e6e-465f-9de2-c57300f85f82","","Early Termination","","Early Termination","","Timing"
"TIM19","0 mins","PT0M","Timing_19","ca83d7c1-92fa-4472-81e3-b4f0cb875860","","Supine","","Supine","","Timing"
"TIM20","5 mins","PT5M","Timing_20","859cefe4-0d9d-4d73-af1b-41472d0e5034","","VS while supine","","VS while supine","","Timing"
"TIM21","0 min","PT0M","Timing_21","6849c49c-cf20-4f23-945d-166a6c1bf647","","Standing","","Standing","","Timing"
"TIM22","1 min","PT1M","Timing_22","a163f1d7-11cb-4461-a3b1-6056a83b1043","","VS while standing","","VS while standing","","Timing"
"TIM23","0 min","PT0M","Timing_23","5f5f5dd3-cc42-45ea-899c-3b71c758f6f7","","Standing","","Standing","","Timing"
"TIM24","2 min","PT2M","Timing_24","e5f5e2f0-e51c-4584-bbcf-80350aa5d76e","","VS while standing","","VS while standing","","Timing"
