"name","id","uuid:ID","text","instanceType"
"ENCOUNTER_START_RULE_1","TransitionRule_1","af2f744a-b023-4d48-9d48-badd4fed601f","Subject identifier","TransitionRule"
"ENCOUNTER_START_RULE_1","TransitionRule_2","6951b82d-998b-4b9e-9745-b0dd3a8e6a5a","completion of screening activities","TransitionRule"
"ENCOUNTER_START_RULE_2","TransitionRule_3","d6503031-4f36-4934-af0c-6fc634667974","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule"
"ENCOUNTER_START_RULE_3","TransitionRule_4","0cdc8cdd-0320-4839-97f8-aa146e19650e","subject has connection of ambulatory ECG machine removed","TransitionRule"
"ENCOUNTER_START_RULE_3","TransitionRule_5","2037475a-49ea-491a-a888-c4d9122400da","Radomized","TransitionRule"
"ENCOUNTER_START_RULE_12","TransitionRule_6","5c189c41-b669-4de1-ac9c-c988769ee824","End of treatment","TransitionRule"
"ELEMENT_START_RULE_1","TransitionRule_7","80f11c82-5e76-4950-bbeb-000193d2c097","Informed consent","TransitionRule"
"ELEMENT_END_RULE_1","TransitionRule_8","27812d4f-4f35-48b2-b16e-bead9817d9c4","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule"
"ELEMENT_START_RULE_2","TransitionRule_9","c57610db-f67f-4769-9ffe-ce0fd324d546","Administration of first dose","TransitionRule"
"ELEMENT_START_RULE_7","TransitionRule_14","abf22cc4-1748-4095-a31e-3dfd6621d646","End of last scheduled visit on study (including early termination)","TransitionRule"
"ELEMENT_END_RULE_7","TransitionRule_15","0b9c9d04-b687-4304-b74a-f29516eea332","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule"
"ELEMENT_START_RULE_3","TransitionRule_10","989178fe-fe81-4bac-8f55-0a8fd9818b26","Administration of first dose","TransitionRule"
"ELEMENT_START_RULE_4","TransitionRule_11","fe96adaa-85e9-4e8a-8da3-cba05f815d49","Randomized","TransitionRule"
"ELEMENT_START_RULE_5","TransitionRule_12","07fd9639-d7b6-430e-8188-e327659ce3da","Administration of first dose (from patches supplied at Visit 4)","TransitionRule"
"ELEMENT_START_RULE_6","TransitionRule_13","ebc612ec-9a94-4836-9426-91d1824e4cff","Administration of first dose (from patches supplied at Visit 12)","TransitionRule"
