"name","id","uuid:ID","description","label","instanceType"
"SCREEN1","ScheduledActivityInstance_9","d76281b0-d916-4723-a022-057595b1c2d2","-","Screen One","ScheduledActivityInstance"
"SCREEN2","ScheduledActivityInstance_10","6e5855e8-2a22-42c2-98d4-3652c64ad47c","-","Screen Two","ScheduledActivityInstance"
"DOSE","ScheduledActivityInstance_11","bc056041-5e9a-4d24-9ede-81fed81d4506","-","Dose","ScheduledActivityInstance"
"WK2","ScheduledActivityInstance_12","2e26500d-11b2-4e9c-b6b7-a7d478374e44","-","Week 2","ScheduledActivityInstance"
"WK4","ScheduledActivityInstance_13","07114441-c7aa-4fd2-9952-df2dd181e558","-","Week 4","ScheduledActivityInstance"
"WK6","ScheduledActivityInstance_14","803902da-f9a3-412f-9039-c638a5e7742b","-","Week 6","ScheduledActivityInstance"
"WK8","ScheduledActivityInstance_15","945c72de-a9ef-402c-b2ca-8dffce110812","-","Week 8","ScheduledActivityInstance"
"WK8N","ScheduledActivityInstance_16","00ce54c1-47b2-4ac5-a120-0c6ff8ae226d","-","Week NPI","ScheduledActivityInstance"
"WK12","ScheduledActivityInstance_17","dee813f5-8a80-4f13-8600-c35392a26f05","-","Week 12","ScheduledActivityInstance"
"WK12N","ScheduledActivityInstance_18","839b5496-d40c-4c26-8d8c-5bd83858210d","-","Week 12 NPI","ScheduledActivityInstance"
"WK16","ScheduledActivityInstance_19","0b982af7-ef34-41eb-8add-4893667b847d","-","Week 16","ScheduledActivityInstance"
"WK16N","ScheduledActivityInstance_20","cf7c0595-75ae-4fd9-abb9-de39014b1be8","-","Week 16 NPI","ScheduledActivityInstance"
"WK20","ScheduledActivityInstance_21","ab4462ba-2571-41c3-aff0-dd546fdf3e4d","-","Week 20","ScheduledActivityInstance"
"WK20N","ScheduledActivityInstance_22","a8de93c1-d705-4395-bd0d-b64790b5f4f2","-","Week 20 NPI","ScheduledActivityInstance"
"WK24","ScheduledActivityInstance_23","6e8c4ae0-58fb-4e96-8825-bc4bc5342a49","-","Week 24","ScheduledActivityInstance"
"WK26","ScheduledActivityInstance_24","b1253847-9cce-4fc7-baba-1e92f3d4f946","-","Week 26","ScheduledActivityInstance"
"AE","ScheduledActivityInstance_1","f5d7f8b9-e983-4310-8326-8790a0993086","-","Adevers Event","ScheduledActivityInstance"
"ET","ScheduledActivityInstance_2","819a186a-5321-4a72-b3af-1ea8e3a6c986","-","Early Termination","ScheduledActivityInstance"
"VS_5MIN","ScheduledActivityInstance_3","80bcb98d-b49d-4d08-af73-9fefcbfbd507","","5 minute supine","ScheduledActivityInstance"
"VS_SUPINE","ScheduledActivityInstance_4","78bface9-716c-4f95-9a57-4e31a20f4a50","","Vital signs supine","ScheduledActivityInstance"
"VS_1MIN","ScheduledActivityInstance_5","debb56c5-f257-4df5-b9d7-1d1927450695","","1 minute standing","ScheduledActivityInstance"
"VS_STAND1","ScheduledActivityInstance_6","c74b44e8-6935-4e21-b176-4fcf9ec12745","","Vital signs after 1 min standing","ScheduledActivityInstance"
"VS_2MIN","ScheduledActivityInstance_7","9b241c8a-9992-468b-93fb-e966824b25ed","","2 minute standing","ScheduledActivityInstance"
"VS_STAND3","ScheduledActivityInstance_8","8feb5af9-4ff0-4fa5-8a85-6d6cb009df65","","Vital signs after 3 min standing","ScheduledActivityInstance"
