"name","reference","synonyms","id","uuid:ID","label","instanceType"
"Informed Consent Obtained","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","['Informed Consent Obtained', 'Informed Consent']","BiomedicalConcept_20","5b731ab4-5e37-457c-a200-95a311b1ea85","Informed Consent Obtained","BiomedicalConcept"
"Sex","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","","BiomedicalConcept_21","66575447-d63b-4dd9-9d79-3c17c5badde9","Sex","BiomedicalConcept"
"Race","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","['Racial Group']","BiomedicalConcept_22","fc22792f-e601-4ce1-ae14-2fd10a590e7a","Race","BiomedicalConcept"
"Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","['Temperature', 'Body Temperature']","BiomedicalConcept_23","cad6104c-4bcc-406b-80b4-4df7ad772faa","Temperature","BiomedicalConcept"
"Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","['Weight', 'Body Weight']","BiomedicalConcept_24","dfd205b1-d6a1-4c08-b61d-97163a96990e","Weight","BiomedicalConcept"
"Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","['Height', 'Body Height']","BiomedicalConcept_25","8f39e21e-2211-41ad-b77a-d8bdd709ac1a","Height","BiomedicalConcept"
"Alanine Aminotransferase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept_26","8b4fd4d2-94c0-4410-9133-64f92187eca3","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept"
"Albumin Presence in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","['Albumin', 'Albumin Measurement']","BiomedicalConcept_27","0796df3b-242a-4d41-b2b1-7c2578ae46a1","Albumin Presence in Urine","BiomedicalConcept"
"Alkaline Phosphatase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept_28","bffe0f6e-5d58-4abe-a554-c9d03f03ca64","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept"
"Aspartate Aminotransferase in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept_29","b1fd6cd9-538e-493d-8ee1-277a2741b15e","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept"
