"name","id","uuid:ID","description","label","instanceType"
"Informed consent","Activity_1","15105625-6eb2-4ec0-8d73-fe581daac074","","Informed consent","Activity"
"Inclusion/exclusion criteria","Activity_2","16b9acb9-e139-42f3-a0f4-27180d21cb9c","","Inclusion and exclusion criteria","Activity"
"Patient number assigned","Activity_3","aa4b2156-2bce-4c8b-9d1a-7c5474a7ebf9","","Patient number assigned","Activity"
"Demographics","Activity_4","64cdca9f-56d5-488a-b8dd-2df5a0e40557","","Demographics","Activity"
"Hachinski","Activity_5","132f678b-dd9c-40a8-90ed-f95f2893c44b","","Hachinski Ischemic Scale","Activity"
"MMSE","Activity_6","4cff5a3e-92b3-4cbc-945f-1cfc0fc21ac9","","MMSE","Activity"
"Physical examination","Activity_7","7de2fae9-010a-460c-a8d6-169cde023c74","","Physical examination","Activity"
"Medical history","Activity_8","fc284ab3-879f-4354-9b5d-bb80b7592530","","Medical history","Activity"
"Habits","Activity_9","6779fc41-3836-48cd-a2e4-148ce4a5e1a5","","Habits","Activity"
"Chest X-ray","Activity_10","02677e1e-f22a-46aa-9772-66b24c3d8d63","","Chest X-ray","Activity"
"Apo E genotyping","Activity_11","d5351639-7729-49d0-b1aa-59d60114aced","","Apo E genotyping","Activity"
"Patient randomised","Activity_12","e0ed9060-97db-4c1e-8de4-7bf636503947","","Patient randomised","Activity"
"Vital signs / Temperature","Activity_13","8f0de1c2-8715-478f-ba89-b44312ef206d","","Vital Signs and Temperature","Activity"
"Ambulatory ECG placed","Activity_14","9e2ed2bf-e1e1-499f-8a11-e57808bcc201","","Ambulatory ECG placed","Activity"
"Ambulatory ECG removed","Activity_15","e07ac74c-f3cf-45fa-b9cb-f121d120b428","","Ambulatory ECG removed","Activity"
"ECG","Activity_16","74bc0c68-f00f-4ea9-99c2-748b1bac96a8","","ECG","Activity"
"Placebo TTS test","Activity_17","8fa9e3bd-c22e-4848-abe0-db3b14f48534","","Placebo TTS test","Activity"
"CT scan","Activity_18","1a1337e9-8aa4-4c66-af55-f87a0cbe7aba","","CT scan","Activity"
"Concomitant medications","Activity_19","f8786dc8-0f35-4bab-859e-df25a5529e19","","Concomitant medications","Activity"
"Hematology","Activity_20","394d61ea-1d9c-4040-8189-847807c2367b","","Hematology","Activity"
"Chemistry","Activity_21","9d78eb55-42e7-4bac-95ac-55813451aff8","","Chemistry","Activity"
"Uninalysis","Activity_22","45bf88ec-2802-472b-ad02-2d94fdf81c17","","Uninalysis","Activity"
"Plasma Specimen (Xanomeline)","Activity_23","0e728612-e493-495d-9266-8793fdbfeca3","","Plasma Specimen (Xanomeline)","Activity"
"Hemoglobin A1C","Activity_24","24bb9f76-b1a1-402d-aa5b-4796c0f56872","","Hemoglobin A1C","Activity"
"Study drug","Activity_25","d6e3e670-3bab-4e2f-a62d-1c81ec49d88a","","Study drug record , Medications dispensed, Medications returned","Activity"
"TTS Acceptability Survey","Activity_26","2cbd7861-d036-4cd4-b900-a9f5f8cdc79c","","TTS Acceptability Survey","Activity"
"ADAS-Cog","Activity_27","28697de7-5228-4469-bb2a-c6695d562663","","ADAS-Cog","Activity"
"CIBIC+","Activity_28","cbf407b7-6202-4594-9f40-58a27c1faef7","","CIBIC+","Activity"
"DAD","Activity_29","d3d26c32-f5f0-42db-9c37-03debe207fd2","","DAD","Activity"
"NPI-X","Activity_30","e1a66721-579a-45cd-a10c-8b19eaa95b5a","","NPI-X","Activity"
"Adverse events","Activity_31","2c488b69-5793-4cc4-bfe8-c99534567fc8","","Adverse events","Activity"
"Check adverse events","Activity_32","c3ddbae3-b701-4bb4-bd98-f7d610514883","","Check adverse events","Activity"
"Supine","Activity_33","f04aaafa-527e-45c1-a351-dc0f3dda41bb","","Subject supine","Activity"
"Vital Signs Supine","Activity_34","f4662dba-ccc8-4ccf-9585-a14d48e7f2d5","","Vital signs while supine","Activity"
"Stand","Activity_35","c23d95eb-db28-447b-8324-f32260b026e8","","Subject Standing","Activity"
"Vital Signs Standing","Activity_36","a630556f-4b1a-46fc-8b54-fe6fdfdbc409","","Vital signs while standing","Activity"
