"text","instanceType","uuid:ID","id","name"
"Subject identifier","TransitionRule","7a5b8d9d-bde2-4b3a-a6f3-b915da8708eb","TransitionRule_1","ENCOUNTER_START_RULE_1"
"completion of screening activities","TransitionRule","ae9dd558-6cc7-4758-bf7d-348f4aa6c23a","TransitionRule_2","ENCOUNTER_START_RULE_1"
"subject leaves clinic after connection of ambulatory ECG machine","TransitionRule","79e863fc-3aec-438c-b4cc-cbdf1bed2b7b","TransitionRule_3","ENCOUNTER_START_RULE_2"
"subject has connection of ambulatory ECG machine removed","TransitionRule","3697f108-5497-4b88-9aef-84d058887400","TransitionRule_4","ENCOUNTER_START_RULE_3"
"Radomized","TransitionRule","ac19d07a-088a-4136-91af-dd593379545a","TransitionRule_5","ENCOUNTER_START_RULE_3"
"End of treatment","TransitionRule","47955e71-fc2d-47e2-aed9-880a971049e2","TransitionRule_6","ENCOUNTER_START_RULE_12"
"Informed consent","TransitionRule","b55de34f-0fe4-4423-902c-eb1518e2df7a","TransitionRule_7","ELEMENT_START_RULE_1"
"Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule","701ad63a-0b75-4519-9f8e-1d091f3fe0bd","TransitionRule_8","ELEMENT_END_RULE_1"
"Administration of first dose","TransitionRule","280c5b7b-9c24-4de4-a34e-63ed403c5360","TransitionRule_9","ELEMENT_START_RULE_2"
"End of last scheduled visit on study (including early termination)","TransitionRule","71c64bcc-8585-40fb-a713-df2921851b94","TransitionRule_14","ELEMENT_START_RULE_7"
"Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule","bd412991-0d1f-4de4-9be4-a1c8e01b4127","TransitionRule_15","ELEMENT_END_RULE_7"
"Administration of first dose","TransitionRule","e05d9c00-c4cb-4b92-9f5b-467d3a5d534a","TransitionRule_10","ELEMENT_START_RULE_3"
"Randomized","TransitionRule","d1362666-3257-41ba-9f5b-bcffc915591b","TransitionRule_11","ELEMENT_START_RULE_4"
"Administration of first dose (from patches supplied at Visit 4)","TransitionRule","1adc7d48-7f95-4d93-ab7e-9aa614488e95","TransitionRule_12","ELEMENT_START_RULE_5"
"Administration of first dose (from patches supplied at Visit 12)","TransitionRule","1a829ad5-393f-472d-82f1-f8a1b5f73af5","TransitionRule_13","ELEMENT_START_RULE_6"
