"label","instanceType","uuid:ID","id","description","name"
"Screening 1","Encounter","5234357c-7474-43eb-a6f8-3a2c6db6795e","Encounter_1","Screening encounter","E1"
"Screening 2","Encounter","1236ed81-13d7-4b20-96d1-53bb6ea52be3","Encounter_2","Screening encounter - Ambulatory ECG Placement","E2"
"Baseline","Encounter","dc911dbf-c1bb-4884-9190-dc7e5c26439b","Encounter_3","Baseline encounter - Ambulatory ECG Removal","E3"
"Week 2","Encounter","a0bb74fb-d41e-4c57-8840-b55b14abe6f7","Encounter_4","Day 14","E4"
"Week 4","Encounter","8c10f498-13e9-4c9c-9cc5-9e5a6135694e","Encounter_5","Day 28","E5"
"Week 6","Encounter","499ce456-30e0-45aa-abc5-3989224cd0f5","Encounter_6","Day 42","E7"
"Week 8","Encounter","54bb6418-c2af-429d-a0c3-0df68cde4be2","Encounter_7","Day 56","E8"
"Week 12","Encounter","9bf7a312-feb3-453e-9190-f1bdcad0c461","Encounter_8","Day 84","E9"
"Week 16","Encounter","f8dda92f-9224-471f-beec-74c9f77d239e","Encounter_9","Day 112","E10"
"Week 20","Encounter","8364e29f-15b5-470a-ba23-688a8743aa84","Encounter_10","Day 140","E11"
"Week 24","Encounter","a6e89080-6df3-4d19-82d1-bf08388ad2f0","Encounter_11","Day 168","E12"
"Week 26","Encounter","37f87ae2-1997-4b1e-9f55-0f165edf1923","Encounter_12","Day 182","E13"
