"label","instanceType","uuid:ID","id","description","name"
"Informed consent","Activity","8a33839a-307c-4070-82a4-b066e20de65c","Activity_1","","Informed consent"
"Inclusion and exclusion criteria","Activity","60d624b2-d004-450e-96f2-2b699d045a23","Activity_2","","Inclusion/exclusion criteria"
"Patient number assigned","Activity","684bfecd-eedf-4232-8a9e-37270b08ecd1","Activity_3","","Patient number assigned"
"Demographics","Activity","11cedc4b-d681-4a1c-bf03-e09beca232c1","Activity_4","","Demographics"
"Hachinski Ischemic Scale","Activity","e83482d5-18e9-4de3-a553-5bdb9d67ca88","Activity_5","","Hachinski"
"MMSE","Activity","4c89fb65-856c-40b0-bc69-809b52a04d26","Activity_6","","MMSE"
"Physical examination","Activity","db661dee-e4f3-4926-ab71-0c8257219dc4","Activity_7","","Physical examination"
"Medical history","Activity","d1e12e61-9219-4c1c-b8be-8f46f87cf5c0","Activity_8","","Medical history"
"Habits","Activity","6b9a4a86-995f-4687-b68a-6bafb2d21aaa","Activity_9","","Habits"
"Chest X-ray","Activity","f3f250ad-5492-4a7b-9bdd-4d737dacd200","Activity_10","","Chest X-ray"
"Apo E genotyping","Activity","2395dbbf-eb34-4cdc-88a9-6dc3b9f24a3b","Activity_11","","Apo E genotyping"
"Patient randomised","Activity","4a00bbce-9409-41fd-9c04-ecfd47cdb352","Activity_12","","Patient randomised"
"Vital Signs and Temperature","Activity","877f06e3-cb28-4e08-a1c9-61018e384197","Activity_13","","Vital signs / Temperature"
"Ambulatory ECG placed","Activity","545108e4-4e78-41cb-a3d0-339afca7ab52","Activity_14","","Ambulatory ECG placed"
"Ambulatory ECG removed","Activity","0bd43aa9-4eea-4331-a306-d8064935801d","Activity_15","","Ambulatory ECG removed"
"ECG","Activity","c64bec8a-b35b-43c3-a882-59bb77b57e89","Activity_16","","ECG"
"Placebo TTS test","Activity","afcdb8e3-e977-4649-bc3f-cb8c57e9265f","Activity_17","","Placebo TTS test"
"CT scan","Activity","7ba0ee65-5d64-40b8-92b2-20d1ad200ddd","Activity_18","","CT scan"
"Concomitant medications","Activity","480bb2db-4926-4381-b52b-306ca28cdd28","Activity_19","","Concomitant medications"
"Hematology","Activity","33540793-2e5e-4604-a705-85dc2b5fafe5","Activity_20","","Hematology"
"Chemistry","Activity","26847d43-1fba-4fb4-aacb-f3aa50eaaaa0","Activity_21","","Chemistry"
"Uninalysis","Activity","1fd7ed9a-a407-4eb4-abeb-ff274d695317","Activity_22","","Uninalysis"
"Plasma Specimen (Xanomeline)","Activity","f122cb3f-f4ff-4dc9-84ee-afdc0b1ba344","Activity_23","","Plasma Specimen (Xanomeline)"
"Hemoglobin A1C","Activity","c80ab8fc-e734-4334-862f-210053297bb4","Activity_24","","Hemoglobin A1C"
"Study drug record , Medications dispensed, Medications returned","Activity","ce6f6ed7-c689-4a4d-9b0f-6ac88fc03521","Activity_25","","Study drug"
"TTS Acceptability Survey","Activity","4418d14e-359c-4967-be0b-8df1be5754c5","Activity_26","","TTS Acceptability Survey"
"ADAS-Cog","Activity","b4d2c87e-caf7-4225-ba55-ff7a85c931d2","Activity_27","","ADAS-Cog"
"CIBIC+","Activity","f262ac83-207a-4d4f-86f5-4e69d2921890","Activity_28","","CIBIC+"
"DAD","Activity","ab74fdd5-b06b-494b-ac0c-f2a861c387f8","Activity_29","","DAD"
"NPI-X","Activity","de978574-4683-48ad-884c-36d6472c947a","Activity_30","","NPI-X"
"Adverse events","Activity","207cd4a2-b4fa-4815-b58f-229e403e8839","Activity_31","","Adverse events"
"Check adverse events","Activity","314716d9-8f4b-404b-9925-909d13900030","Activity_32","","Check adverse events"
"Subject supine","Activity","19287b94-6dcc-4ba8-8096-090e0f1a526d","Activity_33","","Supine"
"Vital signs while supine","Activity","fc3a32d9-0cb3-4a91-b3d8-e40a93a96d67","Activity_34","","Vital Signs Supine"
"Subject Standing","Activity","fcd575b7-d866-4baf-83f1-bfb0006a4e18","Activity_35","","Stand"
"Vital signs while standing","Activity","120178e0-94e5-4838-b468-301d7166973a","Activity_36","","Vital Signs Standing"
