"decode","instanceType","uuid:ID","id","codeSystem","code","codeSystemVersion"
"Interventional Study","Code","834f8b37-e46a-4b7d-be71-8b322e5d7443","Code_1","http://www.cdisc.org","C98388","2023-12-15"
"Phase II Trial","Code","4fa4d350-7169-42e8-a607-81b5f93fabab","Code_2","http://www.cdisc.org","C15601","2023-12-15"
"Sponsor Approval Date","Code","c087e9c8-746b-4966-a108-1a4a13e38f61","Code_9","http://www.cdisc.org","C132352","2023-12-15"
"Global","Code","088c3431-1f85-4066-bb29-f08acf0ba43b","Code_10","http://www.cdisc.org","C68846","2023-12-15"
"IRB/IEC Feedback","Code","202ac603-6a9b-417f-9e5e-e8e3ceae6316","Code_72","http://www.cdisc.org","C99904x3","2023-12-15"
"Other","Code","4579ee98-bb6b-4108-93f9-45bef5676efa","Code_73","http://www.cdisc.org","C17649","2023-12-15"
"Region","Code","57558fb4-dcd5-493d-979e-365a65e72da6","Code_75","http://www.cdisc.org","C41129","2023-12-15"
"Europe","Code","c1c78be7-95f7-4d17-aa76-8d5df7acbf88","Code_74","ISO 3166 1 alpha3","150","2020-08"
"Eli Lilly","Code","7767ce91-d296-4135-9fb6-b1f3d125e799","Code_4","SPONSOR","PHARMA","12"
"Clinical Study Sponsor","Code","b9ad025f-900b-473b-80dc-8402a49c84f7","Code_76","http://www.cdisc.org","C70793","2023-12-15"
"United States of America","Code","294d344a-f77c-4d37-9f33-a23f750aa94b","Code_77","ISO 3166 1 alpha3","USA","2020-08"
"Study Registry","Code","ce26f5d1-041d-434a-a6f8-d7e77b6ba203","Code_78","http://www.cdisc.org","C93453","2023-12-15"
"United States of America","Code","c8c42289-a5a9-4567-a724-457241c33ace","Code_79","ISO 3166 1 alpha3","USA","2020-08"
"Treatment Study","Code","3ea16992-ffd0-4de9-9b93-1e45c99c6b54","Code_137","http://www.cdisc.org","C49656","2023-12-15"
"Efficacy Study","Code","0e0587a4-225f-4029-997c-f9295b1798dd","Code_138","http://www.cdisc.org","C49666","2023-12-15"
"Safety Study","Code","b445e2f3-fa9e-4100-b85b-d26fdd99741a","Code_139","http://www.cdisc.org","C49667","2023-12-15"
"Pharmacokinetic Study","Code","35d0f80b-bb59-478d-b319-55c782f34253","Code_140","http://www.cdisc.org","C49663","2023-12-15"
"Mild to Moderate Alzheimer's Disease","Code","dd533d3c-9299-4083-9e7d-4ff4b6047e7a","Code_134","SPONSOR","MILD_MOD_ALZ","12"
"Alzheimer's disease","Code","a14c64e2-fc40-4d4d-a9be-d8cfffeef561","Code_135","SNOMED","26929004","January 31, 2018"
"EXTENSION","Code","04103640-d0a4-4703-879c-245cd3112223","Code_143","http://www.cdisc.org","C99907x1","2023-12-15"
"ADAPTIVE","Code","a02f3501-e2ea-4b05-bd06-9dde0d1690f8","Code_144","http://www.cdisc.org","C98704","2023-12-15"
"Parallel Study","Code","5e98d508-ea03-46c3-9f5d-c3e4e5637411","Code_141","http://www.cdisc.org","C82639","2023-12-15"
"Visit","Code","7a3de1f9-39ef-4491-8131-91f0c828af37","Code_83","http://www.cdisc.org","C25716","2023-12-15"
"Clinic","Code","375e07cb-1c77-4523-9b7d-366d1d71ae67","Code_84","http://www.cdisc.org","C51282","2023-12-15"
"In Person","Code","bfe698b2-2085-4305-988b-b11efc4187b9","Code_85","http://www.cdisc.org","C175574","2023-12-15"
"Visit","Code","10293f4e-6dad-4acc-af92-f9a7412d0ce0","Code_86","http://www.cdisc.org","C25716","2023-12-15"
"Clinic","Code","04068b19-64a6-46a4-8d76-197ed411bf12","Code_87","http://www.cdisc.org","C51282","2023-12-15"
"In Person","Code","ae97c4d2-fef6-4445-ac21-9116405f451f","Code_88","http://www.cdisc.org","C175574","2023-12-15"
"Visit","Code","c1fd774b-2e39-4ce6-8ab5-b953723f7aa1","Code_89","http://www.cdisc.org","C25716","2023-12-15"
"Clinic","Code","6cf4de9a-8898-46e4-b495-827312b04811","Code_90","http://www.cdisc.org","C51282","2023-12-15"
"In Person","Code","137b9605-8e21-49ae-9cad-7e4525adb2f5","Code_91","http://www.cdisc.org","C175574","2023-12-15"
"Visit","Code","608c9f00-128e-497a-b056-4d817a629716","Code_92","http://www.cdisc.org","C25716","2023-12-15"
"Clinic","Code","d0ce10ec-8d28-46a1-a394-fbc85c1592cf","Code_93","http://www.cdisc.org","C51282","2023-12-15"
"In Person","Code","a3f5418c-96a4-403d-9342-20b8d7c27974","Code_94","http://www.cdisc.org","C175574","2023-12-15"
"Visit","Code","d2634c71-8f44-4472-bc43-bab8966248a0","Code_95","http://www.cdisc.org","C25716","2023-12-15"
"Clinic","Code","66aec1e8-3a46-4f3b-b3c8-29d882497d5c","Code_96","http://www.cdisc.org","C51282","2023-12-15"
