"label","instanceType","uuid:ID","id","description","name"
"Screen One","ScheduledActivityInstance","68892da9-a62e-408d-b58b-e6cfe21988dc","ScheduledActivityInstance_9","-","SCREEN1"
"Screen Two","ScheduledActivityInstance","a4f6bd94-b505-41d2-9e4e-831bba75625c","ScheduledActivityInstance_10","-","SCREEN2"
"Dose","ScheduledActivityInstance","e8a8edea-8872-4f30-ad94-bdc7df42595e","ScheduledActivityInstance_11","-","DOSE"
"Week 2","ScheduledActivityInstance","9151baa8-cebd-4350-b379-c325d652acaa","ScheduledActivityInstance_12","-","WK2"
"Week 4","ScheduledActivityInstance","dccc0c35-1cf4-4c00-9b66-463f27bae2eb","ScheduledActivityInstance_13","-","WK4"
"Week 6","ScheduledActivityInstance","716cf98a-bf3a-401e-8f9e-5d7078fa8425","ScheduledActivityInstance_14","-","WK6"
"Week 8","ScheduledActivityInstance","e0105dc9-5a1d-4400-a7d1-526a81f5dc4d","ScheduledActivityInstance_15","-","WK8"
"Week NPI","ScheduledActivityInstance","37653779-5107-432c-83c0-43fe77b223ea","ScheduledActivityInstance_16","-","WK8N"
"Week 12","ScheduledActivityInstance","36bf0072-cb2e-417b-aca4-bb6ae2c45adf","ScheduledActivityInstance_17","-","WK12"
"Week 12 NPI","ScheduledActivityInstance","927aa875-abef-43f7-9dd2-652c708db332","ScheduledActivityInstance_18","-","WK12N"
"Week 16","ScheduledActivityInstance","b03b60db-ba2d-4826-9912-6dc711a9fce5","ScheduledActivityInstance_19","-","WK16"
"Week 16 NPI","ScheduledActivityInstance","212322ea-1179-43c7-924f-5fcd94f49fd9","ScheduledActivityInstance_20","-","WK16N"
"Week 20","ScheduledActivityInstance","2ba4d055-aec9-4192-bac7-1c990c4145f9","ScheduledActivityInstance_21","-","WK20"
"Week 20 NPI","ScheduledActivityInstance","534b2ccd-25dc-4666-bced-6baef47d25c8","ScheduledActivityInstance_22","-","WK20N"
"Week 24","ScheduledActivityInstance","ce00acf1-194a-4ae3-a393-114aecffb6c7","ScheduledActivityInstance_23","-","WK24"
"Week 26","ScheduledActivityInstance","e5230238-d03e-4d28-9553-a35aad90405f","ScheduledActivityInstance_24","-","WK26"
"Adevers Event","ScheduledActivityInstance","6269424c-0bee-4ad0-9d30-591fe6a6ff4e","ScheduledActivityInstance_1","-","AE"
"Early Termination","ScheduledActivityInstance","3ee1cd7c-23bd-4b2e-acb0-b8cd97856bc0","ScheduledActivityInstance_2","-","ET"
"5 minute supine","ScheduledActivityInstance","f984c468-b1a0-47a9-a7be-7a0444492696","ScheduledActivityInstance_3","","VS_5MIN"
"Vital signs supine","ScheduledActivityInstance","657ad1e6-f1bd-430a-86b0-51d2fc28becf","ScheduledActivityInstance_4","","VS_SUPINE"
"1 minute standing","ScheduledActivityInstance","f1ebd5a9-f23c-45c0-9114-75f04e1bc13a","ScheduledActivityInstance_5","","VS_1MIN"
"Vital signs after 1 min standing","ScheduledActivityInstance","f5c05b81-ffee-4284-9bec-0f495ce3c124","ScheduledActivityInstance_6","","VS_STAND1"
"2 minute standing","ScheduledActivityInstance","7a6d4331-c755-4419-a813-e79e17ed0da4","ScheduledActivityInstance_7","","VS_2MIN"
"Vital signs after 3 min standing","ScheduledActivityInstance","00e92842-0568-4ede-8b29-e47c7d9b1bc6","ScheduledActivityInstance_8","","VS_STAND3"
