"label","instanceType","uuid:ID","id","synonyms","reference","name"
"Informed Consent Obtained","BiomedicalConcept","9a038493-14c0-47a4-874e-50924a6bf7f3","BiomedicalConcept_20","['Informed Consent Obtained', 'Informed Consent']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","Informed Consent Obtained"
"Sex","BiomedicalConcept","b287ee8c-c55a-424c-a80c-523d82ec0c4d","BiomedicalConcept_21","","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","Sex"
"Race","BiomedicalConcept","cefce55e-7da4-456c-9b3e-e3a2c322bb6a","BiomedicalConcept_22","['Racial Group']","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","Race"
"Temperature","BiomedicalConcept","2b34118f-12ae-4c4e-912c-f58a46bed53a","BiomedicalConcept_23","['Temperature', 'Body Temperature']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","Temperature"
"Weight","BiomedicalConcept","89350e9c-726a-44cb-b9b8-f54f93ddbb79","BiomedicalConcept_24","['Weight', 'Body Weight']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","Weight"
"Height","BiomedicalConcept","49230e9a-0724-45b3-92b8-7a7fa7f61e4e","BiomedicalConcept_25","['Height', 'Body Height']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","Height"
"Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept","e28b05a9-dcb8-4655-8549-7915ac9516b6","BiomedicalConcept_26","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","Alanine Aminotransferase Concentration in Serum/Plasma"
"Albumin Presence in Urine","BiomedicalConcept","2b98ebef-2731-4fe0-9798-ecfd7d351ec4","BiomedicalConcept_27","['Albumin', 'Albumin Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","Albumin Presence in Urine"
"Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept","1412997e-64db-4718-b088-4a46256611d1","BiomedicalConcept_28","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","Alkaline Phosphatase Concentration in Serum/Plasma"
"Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept","ac4a7cd7-19f7-4f55-88a5-c98f225a6205","BiomedicalConcept_29","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","Aspartate Aminotransferase in Serum/Plasma"
"Creatinine Concentration in Urine","BiomedicalConcept","bd2601d1-13e2-427d-a96e-27e94b25f432","BiomedicalConcept_30","['Creatinine', 'Creatinine Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","Creatinine Concentration in Urine"
"Potassium Concentration in Urine","BiomedicalConcept","2cf69e6e-8b7f-4b74-be02-2cf2d781b51c","BiomedicalConcept_31","['Potassium', 'K', 'Potassium Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","Potassium Concentration in Urine"
"Sodium Concentration in Urine","BiomedicalConcept","cbf58e33-96d9-49c1-94a1-4611f738f9dc","BiomedicalConcept_32","['Sodium', 'NA', 'Sodium Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","Sodium Concentration in Urine"
"Hemoglobin A1C Concentration in Blood","BiomedicalConcept","38c72185-27b1-4e69-b364-b3553174f5db","BiomedicalConcept_33","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","Hemoglobin A1C Concentration in Blood"
"Adverse Event Prespecified","BiomedicalConcept","cf604668-f6da-45b7-a658-533c79721ace","BiomedicalConcept_1","['Adverse Event', 'Solicited Adverse Event']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","Adverse Event Prespecified"
"Systolic Blood Pressure","BiomedicalConcept","ae5efebf-caf1-4cd4-9729-cc9a23327d4f","BiomedicalConcept_2","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure"
"Diastolic Blood Pressure","BiomedicalConcept","2c01d031-0b9f-4b8e-b4ec-ab892a6c0987","BiomedicalConcept_3","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure"
"Temperature","BiomedicalConcept","d2338252-b6b7-480d-bd40-dbee92aa275b","BiomedicalConcept_4","['Temperature', 'Body Temperature']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","Temperature"
"Weight","BiomedicalConcept","94e74f72-5034-4bd1-b28c-91487640cac7","BiomedicalConcept_5","['Weight', 'Body Weight']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","Weight"
"Height","BiomedicalConcept","8209fe39-cb8b-4656-922b-6973534f75f4","BiomedicalConcept_6","['Height', 'Body Height']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","Height"
"Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept","c541d2a9-e51b-4268-8ed3-df8384e2b4f8","BiomedicalConcept_7","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","Alanine Aminotransferase Concentration in Serum/Plasma"
"Albumin Presence in Urine","BiomedicalConcept","f12e9f14-a2e9-4d9b-8902-4e149734b039","BiomedicalConcept_8","['Albumin', 'Albumin Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","Albumin Presence in Urine"
