"decode","instanceType","uuid:ID","id","codeSystem","code","codeSystemVersion"
"Interventional Study","Code","c13e094e-6b57-47f7-9d57-a2c9239971a1","Code_1","http://www.cdisc.org","C98388","2023-12-15"
"Phase II Trial","Code","8cf7e19d-ed7b-40d6-96fd-ed7cb8c0ce9e","Code_2","http://www.cdisc.org","C15601","2023-12-15"
"Sponsor Approval Date","Code","4b2cccd8-19dc-4e5c-8cba-59caf3def6f5","Code_9","http://www.cdisc.org","C132352","2023-12-15"
"Global","Code","27fdbf86-87a2-48d2-8852-f5ac2b9e1e82","Code_10","http://www.cdisc.org","C68846","2023-12-15"
"IRB/IEC Feedback","Code","2f0854fa-6567-4738-860c-7e18813e14e6","Code_72","http://www.cdisc.org","C99904x3","2023-12-15"
"Other","Code","11c1c39f-c7f3-4256-b4d0-39ae237ddb66","Code_73","http://www.cdisc.org","C17649","2023-12-15"
"Region","Code","8d0f9a1d-da7e-419e-b46b-915c8a511b1a","Code_75","http://www.cdisc.org","C41129","2023-12-15"
"Europe","Code","52dc2b2b-a8b7-4da4-b009-bd58c8de0958","Code_74","ISO 3166 1 alpha3","150","2020-08"
"Eli Lilly","Code","47e36998-8023-4a08-bfe6-259f384915f6","Code_4","SPONSOR","PHARMA","12"
"Clinical Study Sponsor","Code","80b8c12b-6eca-4b0a-bd14-0467499d5a7e","Code_76","http://www.cdisc.org","C70793","2023-12-15"
"United States of America","Code","7b53c2dd-dcd8-432a-b640-83cc52286803","Code_77","ISO 3166 1 alpha3","USA","2020-08"
"Study Registry","Code","17247ec7-fbbe-41ee-9b7b-5b09dfbad1b3","Code_78","http://www.cdisc.org","C93453","2023-12-15"
"United States of America","Code","e09bf246-4b67-4956-bad6-750bd499c46c","Code_79","ISO 3166 1 alpha3","USA","2020-08"
"Treatment Study","Code","7caa84d9-823f-4042-81f2-1dacd4177d30","Code_137","http://www.cdisc.org","C49656","2023-12-15"
"Efficacy Study","Code","76eab109-7911-4aa5-8581-32f33f7cd590","Code_138","http://www.cdisc.org","C49666","2023-12-15"
"Safety Study","Code","b266b918-1e9d-4e25-a620-0864b26b8e93","Code_139","http://www.cdisc.org","C49667","2023-12-15"
"Pharmacokinetic Study","Code","9d7be353-f773-45a2-8e56-43d67007355c","Code_140","http://www.cdisc.org","C49663","2023-12-15"
"Mild to Moderate Alzheimer's Disease","Code","5902ffa7-f22b-4f76-b7af-a3241a55b561","Code_134","SPONSOR","MILD_MOD_ALZ","12"
"Alzheimer's disease","Code","ad3d5a8f-c357-4ed6-805c-f3f1f7f57c84","Code_135","SNOMED","26929004","January 31, 2018"
