"label","windowLower","instanceType","uuid:ID","id","windowUpper","value","description","valueLabel","windowLabel","name"
"Screening","","Timing","c3934470-3a36-4fee-83c1-986a1252981a","Timing_1","","P2W","Screening timing","2 weeks","","TIM1"
"Pre dose","PT4H","Timing","fd99cb42-6115-4e54-99e0-63a5b699cfb4","Timing_2","PT0H","P2D","Pre dose timing","2 days","-4..0 hours","TIM2"
"Dosing","","Timing","e64e26ea-be16-4c40-8262-935a4a84341d","Timing_3","","P1D","Dosing anchor","1 Day","","TIM3"
"Week 2","P3D","Timing","acfd36ad-5a5e-4048-9ca3-4cf54c07d09b","Timing_4","P3D","P2W","Week 2 timing","2 Weeks","-3..3 days","TIM4"
"Week 4","P3D","Timing","220811ce-f564-43d8-9c25-b5bd794dce0e","Timing_5","P3D","P4W","Week 4 timing","4 Weeks","-3..3 days","TIM5"
"Week 6","P3D","Timing","7e7ac0df-d7f5-434f-8a8f-06211788dfd1","Timing_6","P3D","P6W","Week 6 timing","6 Weeks","-3..3 days","TIM6"
"Week 8","P3D","Timing","cdf4fa1e-3fa5-489e-b65c-ef9bf360c7b9","Timing_7","P3D","P8W","Week 8 timing","8 Weeks","-3..3 days","TIM7"
"Week 12","P4D","Timing","26fa7ce0-fdd7-46bb-bd04-138b7c93f31d","Timing_9","P4D","P12W","Week 12 timing","12 Weeks","-4..4 days","TIM9"
"Week 16","P4D","Timing","2ab0d9a3-a363-4df9-9041-4b7699fa69da","Timing_11","P4D","P16W","Week 16 timing","16 Weeks","-4..4 days","TIM11"
"Week 20","P4D","Timing","d6050b2b-fa27-44d8-a9f1-77e7ede46629","Timing_13","P4D","P20W","Week 20 timing","20 Weeks","-4..4 days","TIM13"
"Week 24","P4D","Timing","ef838f98-db17-45cf-9d7e-8deb807d3873","Timing_15","P4D","P24W","Week 24 timing","24 Weeks","-4..4 days","TIM15"
"Week 26","P3D","Timing","a48889eb-778e-4785-8da8-27a1c4e5c206","Timing_16","P3D","P26W","Week 26 timing","26 Weeks","-3..3 days","TIM16"
"Week 8 Home","","Timing","ee3dd1fc-5a02-49fa-9b9e-0a7afd37921c","Timing_8","","P2W","Week 8 at home timing","2 Weeks","","TIM8"
"Week 12 Home","","Timing","f8d7c1ef-fefa-4462-82bd-ebb4011d1844","Timing_10","","P2W","Week 12 at home timing","2 Weeks","","TIM10"
"Week 16 Home","","Timing","0662bc1e-2a63-454f-bff6-dcff0d36df95","Timing_12","","P2W","Week 16 at home timing","2 Weeks","","TIM12"
"Week 20 Home","","Timing","13972a92-71b2-43d3-b3a3-2efc8607d631","Timing_14","","P2W","Week 20 at home timing","2 Weeks","","TIM14"
"Adverse Event","","Timing","e1175293-cc38-45ee-a8a7-5bbbb48a8ae4","Timing_17","","P1D","Adverse Event","1 Day","","TIM17"
"Early Termination","","Timing","8827c0f5-296f-48e6-a004-99dccff54769","Timing_18","","P1D","Early Termination","1 Day","","TIM18"
"Supine","","Timing","702905bb-daf9-43dc-bed8-6f22731c41c6","Timing_19","","PT0M","Supine","0 mins","","TIM19"
"VS while supine","","Timing","e85ce215-1c3c-4cf8-8ce2-6cb209565821","Timing_20","","PT5M","VS while supine","5 mins","","TIM20"
"Standing","","Timing","87aa979b-6783-4623-9ca4-d219071d7a83","Timing_21","","PT0M","Standing","0 min","","TIM21"
"VS while standing","","Timing","775d60d6-fa5a-4b3b-831c-6f0fda694c3b","Timing_22","","PT1M","VS while standing","1 min","","TIM22"
"Standing","","Timing","5a00de90-838b-452c-9a52-08f6659cc8c1","Timing_23","","PT0M","Standing","0 min","","TIM23"
"VS while standing","","Timing","8b3a1b1a-51ff-44f2-b4d0-c2fc6ddf432b","Timing_24","","PT2M","VS while standing","2 min","","TIM24"
