"text","label","instanceType","uuid:ID","id","purpose","description","name"
"Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","","Endpoint","98309ca0-7c0c-4fb3-9354-089737b35e51","Endpoint_1","","","END1"
"Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","","Endpoint","539e17fb-1168-457b-8e0c-7550d96296f1","Endpoint_2","","","END2"
"Adverse events","","Endpoint","a981d534-2f0d-4f19-8692-0f6a51917106","Endpoint_3","","","END3"
"Vital signs (weight, standing and supine blood pressure, heart rate)","","Endpoint","065656a4-bc58-4cdf-b44f-bd0da4926457","Endpoint_4","","","END4"
"Laboratory evaluations (Change from Baseline)","","Endpoint","25f7895d-a92e-4593-8bea-8e50bee9046f","Endpoint_5","","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","END5"
"Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","","Endpoint","c0d0d25e-c201-4740-b7ce-fa2ffdeea9b3","Endpoint_6","","","END6"
"Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","","Endpoint","8ef39535-4c31-4816-bd65-6a6f03a9338c","Endpoint_7","","","END7"
"Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","","Endpoint","e9e3dbc3-6fc5-49aa-83de-9938736ca989","Endpoint_8","","","END8"
"*** To be determined from protocol ***","","Endpoint","561390be-abf6-4411-80a9-7b000b6fa610","Endpoint_9","","","END9"
"*** To be determined from protocol ***","","Endpoint","1f67a4a8-15e7-4eb1-a67c-659081da8bdc","Endpoint_10","","","END10"
"*** To be determined from protocol ***","","Endpoint","fd0e6031-1c1e-4904-a8a0-0e37ac0c5f0c","Endpoint_11","","","END11"
