"uuid:ID","instanceType","name","description","id","label"
"c3099912-be13-46fa-a309-55a6f72761b6","ScheduledActivityInstance","SCREEN1","-","ScheduledActivityInstance_9","Screen One"
"0af24efa-a8f0-4059-b84e-d22b0452e01b","ScheduledActivityInstance","SCREEN2","-","ScheduledActivityInstance_10","Screen Two"
"74bd3e6c-7507-4cf4-a2f5-481b5942a382","ScheduledActivityInstance","DOSE","-","ScheduledActivityInstance_11","Dose"
"080dac48-b294-4999-bd0c-202bee5294da","ScheduledActivityInstance","WK2","-","ScheduledActivityInstance_12","Week 2"
"01205b9d-1534-4b22-89c9-8f84547fdedb","ScheduledActivityInstance","WK4","-","ScheduledActivityInstance_13","Week 4"
"9da3067a-ed3d-4dd0-be01-f05353bf0dd0","ScheduledActivityInstance","WK6","-","ScheduledActivityInstance_14","Week 6"
"c3e28e9e-c4bf-4537-aec6-c7df21de641e","ScheduledActivityInstance","WK8","-","ScheduledActivityInstance_15","Week 8"
"6d1f901c-169b-44dd-87ef-71ac823a10e3","ScheduledActivityInstance","WK8N","-","ScheduledActivityInstance_16","Week NPI"
"c2dd5d83-860b-4c62-8e7c-aaac8f1aa805","ScheduledActivityInstance","WK12","-","ScheduledActivityInstance_17","Week 12"
"9a3163af-71c9-4b2a-8397-be6509b7bb92","ScheduledActivityInstance","WK12N","-","ScheduledActivityInstance_18","Week 12 NPI"
"627c97d6-045e-48a6-9834-f53f69f945ce","ScheduledActivityInstance","WK16","-","ScheduledActivityInstance_19","Week 16"
"6a6e95e4-5e6d-4f4e-af23-dfb88e3c2b1a","ScheduledActivityInstance","WK16N","-","ScheduledActivityInstance_20","Week 16 NPI"
"39e3b3a0-fd8a-462c-8c84-1583efb2f981","ScheduledActivityInstance","WK20","-","ScheduledActivityInstance_21","Week 20"
"5e936fb9-75e4-4fd4-a9df-966ccf15e8fe","ScheduledActivityInstance","WK20N","-","ScheduledActivityInstance_22","Week 20 NPI"
"18da6519-1a23-4b76-b205-8dd9388df832","ScheduledActivityInstance","WK24","-","ScheduledActivityInstance_23","Week 24"
"7c0d2a4d-14a2-4b05-a015-234a1d4c8afe","ScheduledActivityInstance","WK26","-","ScheduledActivityInstance_24","Week 26"
"648cb351-c2ea-49fa-a9ee-e27f6bb1b686","ScheduledActivityInstance","AE","-","ScheduledActivityInstance_1","Adevers Event"
"e4bed4e6-c7d7-43b5-93dd-54f94c77ce61","ScheduledActivityInstance","ET","-","ScheduledActivityInstance_2","Early Termination"
"8bf3f86e-2e71-4900-aaef-3cbf3ad93fe8","ScheduledActivityInstance","VS_5MIN","","ScheduledActivityInstance_3","5 minute supine"
"34c42702-df6b-4b9a-9c5a-7f80b92bb912","ScheduledActivityInstance","VS_SUPINE","","ScheduledActivityInstance_4","Vital signs supine"
"43d485c6-4df9-413f-8a22-4de821f251ac","ScheduledActivityInstance","VS_1MIN","","ScheduledActivityInstance_5","1 minute standing"
"a126e652-b0cd-462b-aeb1-89b4434de08f","ScheduledActivityInstance","VS_STAND1","","ScheduledActivityInstance_6","Vital signs after 1 min standing"
"426e579e-3aa0-4845-842d-424467ce80a3","ScheduledActivityInstance","VS_2MIN","","ScheduledActivityInstance_7","2 minute standing"
"6887b130-05a6-439f-ad36-0ec8d865da9b","ScheduledActivityInstance","VS_STAND3","","ScheduledActivityInstance_8","Vital signs after 3 min standing"
