"uuid:ID","instanceType","name","description","text","id","purpose","label"
"2864a03d-1fa7-4eb6-a7a6-b93852843f43","Endpoint","END1","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","Endpoint_1","",""
"c56c6a90-6cf1-4f68-868d-ff97b6052534","Endpoint","END2","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","Endpoint_2","",""
"c4f6be0d-a3ed-4744-8998-d6cd9a3aca5c","Endpoint","END3","","Adverse events","Endpoint_3","",""
"d6580ded-ada3-4c66-a4c8-3f33799cb0fc","Endpoint","END4","","Vital signs (weight, standing and supine blood pressure, heart rate)","Endpoint_4","",""
"cbb4b9a0-ed31-4cbf-b8ec-cbe21f7961ac","Endpoint","END5","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Laboratory evaluations (Change from Baseline)","Endpoint_5","",""
"c88f1baa-11fa-4704-9c05-ec508a536986","Endpoint","END6","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","Endpoint_6","",""
"a47558c8-0c83-40e2-a26e-23f12e4d0368","Endpoint","END7","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","Endpoint_7","",""
"35ffde35-2148-4460-a14c-001c7c2f67d0","Endpoint","END8","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","Endpoint_8","",""
"0d07d3ea-5d8b-46bf-abcf-a1c1d9150ec6","Endpoint","END9","","*** To be determined from protocol ***","Endpoint_9","",""
"0ada9cc6-101f-4539-a352-2cc3941bb1b1","Endpoint","END10","","*** To be determined from protocol ***","Endpoint_10","",""
"903c4747-d7d4-4904-952e-67c0f66a6c0b","Endpoint","END11","","*** To be determined from protocol ***","Endpoint_11","",""
