"reference","uuid:ID","instanceType","name","id","synonyms","label"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","1f72ca70-204f-450e-8b73-39c6be96951c","BiomedicalConcept","Informed Consent Obtained","BiomedicalConcept_20","['Informed Consent Obtained', 'Informed Consent']","Informed Consent Obtained"
"/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","c3e51f3e-ed81-4f3e-848f-935d5342aee1","BiomedicalConcept","Sex","BiomedicalConcept_21","","Sex"
"/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","42f58d16-2e7d-4457-a4c2-41117b2eac77","BiomedicalConcept","Race","BiomedicalConcept_22","['Racial Group']","Race"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","a1b58729-bb7f-4525-8250-93bce7dcedb5","BiomedicalConcept","Temperature","BiomedicalConcept_23","['Temperature', 'Body Temperature']","Temperature"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","51093928-c3e5-42b0-9ac0-fa981d63fdbc","BiomedicalConcept","Weight","BiomedicalConcept_24","['Weight', 'Body Weight']","Weight"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","e98e08b7-aef2-4e1b-925b-847b125fd16c","BiomedicalConcept","Height","BiomedicalConcept_25","['Height', 'Body Height']","Height"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","bc3885a6-79cb-411c-b1bd-7289e47133fa","BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_26","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","5c926ef6-85c8-44cb-b291-e2478e224f0f","BiomedicalConcept","Albumin Presence in Urine","BiomedicalConcept_27","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","309bdfa7-aa02-46e0-bc34-3ebeeff31560","BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_28","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","902bbede-cfed-44ad-800b-4927b528240d","BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_29","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","bd71c7df-9609-4379-89ca-09a6cc717d6c","BiomedicalConcept","Creatinine Concentration in Urine","BiomedicalConcept_30","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","c2c66b53-7f65-412d-8c5a-97f15876f537","BiomedicalConcept","Potassium Concentration in Urine","BiomedicalConcept_31","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","04d13372-a57c-4288-8405-480e4fd4a0ea","BiomedicalConcept","Sodium Concentration in Urine","BiomedicalConcept_32","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","963d0004-3464-4be7-9e03-616e740f1846","BiomedicalConcept","Hemoglobin A1C Concentration in Blood","BiomedicalConcept_33","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","Hemoglobin A1C Concentration in Blood"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","774db145-b2e4-4b20-96db-ccca283205c8","BiomedicalConcept","Adverse Event Prespecified","BiomedicalConcept_1","['Adverse Event', 'Solicited Adverse Event']","Adverse Event Prespecified"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","842c10e3-2ef3-4041-8145-77ba360681b0","BiomedicalConcept","Systolic Blood Pressure","BiomedicalConcept_2","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","d7ee9209-8866-4766-bab5-9cf819d32b3d","BiomedicalConcept","Diastolic Blood Pressure","BiomedicalConcept_3","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","8cd6d916-7a00-40d1-a886-b9d017645e3b","BiomedicalConcept","Temperature","BiomedicalConcept_4","['Temperature', 'Body Temperature']","Temperature"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","8baed347-9c36-4eee-b1c1-86bba7edf866","BiomedicalConcept","Weight","BiomedicalConcept_5","['Weight', 'Body Weight']","Weight"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","759176b0-1878-428b-ba20-a714ab3c156a","BiomedicalConcept","Height","BiomedicalConcept_6","['Height', 'Body Height']","Height"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","c0078c5b-545c-4645-95dd-6f630618c5c9","BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_7","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","9ec4088f-17d3-4358-b702-a4173e3f772e","BiomedicalConcept","Albumin Presence in Urine","BiomedicalConcept_8","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","242c5cc9-14a7-4e39-9e2c-e3b7c8425966","BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_9","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","02eefb27-aaca-4051-9dd6-b0bcf83910e6","BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_10","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","602647c4-7f8a-409d-ae7b-fd07db5ea734","BiomedicalConcept","Creatinine Concentration in Urine","BiomedicalConcept_11","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","d48f8283-db51-4e61-aa11-854ddaf8f392","BiomedicalConcept","Potassium Concentration in Urine","BiomedicalConcept_12","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","f0c20ea0-67d9-487c-afb5-1b2223bb5706","BiomedicalConcept","Sodium Concentration in Urine","BiomedicalConcept_13","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","c2c03517-2472-4deb-964f-3c5a945a59cc","BiomedicalConcept","Systolic Blood Pressure","BiomedicalConcept_14","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","06d33a75-fe6a-46aa-a5fc-b860f317bd31","BiomedicalConcept","Diastolic Blood Pressure","BiomedicalConcept_15","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","7565087f-b14c-414e-bdfa-b1e5b4627f53","BiomedicalConcept","Heart Rate","BiomedicalConcept_16","['Heart Rate']","Heart Rate"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","e89daa56-52f1-4a6a-aa2c-84458d0a569b","BiomedicalConcept","Systolic Blood Pressure","BiomedicalConcept_17","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","c9296e4a-54ce-4c76-990a-ae98c4826b58","BiomedicalConcept","Diastolic Blood Pressure","BiomedicalConcept_18","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","cd042f79-593d-4c53-920b-2044966d74d2","BiomedicalConcept","Heart Rate","BiomedicalConcept_19","['Heart Rate']","Heart Rate"
