"uuid:ID","instanceType","name","description","id","label"
"9940a867-505a-4883-a262-b73f880a28fd","Encounter","E1","Screening encounter","Encounter_1","Screening 1"
"2edb2cde-725b-42a9-9f6c-57e557641588","Encounter","E2","Screening encounter - Ambulatory ECG Placement","Encounter_2","Screening 2"
"05011caf-b52d-47ff-9670-fd0669172a92","Encounter","E3","Baseline encounter - Ambulatory ECG Removal","Encounter_3","Baseline"
"546ee1c5-fb71-4f32-9879-758232d5b1d4","Encounter","E4","Day 14","Encounter_4","Week 2"
"31ac5cd5-c3e6-42f8-b0bb-578a89944fdc","Encounter","E5","Day 28","Encounter_5","Week 4"
"2cefd0ae-b73d-41dc-8869-7e889d705b10","Encounter","E7","Day 42","Encounter_6","Week 6"
"6750c44c-f30c-49f1-a903-735f2177b0eb","Encounter","E8","Day 56","Encounter_7","Week 8"
"60136979-5b86-4fc3-8413-a1f595f801c7","Encounter","E9","Day 84","Encounter_8","Week 12"
"d046c65d-cd91-4dc3-a4c0-58e08ea796a3","Encounter","E10","Day 112","Encounter_9","Week 16"
"e1634558-3c55-45b4-8d07-6caafc041bf2","Encounter","E11","Day 140","Encounter_10","Week 20"
"ed85136d-3a9b-48a8-9ae9-17c01597f830","Encounter","E12","Day 168","Encounter_11","Week 24"
"1ca49617-fa69-4a8b-9e76-948e774b5a04","Encounter","E13","Day 182","Encounter_12","Week 26"
