"uuid:ID","instanceType","name","description","id","label"
"e1678db6-8959-47ca-8e83-09a4d622e05f","Activity","Informed consent","","Activity_1","Informed consent"
"65ea70ff-7398-4779-9f1b-a5087ba7b8e8","Activity","Inclusion/exclusion criteria","","Activity_2","Inclusion and exclusion criteria"
"3d2223e1-d5d7-4858-a47b-82cd9a3fab72","Activity","Patient number assigned","","Activity_3","Patient number assigned"
"376f5013-a164-4ef3-b624-124adbc301ac","Activity","Demographics","","Activity_4","Demographics"
"93e05458-fda3-4feb-a137-d852d3889a45","Activity","Hachinski","","Activity_5","Hachinski Ischemic Scale"
"1cdbe385-e207-4306-aad4-50435217743f","Activity","MMSE","","Activity_6","MMSE"
"86e7c9ac-254b-46d0-87d0-830ef6641b39","Activity","Physical examination","","Activity_7","Physical examination"
"6e991262-80c6-4ffd-9665-3f3df2879247","Activity","Medical history","","Activity_8","Medical history"
"41caac01-b9e5-41c6-b8d3-0123fae91a02","Activity","Habits","","Activity_9","Habits"
"830172eb-1c9a-4470-9f7b-709f7f05b6af","Activity","Chest X-ray","","Activity_10","Chest X-ray"
"8405cb74-197f-47a3-97d3-90669bebd38e","Activity","Apo E genotyping","","Activity_11","Apo E genotyping"
"71b17ba8-ebe2-4fb2-86ba-8f4d3f5d264d","Activity","Patient randomised","","Activity_12","Patient randomised"
"4ee1b9be-0d8d-48ab-b6bd-768a7e706147","Activity","Vital signs / Temperature","","Activity_13","Vital Signs and Temperature"
"acfcdb42-b652-492f-83fd-3fcf6e465955","Activity","Ambulatory ECG placed","","Activity_14","Ambulatory ECG placed"
"db132982-5199-43c3-9eeb-842a4d971814","Activity","Ambulatory ECG removed","","Activity_15","Ambulatory ECG removed"
"0ab4835f-2a2c-4639-a797-18b334f39125","Activity","ECG","","Activity_16","ECG"
"f005de41-57d9-4d7d-a776-0bfc320d2668","Activity","Placebo TTS test","","Activity_17","Placebo TTS test"
"9939b6d5-16c8-4abf-86ee-47f30c978336","Activity","CT scan","","Activity_18","CT scan"
"643247b4-6096-4e00-8d24-33eb099eafb4","Activity","Concomitant medications","","Activity_19","Concomitant medications"
"2d97e17a-09b9-4047-aa35-42115dcf1f6f","Activity","Hematology","","Activity_20","Hematology"
"dee28876-e736-4323-94b5-d0053382e247","Activity","Chemistry","","Activity_21","Chemistry"
"30d9353a-c0f8-4631-a1af-414c0480aebe","Activity","Uninalysis","","Activity_22","Uninalysis"
"f9f2f56a-dcdf-4f1d-a310-60bc65711942","Activity","Plasma Specimen (Xanomeline)","","Activity_23","Plasma Specimen (Xanomeline)"
"e4f05f3a-dfec-4a66-8373-9a5dea8b4ae5","Activity","Hemoglobin A1C","","Activity_24","Hemoglobin A1C"
"881acf01-7683-4989-b227-f4a77faef425","Activity","Study drug","","Activity_25","Study drug record , Medications dispensed, Medications returned"
"6c9bbaee-0d22-484e-affd-175fdaf4fb74","Activity","TTS Acceptability Survey","","Activity_26","TTS Acceptability Survey"
"2f1d465e-6178-44e6-9f1d-25723661b35d","Activity","ADAS-Cog","","Activity_27","ADAS-Cog"
"427322f7-647e-4c3a-90ac-16fee0549304","Activity","CIBIC+","","Activity_28","CIBIC+"
"cefdf194-5ee5-4c2f-b2ff-66d4441f0aff","Activity","DAD","","Activity_29","DAD"
"c37b57ea-c3ed-4f2c-ad11-3584f1f7f2d4","Activity","NPI-X","","Activity_30","NPI-X"
"a01d516f-1cda-471f-8a3e-74c734d1a78c","Activity","Adverse events","","Activity_31","Adverse events"
"02b55427-7dfa-482f-aade-055671b2c934","Activity","Check adverse events","","Activity_32","Check adverse events"
"7df40e8e-e032-4499-a061-fc46400ead67","Activity","Supine","","Activity_33","Subject supine"
"b18a8416-22ad-43a6-9095-fd78bd01e85f","Activity","Vital Signs Supine","","Activity_34","Vital signs while supine"
"3605cab7-d18d-421c-af3c-fb0aeacb5c0a","Activity","Stand","","Activity_35","Subject Standing"
"34459708-fc2e-45a7-bab7-942bb89d2ce7","Activity","Vital Signs Standing","","Activity_36","Vital signs while standing"
